SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

957 ;0:00,10 ;0 ;7 ;51;25;100;0,613 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,16 ;11,2 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
957 ;0:00,20 ;0 ;7 ;51;25;100;0,614 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,04 ;1,15 ;11,5 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
957 ;0:00,30 ;0 ;7 ;51;25;99;0,614 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,04 ;1,16 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
957 ;0:00,40 ;0 ;7 ;51;25;100;0,620 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,16 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
957 ;0:00,50 ;0 ;7 ;51;25;99;0,618 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,18 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
957 ;0:00,60 ;66 ;7 ;51;25;100;0,618 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,05 ;1,17 ;11,9 ;-1 ;4,70 ;20,0 ;0 ;0,0;0,0;
957 ;0:00,70 ;477 ;7 ;51;25;99;0,616 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;1,17 ;11,7 ;-1 ;4,70 ;20,0 ;0 ;1,0;0,0;
957 ;0:00,80 ;478 ;19 ;51;25;100;0,613 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,17 ;11,9 ;-1 ;8,25 ;30,0 ;0 ;1,0;0,0;
957 ;0:00,90 ;470 ;52 ;51;25;100;0,613 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,18 ;11,8 ;-1 ;8,25 ;30,0 ;0 ;1,7;0,0;
957 ;0:01,00 ;470 ;42 ;51;25;100;0,612 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,21 ;11,9 ;-1 ;8,25 ;30,0 ;0 ;1,7;0,0;
957 ;0:01,10 ;0 ;7 ;51;25;100;0,616 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,26 ;11,8 ;-1 ;8,13 ;30,0 ;0 ;1,7;0,0;
957 ;0:01,20 ;0 ;7 ;51;25;100;0,615 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,26 ;11,9 ;-1 ;8,13 ;30,0 ;0 ;1,7;0,0;
957 ;0:01,30 ;274 ;37 ;51;25;99;0,614 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;1,43 ;12,2 ;-1 ;7,00 ;30,0 ;0 ;1,7;0,0;
957 ;0:01,40 ;2353 ;78 ;51;25;99;0,586 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,85 ;12,0 ;-1 ;6,16 ;34,0 ;0 ;5,5;0,0;
957 ;0:01,50 ;4720 ;73 ;51;25;99;0,585 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;4,52 ;12,6 ;-1 ;8,25 ;40,9 ;0 ;16,4;0,0;
957 ;0:01,60 ;7578 ;7 ;51;25;80;0,588 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,80 ;12,8 ;-1 ;6,03 ;40,2 ;0 ;24,5;0,0;
957 ;0:01,70 ;8348 ;7 ;51;25;49;0,606 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;7,04 ;12,9 ;-1 ;3,03 ;37,2 ;0 ;15,6;0,0;
957 ;0:01,80 ;7584 ;7 ;51;25;39;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,88 ;13,0 ;-1 ;2,32 ;31,0 ;0 ;8,6;0,0;
957 ;0:01,90 ;6483 ;7 ;51;25;40;0,609 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,70 ;12,9 ;-1 ;2,32 ;30,6 ;0 ;7,4;0,0;
957 ;0:02,00 ;5441 ;7 ;51;25;44;0,615 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,46 ;13,1 ;-1 ;2,57 ;29,5 ;0 ;6,4;0,0;
957 ;0:02,10 ;4762 ;11 ;51;24;47;0,618 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,33 ;12,9 ;-1 ;2,71 ;26,7 ;0 ;6,2;0,0;
957 ;0:02,20 ;4867 ;47 ;51;24;95;0,618 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,34 ;13,1 ;-1 ;6,83 ;41,4 ;0 ;12,8;0,0;
957 ;0:02,30 ;5278 ;24 ;51;24;95;0,615 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,33 ;13,1 ;-1 ;4,24 ;42,0 ;0 ;16,3;0,0;
957 ;0:02,40 ;7102 ;7 ;51;24;70;0,616 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,76 ;13,2 ;-1 ;3,55 ;41,0 ;0 ;12,2;0,0;
