"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|50,"RUD_Speed"|"km/h"|-30|250|50,"LD_Speed"|"km/h"|-30|250|50,"LUD_Speed"|"km/h"|-30|250|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
32063,1625652219947,,,,,,,,0.03,0.02,1.92,0,2,6,0.04,,70,5530,8,29,57,0.631,0.0,578,4.71,13.3,0.0,1,32.9,2.53,6.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
32083,1625652219967,,,,,,,,-0.06,-0.0,1.76,0,2,5,0.06,,70,5537,8,29,58,0.623,0.0,575,4.82,13.5,0.0,1,33.2,1.4,6.5,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
32103,1625652219987,,,,,,,,0.07,0.02,1.95,0,-7,-2,0.07,,70,5524,8,29,58,0.614,0.0,578,4.78,13.5,0.0,1,33.2,2.54,6.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
32123,1625652219997,,,,,,,,0.05,0.01,2.03,0,1,3,0.05,,70,5517,8,29,58,0.606,0.0,575,4.71,13.3,0.0,1,33.2,2.54,6.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
32143,1625652220017,0,0,48,49,33,32,1,-0.04,0.0,1.86,0,3,5,0.04,1,70,5535,8,29,58,0.598,0.0,571,4.77,13.3,0.0,1,33.2,2.53,6.4,0,0,0,1,0,0,250,250,0,52.961891,6.522978,0.0,35.2,10,3,2.5,0,0.0,-1,0.0,,0.0,0,0.0,0.5357
32163,1625652220037,,,,,,,,0.1,0.01,2.04,-0,-5,-3,0.1,,70,5513,8,29,58,0.592,0.0,571,4.81,13.5,0.0,1,33.2,2.55,6.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
32183,1625652220057,,,,,,,,0.11,-0.01,2.2,0,-0,0,0.11,,70,5555,8,29,58,0.582,0.0,576,4.73,13.4,0.0,1,33.2,2.52,6.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
32203,1625652220077,,,,,,,,-0.05,-0.03,2.02,0,5,4,0.05,,70,5503,8,29,58,0.578,0.0,566,4.82,13.4,0.0,1,33.2,1.42,6.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
32223,1625652220107,,,,,,,,0.05,-0.01,2.18,1,-6,-3,0.05,,70,5588,8,29,58,0.57,0.0,570,4.81,13.5,0.0,1,33.2,2.5,6.4,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
32243,1625652220127,1,0,48,49,32,32,1,0.15,0.0,2.33,1,-7,-4,0.15,1,70,5555,8,29,58,0.56,0.0,581,4.8,13.5,0.0,1,33.2,2.52,6.4,0,0,0,1,0,0,250,250,0,52.961891,6.522978,0.0,35.2,10,3,1.8,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.5374
