"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|50,"RUD_Speed"|"km/h"|-30|250|50,"LD_Speed"|"km/h"|-30|250|50,"LUD_Speed"|"km/h"|-30|250|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
29063,1625672330684,,,,,,,,0.07,0.03,2.04,0,-3,-3,0.08,,69,4713,7,35,56,0.602,0.0,492,4.84,13.2,0.0,1,28.7,2.69,6.0,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29083,1625672330704,,,,,,,,0.11,0.04,1.95,0,-6,-4,0.12,,69,4722,7,35,57,0.603,0.0,496,4.85,13.3,0.0,1,29.1,2.69,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29103,1625672330724,,,,,,,,0.08,0.03,1.79,0,-2,-2,0.09,,69,4744,7,35,57,0.602,0.0,490,4.81,13.2,0.0,1,29.4,2.71,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29123,1625672330744,,,,,,,,0.05,0.05,1.64,0,1,1,0.06,,69,4757,7,35,56,0.602,0.0,501,4.78,13.1,0.0,1,29.3,2.72,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29143,1625672330764,5,5,45,48,31,31,7,0.02,0.07,1.84,0,1,1,0.07,1,69,4808,7,35,56,0.602,0.0,500,4.77,13.1,0.0,1,29.9,1.65,5.8,0,0,0,1,0,0,250,250,0,52.95639,6.524495,0.0,9.7,10,3,1.4,0,0.0,-1,0.0,,0.0,0,0.0,0.4857
29163,1625672330784,,,,,,,,0.06,0.08,2.02,0,-4,-2,0.1,,69,4767,7,35,56,0.602,0.0,497,4.86,13.3,0.0,1,29.4,2.73,5.8,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29183,1625672330804,,,,,,,,0.1,0.05,1.85,0,-5,-4,0.11,,69,4758,7,35,57,0.603,0.0,498,4.82,13.3,0.0,1,29.6,2.72,5.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29203,1625672330824,,,,,,,,0.09,-0.0,1.69,0,-2,-2,0.09,,69,4778,7,35,57,0.603,0.0,490,4.76,13.3,0.0,1,29.8,1.63,5.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29223,1625672330844,,,,,,,,0.06,0.01,1.55,0,1,1,0.06,,69,4757,7,35,57,0.603,0.0,491,4.8,13.2,0.0,1,29.6,1.62,5.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29243,1625672330864,7,3,45,48,31,31,7,0.02,0.05,1.76,0,2,2,0.05,0,69,4775,7,35,57,0.603,0.0,506,4.8,13.0,0.0,1,29.8,1.63,5.9,0,0,0,1,0,0,250,250,0,52.95639,6.524495,0.0,9.7,10,3,1.4,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.4874
29263,1625672330884,,,,,,,,0.02,0.06,1.94,0,-1,-0,0.06,,69,4736,7,35,57,0.604,0.0,494,4.79,13.0,0.0,1,29.3,2.7,5.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29283,1625672330906,,,,,,,,0.07,0.08,2.11,0,-4,-2,0.11,,69,4769,7,35,56,0.604,0.0,508,4.82,13.1,0.0,1,29.4,2.73,5.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29303,1625672330926,,,,,,,,0.08,0.05,1.94,0,-4,-3,0.1,,69,4785,7,35,57,0.605,0.0,500,4.81,13.3,0.0,1,29.9,2.74,5.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29323,1625672330946,,,,,,,,0.07,-0.01,1.77,0,-2,-1,0.07,,69,4745,7,35,57,0.605,0.0,489,4.83,13.3,0.0,1,29.4,2.71,5.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29343,1625672330966,7,5,45,49,31,31,7,0.03,0.02,1.63,0,2,2,0.04,0,69,4780,7,35,57,0.605,0.0,505,4.79,13.1,0.0,1,29.9,1.63,5.9,0,0,0,1,0,0,250,250,0,52.95639,6.524495,0.0,9.7,10,3,1.4,0,0.0,-1,0.0,,0.0,0,0.0,0.489
29363,1625672330986,,,,,,,,0.01,0.04,1.82,0,2,2,0.05,,69,4701,7,35,56,0.605,0.0,498,4.78,13.0,0.0,1,28.5,1.58,5.9,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29383,1625672330994,,,,,,,,-0.01,0.06,2.0,0,0,1,0.06,,69,4673,7,35,56,0.606,0.0,493,4.78,13.0,0.0,1,28.2,2.66,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29403,1625672331014,,,,,,,,0.04,0.1,2.17,0,-4,-2,0.11,,69,4772,7,35,56,0.606,0.0,498,4.8,13.3,0.0,1,29.5,2.73,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29423,1625672331034,,,,,,,,0.07,0.08,1.99,0,-4,-3,0.11,,69,4756,7,35,56,0.606,0.0,491,4.83,13.3,0.0,1,29.3,2.72,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
29443,1625672331054,5,5,45,49,31,31,6,0.07,0.02,1.82,0,-1,-2,0.08,0,69,4760,7,35,57,0.607,0.0,500,4.8,13.3,0.0,1,29.6,1.62,5.7,0,0,0,1,0,0,250,250,0,52.95639,6.524495,0.0,9.7,10,3,1.4,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.4907
29463,1625672331074,,,,,,,,0.04,0.03,1.67,0,2,2,0.05,,69,4802,7,35,57,0.606,0.0,502,4.79,13.2,0.0,1,30.2,1.64,5.7,0,0,0,1,0,0,250,250,0,,,,,,,,,,,,,,,,
