"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|50,"RUD_Speed"|"km/h"|-30|250|50,"LD_Speed"|"km/h"|-30|250|50,"LUD_Speed"|"km/h"|-30|250|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
12063,1625674130745,,,,,,,,0.03,-0.03,1.71,0,2,2,0.04,,65,4872,7,32,55,0.597,0.0,566,4.82,13.1,0.0,1,30.5,1.7,6.3,0,0,0,1,1,0,250,250,0,,,,,,,,,,,,,,,,
12083,1625674130765,,,,,,,,-0.01,0.0,1.9,0,2,2,0.01,,65,4858,7,32,55,0.597,0.0,565,4.8,13.0,0.0,1,30.3,1.69,6.3,0,0,0,1,1,0,250,250,0,,,,,,,,,,,,,,,,
12103,1625674130785,,,,,,,,0.02,0.02,2.07,-0,-2,-0,0.03,,65,4842,7,32,55,0.598,0.0,572,4.83,13.1,0.0,1,30.1,2.79,6.3,0,0,0,1,1,0,250,250,0,,,,,,,,,,,,,,,,
12123,1625674130805,,,,,,,,0.06,-0.01,1.9,-0,-2,-1,0.06,,65,4847,7,32,55,0.599,0.0,558,4.81,13.2,0.0,1,30.1,2.79,6.3,0,0,0,1,1,0,250,250,0,,,,,,,,,,,,,,,,
12143,1625674130825,1,2,47,49,31,31,-1,0.04,-0.03,1.74,-0,1,1,0.05,1,65,4876,7,32,55,0.599,0.0,567,4.82,13.1,0.0,1,30.5,1.71,6.3,0,0,0,1,1,0,250,250,0,52.956917,6.521355,0.0,9.2,8,2,2.2,0,0.0,-1,0.0,,0.0,0,0.0,0.2024
12163,1625674130845,,,,,,,,0.01,-0.01,1.86,0,1,2,0.01,,65,4801,7,32,55,0.599,0.0,562,4.81,12.9,0.0,1,29.5,2.76,6.3,0,0,0,1,1,0,250,250,0,,,,,,,,,,,,,,,,
12183,1625674130865,,,,,,,,-0.01,-0.01,2.04,-0,-0,0,0.01,,65,4848,7,32,55,0.6,0.0,557,4.82,12.9,0.0,1,30.2,2.8,6.3,0,0,0,1,1,0,250,250,0,,,,,,,,,,,,,,,,
12203,1625674130885,,,,,,,,0.04,0.0,2.0,-0,-2,-1,0.04,,65,4820,7,32,55,0.601,0.0,567,4.81,13.2,0.0,1,29.8,2.78,6.2,0,0,0,1,1,0,250,250,0,,,,,,,,,,,,,,,,
12223,1625674130905,,,,,,,,0.06,-0.04,1.84,-0,-1,-1,0.07,,65,4837,7,32,55,0.602,0.0,562,4.81,13.2,0.0,1,30.0,1.68,6.2,0,0,0,1,1,0,250,250,0,,,,,,,,,,,,,,,,
12243,1625674130925,-1,3,47,49,31,31,-0,0.02,-0.02,1.68,0,2,2,0.02,1,65,4891,7,32,55,0.602,0.0,562,4.78,13.0,0.0,1,30.7,1.71,6.2,0,0,0,1,1,0,250,250,0,52.956917,6.521355,0.0,9.2,8,2,2.2,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.204
