SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

267 ;0:00,10 ;0 ;0 ;37;30;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,33 ;1,32 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
267 ;0:00,20 ;0 ;0 ;37;30;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,32 ;1,32 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
267 ;0:00,30 ;0 ;0 ;37;30;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,31 ;1,34 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
267 ;0:00,40 ;135 ;0 ;37;30;97;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,31 ;1,37 ;11,8 ;-1 ;9,31 ;20,0 ;0 ;0,0;0,0;
267 ;0:00,50 ;449 ;0 ;37;30;98;0,508 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;1,34 ;11,5 ;-1 ;9,31 ;20,0 ;0 ;1,9;0,0;
267 ;0:00,60 ;445 ;0 ;37;30;97;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,34 ;11,6 ;-1 ;9,31 ;20,0 ;0 ;1,8;0,0;
267 ;0:00,70 ;655 ;0 ;37;30;96;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,38 ;11,3 ;-1 ;9,31 ;20,0 ;0 ;2,7;0,0;
267 ;0:00,80 ;1655 ;0 ;37;30;92;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,94 ;10,8 ;-1 ;9,31 ;20,0 ;0 ;7,1;0,0;
267 ;0:00,90 ;1968 ;17 ;37;30;96;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;2,51 ;11,7 ;-1 ;13,39 ;31,2 ;0 ;11,5;0,0;
267 ;0:01,00 ;2803 ;19 ;37;30;95;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;3,48 ;12,1 ;-1 ;13,30 ;29,2 ;0 ;14,8;0,0;
267 ;0:01,10 ;3866 ;0 ;37;30;86;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,53 ;12,6 ;-1 ;9,88 ;0,0 ;0 ;17,8;0,0;
267 ;0:01,20 ;3369 ;0 ;37;30;78;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;4,90 ;12,7 ;-1 ;6,85 ;-0,3 ;0 ;10,9;0,0;
267 ;0:01,30 ;2758 ;0 ;37;30;77;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;3,94 ;12,8 ;-1 ;6,17 ;-0,3 ;0 ;7,8;0,0;
267 ;0:01,40 ;2169 ;2 ;37;30;81;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;3,14 ;12,8 ;-1 ;5,97 ;-0,2 ;0 ;5,9;0,0;
267 ;0:01,50 ;1601 ;19 ;37;30;95;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,44 ;12,8 ;-1 ;9,31 ;29,8 ;0 ;6,8;0,0;
267 ;0:01,60 ;2580 ;19 ;37;30;96;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;3,40 ;12,8 ;-1 ;9,33 ;31,0 ;0 ;11,1;0,0;
