"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
4063,0,,,252,251,234,229,,-0.03,0.0,0.99,-0,-0,-0,0.03,,37,0,0,30,98,0.519,0.0,110,1.7,12.9,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4083,0,,,252,251,234,230,,-0.03,0.0,0.99,0,-0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.69,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4103,0,,,252,251,234,230,,-0.03,0.0,0.99,-0,-0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.67,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4123,0,,,252,251,234,230,,-0.03,0.0,0.99,-0,0,-0,0.03,,37,0,0,30,98,0.519,0.0,109,1.67,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4143,0,-1,2,252,251,234,229,-15,-0.03,0.0,0.99,-0,0,-0,0.03,1,37,0,0,30,98,0.519,0.0,109,1.67,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.069
4163,0,,,252,252,234,229,,-0.03,0.0,0.99,-0,0,-0,0.03,,37,0,0,30,98,0.519,0.0,110,1.64,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4183,0,,,252,252,234,229,,-0.03,0.0,0.99,-0,0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.64,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4203,0,,,252,252,234,229,,-0.03,0.0,0.99,0,0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.64,12.9,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4223,0,,,252,251,234,230,,-0.03,0.0,0.99,0,0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.62,12.9,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4243,0,-1,2,252,252,234,229,-14,-0.03,0.0,0.99,0,0,-0,0.03,1,37,0,0,30,98,0.518,0.0,110,1.61,12.9,0.0,1,0.0,0.0,0.0,0,0,0,0,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0707
4263,0,,,252,252,234,229,,-0.03,0.0,0.99,0,0,-0,0.03,,37,0,0,30,98,0.518,0.0,109,1.61,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4283,0,,,252,251,234,229,,-0.03,0.0,0.99,0,0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.61,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4303,0,,,252,252,234,230,,-0.03,0.0,0.99,0,0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.58,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4323,0,,,252,252,234,230,,-0.03,0.0,0.99,0,0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.58,12.8,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4343,0,0,0,252,252,234,229,-14,-0.03,0.0,0.99,0,0,-0,0.03,1,37,0,0,30,98,0.518,0.0,110,1.58,12.9,0.0,1,0.0,0.0,0.0,0,0,0,0,0,0,250,250,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,,0.0,0,0.0,0.0724
4363,0,,,252,252,234,230,,-0.03,0.0,0.99,0,0,-0,0.03,,37,0,0,30,98,0.518,0.0,110,1.56,12.9,0.0,1,0.0,0.0,0.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
