SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

1481 ;0:00,10 ;2983 ;5 ;76;18;65;1,008 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,17 ;0,0 ;0,0;
1481 ;0:00,20 ;3525 ;5 ;76;19;59;0,969 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,7 ;2,93 ;15,1 ;0,0;
1481 ;0:00,30 ;3904 ;5 ;76;19;57;1,059 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,3 ;2,73 ;16,7 ;0,0;
1481 ;0:00,40 ;4396 ;5 ;76;19;55;1,279 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,7 ;2,95 ;22,0 ;0,0;
1481 ;0:00,50 ;5056 ;5 ;76;19;54;1,338 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,3 ;3,49 ;30,5 ;0,0;
1481 ;0:00,60 ;5511 ;5 ;76;19;61;1,101 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;3,25 ;32,7 ;434,7;
1481 ;0:00,70 ;4938 ;5 ;77;19;78;0,887 ;2,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,7 ;4,30 ;26,9 ;473,9;
1481 ;0:00,80 ;5030 ;5 ;77;19;94;0,847 ;2,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,1 ;5,07 ;30,8 ;486,9;
1481 ;0:00,90 ;4594 ;5 ;77;19;81;0,851 ;2,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;4,13 ;24,3 ;278,2;
1481 ;0:01,00 ;4276 ;5 ;77;19;63;0,852 ;2,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,4 ;3,13 ;20,6 ;260,8;
1481 ;0:01,10 ;4179 ;5 ;77;19;62;0,855 ;2,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,3 ;3,02 ;19,3 ;165,7;
1481 ;0:01,20 ;4202 ;5 ;77;19;62;0,859 ;3,5 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,3 ;3,03 ;19,5 ;139,5;
1481 ;0:01,30 ;4261 ;5 ;77;19;62;0,863 ;5,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,2 ;3,06 ;20,1 ;108,9;
1481 ;0:01,40 ;4402 ;5 ;77;19;62;0,861 ;6,2 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,1 ;3,12 ;21,4 ;92,5;
1481 ;0:01,50 ;4332 ;5 ;77;19;62;0,856 ;7,1 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,1 ;3,09 ;20,8 ;81,0;
