SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

1491 ;0:00,10 ;1203 ;5 ;84;22;93;0,916 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;3,60 ;17,6 ;0,0;
1491 ;0:00,20 ;1340 ;5 ;84;22;93;0,916 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,73 ;17,3 ;0,0;
1491 ;0:00,30 ;1353 ;5 ;84;22;92;0,913 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,61 ;17,1 ;0,0;
1491 ;0:00,40 ;1363 ;5 ;84;22;94;0,913 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,89 ;16,9 ;0,0;
1491 ;0:00,50 ;1290 ;5 ;84;22;92;0,913 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;3,56 ;16,7 ;0,0;
1491 ;0:00,60 ;1319 ;5 ;84;22;93;0,918 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,72 ;16,5 ;0,0;
1491 ;0:00,70 ;1462 ;5 ;84;22;91;0,922 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,3 ;3,55 ;16,5 ;0,0;
1491 ;0:00,80 ;1494 ;5 ;84;22;92;0,926 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;3,73 ;16,5 ;0,0;
1491 ;0:00,90 ;1492 ;5 ;84;22;92;0,925 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,72 ;16,4 ;0,0;
1491 ;0:01,00 ;1238 ;5 ;84;22;94;0,928 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,76 ;16,2 ;0,0;
1491 ;0:01,10 ;1298 ;5 ;84;22;93;0,933 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,70 ;15,9 ;0,0;
1491 ;0:01,20 ;1170 ;5 ;84;22;93;0,938 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,6 ;3,57 ;15,7 ;0,0;
1491 ;0:01,30 ;1152 ;5 ;84;22;94;0,939 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,65 ;15,3 ;0,0;
1491 ;0:01,40 ;1074 ;5 ;84;22;93;0,934 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;11,9 ;3,49 ;16,3 ;0,0;
1491 ;0:01,50 ;1264 ;5 ;84;22;93;0,934 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,1 ;3,66 ;14,6 ;0,0;
1491 ;0:01,60 ;1226 ;5 ;84;22;92;0,935 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,1 ;3,52 ;14,2 ;0,0;
1491 ;0:01,70 ;1183 ;5 ;84;22;94;0,944 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,70 ;14,1 ;0,0;
1491 ;0:01,80 ;1448 ;5 ;84;22;93;0,951 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,83 ;13,8 ;0,0;
1491 ;0:01,90 ;1409 ;5 ;84;22;93;0,956 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,80 ;13,6 ;0,0;
1491 ;0:02,00 ;1412 ;5 ;84;22;93;0,955 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,80 ;13,4 ;0,0;
1491 ;0:02,10 ;1234 ;5 ;84;22;93;0,957 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,63 ;13,4 ;0,0;
1491 ;0:02,20 ;1355 ;5 ;84;22;93;0,959 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,75 ;13,1 ;0,0;
1491 ;0:02,30 ;1268 ;5 ;84;22;92;0,960 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,6 ;3,55 ;12,8 ;0,0;
1491 ;0:02,40 ;1286 ;5 ;84;22;93;0,968 ;0,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,68 ;12,6 ;0,0;
1491 ;0:02,50 ;1400 ;5 ;84;22;92;0,978 ;0,7 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,65 ;12,4 ;0,0;
1491 ;0:02,60 ;1465 ;5 ;84;22;93;0,980 ;0,7 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,85 ;12,4 ;0,0;
1491 ;0:02,70 ;1467 ;5 ;83;22;92;0,965 ;0,7 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,6 ;3,71 ;12,4 ;0,0;
1491 ;0:02,80 ;1478 ;5 ;83;22;92;0,961 ;0,7 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,2 ;3,71 ;12,4 ;0,0;
1491 ;0:02,90 ;1490 ;5 ;84;22;93;0,959 ;0,7 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,87 ;12,2 ;0,0;
1491 ;0:03,00 ;1366 ;5 ;83;22;93;0,959 ;1,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,76 ;12,0 ;0,0;
1491 ;0:03,10 ;1342 ;5 ;83;22;92;0,954 ;1,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,1 ;3,60 ;12,0 ;0,0;
1491 ;0:03,20 ;1382 ;5 ;83;22;93;0,962 ;1,0 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,77 ;12,0 ;0,0;
1491 ;0:03,30 ;1270 ;5 ;83;22;93;0,967 ;1,2 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,5 ;3,66 ;12,0 ;0,0;
1491 ;0:03,40 ;1326 ;5 ;83;22;94;0,971 ;1,2 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,85 ;11,7 ;0,0;
1491 ;0:03,50 ;1289 ;5 ;83;22;94;0,970 ;1,2 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,81 ;11,4 ;0,0;
1491 ;0:03,60 ;1213 ;5 ;83;22;93;0,976 ;1,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,8 ;3,61 ;11,1 ;0,0;
1491 ;0:03,70 ;1343 ;5 ;83;22;93;0,980 ;1,3 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,74 ;10,7 ;0,0;
1491 ;0:03,80 ;1267 ;5 ;83;22;92;0,986 ;1,5 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,6 ;3,55 ;10,5 ;0,0;
1491 ;0:03,90 ;1300 ;5 ;83;22;93;0,994 ;1,6 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,2 ;3,70 ;10,1 ;0,0;
1491 ;0:04,00 ;1308 ;5 ;83;22;93;1,005 ;1,6 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,71 ;9,9 ;0,0;
1491 ;0:04,10 ;1412 ;5 ;83;22;92;1,003 ;1,7 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,9 ;3,65 ;9,6 ;0,0;
1491 ;0:04,20 ;1338 ;5 ;83;22;93;1,001 ;1,8 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;13,0 ;3,73 ;9,4 ;0,0;
1491 ;0:04,30 ;1405 ;5 ;83;22;92;0,996 ;1,8 ;0,0 ;0,0 ;0,0 ;3,00 ;3,00 ;12,2 ;3,65 ;9,4 ;0,0;
