SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

975 ;0:00,10 ;389 ;60 ;81;35;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,36 ;1,13 ;13,2 ;-1 ;5,19 ;30,0 ;0 ;0,9;0,0;
975 ;0:00,20 ;389 ;29 ;81;35;98;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,31 ;1,13 ;13,2 ;-1 ;5,19 ;30,0 ;0 ;0,9;0,0;
980 ;0:00,30 ;4603 ;7 ;87;34;57;0,893 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,80 ;13,7 ;-1 ;2,63 ;27,6 ;0 ;5,6;0,0;
980 ;0:00,40 ;4586 ;7 ;87;34;57;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;3,83 ;13,5 ;-1 ;2,62 ;27,4 ;0 ;5,6;0,0;
980 ;0:00,50 ;4666 ;7 ;87;34;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;3,88 ;13,7 ;-1 ;2,66 ;28,4 ;0 ;5,7;0,0;
980 ;0:00,60 ;4549 ;7 ;87;34;57;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;3,80 ;13,7 ;-1 ;2,61 ;26,9 ;0 ;5,5;0,0;
980 ;0:00,70 ;4633 ;7 ;87;34;58;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,84 ;13,5 ;-1 ;2,65 ;28,2 ;0 ;5,7;0,0;
980 ;0:00,80 ;4594 ;7 ;87;34;57;0,895 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;3,80 ;13,7 ;-1 ;2,62 ;27,5 ;0 ;5,7;0,0;
980 ;0:00,90 ;4628 ;7 ;87;34;57;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;3,81 ;13,6 ;-1 ;2,63 ;27,7 ;0 ;5,6;0,0;
980 ;0:01,00 ;4676 ;7 ;87;34;57;0,897 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;3,90 ;13,6 ;-1 ;2,67 ;28,5 ;0 ;5,8;0,0;
980 ;0:01,10 ;4617 ;7 ;87;34;57;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;3,89 ;13,5 ;-1 ;2,64 ;27,8 ;0 ;5,6;0,0;
980 ;0:01,20 ;4619 ;7 ;87;34;57;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;3,81 ;13,6 ;-1 ;2,64 ;27,8 ;0 ;5,7;0,0;
980 ;0:01,30 ;4652 ;7 ;87;34;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;3,92 ;13,4 ;-1 ;2,66 ;28,2 ;0 ;5,9;0,0;
980 ;0:01,40 ;4659 ;7 ;87;34;57;0,883 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;3,96 ;13,7 ;-1 ;2,66 ;28,3 ;0 ;5,9;0,0;
980 ;0:01,50 ;4600 ;7 ;87;34;57;0,881 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;3,93 ;13,5 ;-1 ;2,63 ;27,6 ;0 ;5,7;0,0;
980 ;0:01,60 ;4580 ;7 ;87;34;57;0,884 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,83 ;13,6 ;-1 ;2,62 ;27,3 ;0 ;5,6;0,0;
980 ;0:01,70 ;4623 ;7 ;87;34;57;0,885 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;3,88 ;13,5 ;-1 ;2,64 ;27,8 ;0 ;5,7;0,0;
980 ;0:01,80 ;4642 ;7 ;87;34;57;0,882 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,91 ;13,6 ;-1 ;2,65 ;28,1 ;0 ;5,7;0,0;
980 ;0:01,90 ;4645 ;7 ;87;34;57;0,885 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;3,94 ;13,5 ;-1 ;2,65 ;28,0 ;0 ;5,7;0,0;
980 ;0:02,00 ;4609 ;7 ;87;34;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;3,88 ;13,6 ;-1 ;2,63 ;27,7 ;0 ;5,7;0,0;
980 ;0:02,10 ;4596 ;7 ;87;34;57;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;3,83 ;13,6 ;-1 ;2,63 ;27,5 ;0 ;5,5;0,0;
980 ;0:02,20 ;4627 ;7 ;87;34;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,85 ;13,4 ;-1 ;2,65 ;27,9 ;0 ;5,6;0,0;
980 ;0:02,30 ;4685 ;7 ;87;34;57;0,889 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;3,97 ;13,7 ;-1 ;2,68 ;28,6 ;0 ;5,9;0,0;
980 ;0:02,40 ;4621 ;7 ;87;34;57;0,892 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;3,83 ;13,5 ;-1 ;2,64 ;27,8 ;0 ;5,7;0,0;
980 ;0:02,50 ;4645 ;7 ;87;34;57;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;3,85 ;13,6 ;-1 ;2,65 ;28,1 ;0 ;5,7;0,0;
980 ;0:02,60 ;4638 ;7 ;87;34;57;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;3,90 ;13,4 ;-1 ;2,65 ;28,0 ;0 ;5,7;0,0;
980 ;0:02,70 ;4609 ;7 ;87;34;57;0,888 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,87 ;13,6 ;-1 ;2,63 ;27,7 ;0 ;5,7;0,0;
980 ;0:02,80 ;4646 ;7 ;87;34;57;0,888 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;3,82 ;13,4 ;-1 ;2,65 ;28,1 ;0 ;5,7;0,0;
980 ;0:02,90 ;4653 ;7 ;87;34;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,83 ;13,6 ;-1 ;2,66 ;28,2 ;0 ;5,6;0,0;
980 ;0:03,00 ;4661 ;7 ;87;34;57;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;3,91 ;13,4 ;-1 ;2,66 ;28,3 ;0 ;5,7;0,0;
980 ;0:03,10 ;4589 ;7 ;87;34;57;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;3,85 ;13,6 ;-1 ;2,62 ;27,4 ;0 ;5,6;0,0;
980 ;0:03,20 ;4614 ;7 ;87;34;57;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;3,81 ;13,6 ;-1 ;2,64 ;27,7 ;0 ;5,5;0,0;
980 ;0:03,30 ;4712 ;7 ;87;34;57;0,897 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;3,88 ;13,6 ;-1 ;2,70 ;29,0 ;0 ;5,8;0,0;
980 ;0:03,40 ;4675 ;7 ;87;34;57;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;3,91 ;13,4 ;-1 ;2,67 ;28,5 ;0 ;5,7;0,0;
980 ;0:03,50 ;4647 ;7 ;87;34;57;0,895 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;3,91 ;13,7 ;-1 ;2,65 ;28,1 ;0 ;5,7;0,0;
980 ;0:03,60 ;4630 ;7 ;87;34;57;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,95 ;13,3 ;-1 ;2,65 ;27,9 ;0 ;5,7;0,0;
980 ;0:03,70 ;4569 ;7 ;87;34;57;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;3,87 ;13,7 ;-1 ;2,62 ;27,2 ;0 ;5,6;0,0;
980 ;0:03,80 ;4545 ;7 ;87;34;57;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;3,87 ;13,6 ;-1 ;2,61 ;26,9 ;0 ;5,6;0,0;
980 ;0:03,90 ;4621 ;7 ;87;34;57;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;3,89 ;13,5 ;-1 ;2,64 ;27,8 ;0 ;5,7;0,0;
980 ;0:04,00 ;4622 ;7 ;87;34;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;3,96 ;13,6 ;-1 ;2,64 ;27,8 ;0 ;5,8;0,0;
980 ;0:04,10 ;4589 ;7 ;87;34;57;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;3,90 ;13,4 ;-1 ;2,62 ;27,4 ;0 ;5,7;0,0;
980 ;0:04,20 ;4597 ;7 ;87;34;57;0,893 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;3,92 ;13,7 ;-1 ;2,63 ;27,5 ;0 ;5,8;0,0;
980 ;0:04,30 ;4647 ;7 ;87;34;57;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;3,89 ;13,3 ;-1 ;2,65 ;28,1 ;0 ;5,8;0,0;
980 ;0:04,40 ;4614 ;7 ;87;34;57;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;3,85 ;13,6 ;-1 ;2,64 ;27,7 ;0 ;5,7;0,0;
980 ;0:04,50 ;4597 ;7 ;87;34;57;0,883 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;3,89 ;13,4 ;-1 ;2,63 ;27,5 ;0 ;5,7;0,0;
980 ;0:04,60 ;4619 ;7 ;87;34;57;0,881 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;3,85 ;13,6 ;-1 ;2,64 ;27,8 ;0 ;5,7;0,0;
980 ;0:04,70 ;4615 ;7 ;87;34;57;0,882 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;3,84 ;13,5 ;-1 ;2,64 ;27,7 ;0 ;5,6;0,0;
