"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
121064,1626449492371,,,252,256,237,232,,-0.0,0.01,-3.01,-0,0,-0,0.01,,79,1810,7,35,91,0.931,0.0,199,4.33,13.4,0.0,1,0.1,3.17,2.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121084,1626449492393,,,253,255,237,232,,-0.0,0.01,-3.0,-0,0,-0,0.01,,78,1779,7,35,92,0.931,0.0,198,4.23,13.5,0.0,1,0.1,3.17,2.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121104,1626449492413,,,253,256,237,232,,-0.0,0.01,-3.0,-0,-0,-0,0.01,,78,1831,7,35,92,0.931,0.0,201,4.33,13.5,0.0,1,0.1,3.17,2.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121124,1626449492433,,,252,256,237,232,,0.0,0.01,-3.01,-0,0,-0,0.01,,78,1877,7,35,92,0.931,0.0,202,4.34,13.4,0.0,1,0.1,3.17,2.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121144,1626449492453,0,0,253,255,237,232,5,-0.0,0.01,-2.98,-0,0,-0,0.01,0,79,1843,7,35,91,0.93,0.0,197,4.25,13.3,0.0,1,0.1,3.17,2.7,0,0,0,1,0,0,250,250,0,45.847061,5.177974,0.0,221.4,9,3,1.7,0,0.0,1,0.1483,,1.0917,1,0.18,2.0191
121164,1626449492473,,,252,255,237,232,,-0.01,0.01,-2.99,-0,0,-0,0.01,,78,1776,7,35,91,0.93,0.0,196,4.18,13.4,0.0,1,0.1,3.17,2.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121184,1626449492493,,,252,256,237,232,,-0.0,0.0,-2.98,-0,0,-0,0.01,,78,1727,7,35,92,0.929,0.0,197,4.3,13.4,0.0,1,0.1,3.17,2.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121204,1626449492513,,,253,256,237,232,,-0.0,-0.0,-2.98,-0,-0,-0,0.0,,78,1749,7,35,92,0.929,0.0,197,4.35,13.5,0.0,1,0.1,3.17,2.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121224,1626449492533,,,253,255,237,232,,0.01,-0.0,-2.98,-0,-0,-0,0.01,,78,1824,7,35,92,0.928,0.0,196,4.34,13.5,0.0,1,0.0,2.09,2.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121244,1626449492553,1,0,253,256,237,232,5,-0.0,-0.01,-2.97,-0,0,-0,0.01,0,79,1815,7,35,91,0.927,0.0,197,4.26,13.2,0.0,1,0.0,3.17,2.6,0,0,0,1,0,0,250,250,0,45.847061,5.177974,0.0,221.4,9,3,1.7,0,0.0,1,0.1483,0.0,1.0933,1,0.18,2.0207
121264,1626449492573,,,253,255,237,232,,-0.0,-0.01,-2.96,-0,-0,-0,0.01,,79,1756,7,35,92,0.926,0.0,194,4.3,13.5,0.0,1,0.0,3.17,2.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121284,1626449492593,,,253,256,237,232,,-0.0,-0.01,-2.96,-0,0,-0,0.01,,78,1674,7,35,92,0.925,0.0,192,4.3,13.5,0.0,1,0.0,2.09,2.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121304,1626449492613,,,253,256,237,232,,-0.01,-0.01,-2.96,-0,-0,-0,0.01,,78,1635,7,35,92,0.925,0.0,189,4.33,13.4,0.0,1,0.0,3.17,2.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121324,1626449492633,,,253,256,237,232,,-0.0,-0.01,-2.97,-0,-0,-0,0.01,,79,1681,7,35,93,0.924,0.0,189,4.34,13.5,0.0,1,0.0,3.17,2.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121344,1626449492653,0,2,253,256,237,232,5,0.0,-0.01,-2.98,-0,-0,-0,0.01,0,78,1737,7,35,92,0.925,0.0,192,4.35,13.5,0.0,1,0.0,3.17,2.3,0,0,0,1,0,0,250,250,0,45.847061,5.177974,0.0,221.4,9,3,1.7,0,0.0,1,0.1483,,1.095,1,0.18,2.0224
121364,1626449492673,,,253,255,237,232,,0.0,-0.01,-2.99,-0,-0,-0,0.01,,79,1747,7,35,92,0.924,0.0,194,4.31,13.4,0.0,1,0.0,3.17,2.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121384,1626449492693,,,253,255,237,232,,0.0,-0.01,-2.99,-0,-0,-0,0.01,,79,1674,7,35,92,0.923,0.0,191,4.29,13.1,0.0,1,0.0,3.17,2.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121404,1626449492713,,,253,256,237,232,,0.0,-0.01,-2.97,-0,-0,-0,0.01,,79,1586,7,35,92,0.922,0.0,187,4.32,13.1,0.0,1,0.0,3.17,2.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121424,1626449492733,,,253,256,237,232,,-0.0,-0.01,-2.96,-0,-0,-0,0.01,,79,1563,7,35,92,0.922,0.0,183,4.34,13.4,0.0,1,0.1,3.17,2.3,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
121444,1626449492753,0,2,253,255,237,232,5,-0.0,-0.0,-2.95,-0,-0,-0,0.01,0,79,1682,7,35,92,0.921,0.0,187,4.33,13.5,0.0,1,0.1,3.17,2.3,0,0,0,1,0,0,250,250,0,45.847061,5.177974,0.0,221.4,9,3,1.7,0,0.0,1,0.1483,0.0,1.0967,1,0.18,2.0241
