SESSION; TIME;RPM;L U SP;R U SP;L D SP;R D SP;SLIP%;SHIF A;

994 ;0:00,01 ;4666 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,02 ;4658 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,03 ;4644 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,04 ;4666 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,05 ;4633 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,06 ;4610 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,07 ;4577 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,08 ;4587 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,09 ;4613 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,10 ;4621 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,11 ;4610 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,12 ;4580 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,13 ;4611 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,14 ;4645 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,15 ;4651 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,16 ;4601 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,17 ;4578 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,18 ;4628 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,19 ;4687 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,20 ;4728 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,21 ;4661 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,22 ;4642 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,23 ;4671 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,24 ;4691 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,25 ;4731 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,26 ;4714 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,27 ;4644 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,28 ;4649 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,29 ;4724 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,30 ;4702 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,31 ;4665 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,32 ;4626 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,33 ;4638 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,34 ;4664 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,35 ;4660 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,36 ;4650 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,37 ;4614 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,38 ;4592 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,39 ;4636 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,40 ;4646 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,41 ;4652 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,42 ;4612 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,43 ;4615 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,44 ;4609 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,45 ;4629 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,46 ;4608 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,47 ;4593 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,48 ;4613 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,49 ;4656 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,50 ;4689 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,51 ;4666 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,52 ;4639 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
994 ;0:00,53 ;4661 ;0,0 ;0,0 ;0,0 ;0,0 ;-1 ;0 ;
