SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

187 ;0:00,10 ;0 ;12 ;73;30;98;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,96 ;1,18 ;11,4 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
187 ;0:00,20 ;0 ;12 ;73;30;98;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,96 ;1,18 ;11,4 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
187 ;0:00,30 ;0 ;12 ;73;30;97;0,511 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,18 ;11,5 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
187 ;0:00,40 ;119 ;12 ;73;30;98;0,510 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,37 ;1,19 ;11,0 ;-1 ;4,57 ;30,0 ;0 ;0,0;0,0;
187 ;0:00,50 ;413 ;12 ;73;30;97;0,510 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,21 ;11,3 ;-1 ;4,57 ;28,6 ;0 ;0,8;0,0;
187 ;0:00,60 ;401 ;12 ;73;30;97;0,510 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,21 ;11,3 ;-1 ;4,57 ;28,6 ;0 ;0,8;0,0;
187 ;0:00,70 ;410 ;12 ;73;30;98;0,509 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,21 ;11,1 ;-1 ;4,57 ;30,0 ;0 ;0,8;0,0;
187 ;0:00,80 ;406 ;12 ;73;30;97;0,510 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,21 ;11,3 ;-1 ;4,57 ;28,6 ;0 ;0,8;0,0;
187 ;0:00,90 ;398 ;12 ;73;30;97;0,509 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,18 ;10,8 ;-1 ;4,57 ;28,6 ;0 ;0,8;0,0;
187 ;0:01,00 ;402 ;12 ;73;30;98;0,508 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,21 ;11,2 ;-1 ;4,57 ;30,0 ;0 ;0,8;0,0;
187 ;0:01,10 ;759 ;12 ;73;30;96;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,17 ;10,7 ;-1 ;4,06 ;27,2 ;0 ;1,8;0,0;
187 ;0:01,20 ;548 ;12 ;74;30;95;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;1,10 ;10,2 ;-1 ;4,08 ;25,8 ;0 ;1,0;0,0;
187 ;0:01,30 ;405 ;12 ;74;30;96;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;1,07 ;11,2 ;-1 ;4,08 ;27,2 ;0 ;0,8;0,0;
187 ;0:01,40 ;405 ;12 ;74;30;96;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,02 ;11,2 ;-1 ;4,08 ;27,2 ;0 ;0,7;0,0;
187 ;0:01,50 ;405 ;12 ;74;30;96;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;1,01 ;11,2 ;-1 ;4,08 ;27,2 ;0 ;0,7;0,0;
187 ;0:01,60 ;405 ;12 ;74;30;96;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;1,02 ;11,2 ;-1 ;4,08 ;27,2 ;0 ;0,7;0,0;
187 ;0:01,70 ;0 ;12 ;73;30;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,23 ;11,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
187 ;0:01,80 ;0 ;12 ;73;30;97;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,24 ;11,2 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
187 ;0:01,90 ;0 ;12 ;73;30;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,24 ;11,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
