SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

198 ;0:00,10 ;0 ;3 ;64;21;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,16 ;11,5 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
198 ;0:00,20 ;0 ;3 ;64;21;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,15 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
198 ;0:00,30 ;0 ;3 ;64;21;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,16 ;11,4 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
198 ;0:00,40 ;0 ;3 ;64;21;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,16 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
198 ;0:00,50 ;451 ;3 ;64;21;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;1,18 ;11,2 ;-1 ;4,77 ;18,0 ;0 ;0,0;0,0;
198 ;0:00,60 ;447 ;3 ;64;21;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,18 ;11,5 ;-1 ;4,77 ;18,0 ;0 ;0,9;0,0;
198 ;0:00,70 ;442 ;3 ;64;21;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;1,16 ;11,1 ;-1 ;4,77 ;20,0 ;0 ;0,9;0,0;
198 ;0:00,80 ;447 ;3 ;64;21;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,18 ;11,4 ;-1 ;4,77 ;20,0 ;0 ;0,9;0,0;
198 ;0:00,90 ;440 ;3 ;64;21;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,18 ;11,1 ;-1 ;4,77 ;20,0 ;0 ;0,9;0,0;
198 ;0:01,00 ;635 ;2 ;64;21;96;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;1,20 ;11,3 ;-1 ;4,77 ;20,0 ;0 ;0,9;0,0;
198 ;0:01,10 ;1067 ;2 ;64;21;93;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,64 ;1,18 ;10,7 ;-1 ;4,13 ;20,0 ;0 ;1,3;0,0;
198 ;0:01,20 ;733 ;2 ;64;21;94;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;1,15 ;10,1 ;-1 ;3,70 ;20,0 ;0 ;2,0;0,0;
198 ;0:01,30 ;1497 ;2 ;64;21;93;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;1,46 ;11,4 ;-1 ;3,70 ;20,0 ;0 ;1,2;0,0;
198 ;0:01,40 ;1836 ;3 ;64;21;92;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,66 ;12,0 ;-1 ;3,70 ;20,0 ;0 ;2,5;0,0;
198 ;0:01,50 ;2472 ;3 ;64;21;87;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;1,96 ;12,6 ;-1 ;3,62 ;20,0 ;0 ;3,1;0,0;
198 ;0:01,60 ;3301 ;3 ;64;21;81;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;2,30 ;12,6 ;-1 ;3,46 ;20,0 ;0 ;4,1;0,0;
198 ;0:01,70 ;3588 ;2 ;64;21;77;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;3,00 ;12,4 ;-1 ;2,91 ;0,0 ;0 ;5,5;0,0;
198 ;0:01,80 ;3496 ;3 ;64;21;75;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;3,08 ;12,3 ;-1 ;2,86 ;0,0 ;0 ;4,8;0,0;
198 ;0:01,90 ;3365 ;3 ;64;20;74;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;3,03 ;12,6 ;-1 ;2,87 ;0,0 ;0 ;4,6;0,0;
198 ;0:02,00 ;3307 ;3 ;64;20;74;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;3,02 ;12,6 ;-1 ;2,88 ;0,0 ;0 ;4,4;0,0;
198 ;0:02,10 ;3158 ;3 ;64;20;74;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;2,95 ;12,6 ;-1 ;2,90 ;0,0 ;0 ;4,3;0,0;
198 ;0:02,20 ;3143 ;3 ;64;20;74;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;2,86 ;12,7 ;-1 ;2,90 ;0,0 ;0 ;4,2;0,0;
198 ;0:02,30 ;3045 ;3 ;64;20;73;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;2,87 ;12,4 ;-1 ;2,89 ;0,0 ;0 ;4,2;0,0;
