SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1039 ;0:00,10 ;7030 ;10 ;84;28;41;0,866 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;6,32 ;13,1 ;-1 ;2,29 ;31,6 ;0 ;0 ;13 ;7,4;0,0;
1039 ;0:00,20 ;7030 ;10 ;84;28;41;0,863 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;6,35 ;13,4 ;-1 ;2,29 ;31,6 ;0 ;0 ;13 ;7,4;0,0;
1039 ;0:00,30 ;6983 ;10 ;84;28;42;0,860 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,26 ;13,2 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,4;0,0;
1039 ;0:00,40 ;7022 ;10 ;84;28;42;0,857 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,33 ;13,2 ;-1 ;2,28 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1039 ;0:00,50 ;6991 ;10 ;84;28;42;0,854 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;6,30 ;13,4 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,4;0,0;
1039 ;0:00,60 ;6959 ;10 ;84;28;42;0,851 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,26 ;13,3 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:00,70 ;6929 ;10 ;84;28;42;0,854 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,26 ;13,3 ;-1 ;2,28 ;31,7 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:00,80 ;6962 ;10 ;84;28;42;0,859 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,31 ;13,2 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:00,90 ;6970 ;10 ;84;28;42;0,862 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;6,27 ;13,1 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:01,00 ;7022 ;10 ;84;28;42;0,866 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;6,27 ;13,4 ;-1 ;2,28 ;31,9 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:01,10 ;7088 ;10 ;84;28;42;0,867 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,43 ;13,1 ;-1 ;2,28 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1039 ;0:01,20 ;7113 ;10 ;84;28;42;0,865 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,42 ;13,3 ;-1 ;2,28 ;32,0 ;0 ;0 ;13 ;7,5;0,0;
1039 ;0:01,30 ;7145 ;10 ;84;28;41;0,861 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;6,38 ;13,3 ;-1 ;2,29 ;31,7 ;0 ;0 ;13 ;7,5;0,0;
1039 ;0:01,40 ;7126 ;10 ;84;28;41;0,858 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;6,38 ;13,1 ;-1 ;2,29 ;31,7 ;0 ;0 ;13 ;7,5;0,0;
1039 ;0:01,50 ;7118 ;10 ;84;28;41;0,858 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,33 ;13,2 ;-1 ;2,29 ;31,6 ;0 ;0 ;13 ;7,5;0,0;
1039 ;0:01,60 ;7088 ;10 ;84;28;41;0,857 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,35 ;13,4 ;-1 ;2,29 ;31,6 ;0 ;0 ;13 ;7,5;0,0;
1039 ;0:01,70 ;7038 ;10 ;85;28;41;0,856 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,40 ;13,1 ;-1 ;2,29 ;31,6 ;0 ;0 ;13 ;7,5;0,0;
1039 ;0:01,80 ;6991 ;10 ;85;28;42;0,860 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,28 ;13,3 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,4;0,0;
1039 ;0:01,90 ;6957 ;10 ;85;28;42;0,861 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,28 ;13,4 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,00 ;6959 ;10 ;85;28;42;0,860 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;6,31 ;13,1 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,10 ;6980 ;10 ;85;28;42;0,858 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;6,27 ;13,2 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,20 ;6959 ;10 ;85;28;42;0,857 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,31 ;13,4 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,30 ;6952 ;10 ;85;28;42;0,856 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,16 ;13,4 ;-1 ;2,28 ;31,7 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,40 ;6885 ;10 ;85;28;42;0,859 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,23 ;13,4 ;-1 ;2,29 ;31,6 ;0 ;0 ;13 ;7,2;0,0;
1039 ;0:02,50 ;6923 ;10 ;85;28;42;0,862 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;6,20 ;13,3 ;-1 ;2,28 ;31,7 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,60 ;6936 ;10 ;85;28;42;0,866 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,25 ;13,4 ;-1 ;2,28 ;31,7 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,70 ;6926 ;10 ;85;28;42;0,866 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,27 ;13,4 ;-1 ;2,28 ;31,7 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,80 ;6996 ;10 ;85;28;42;0,860 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,26 ;13,3 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
1039 ;0:02,90 ;6988 ;10 ;85;28;42;0,852 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,33 ;13,2 ;-1 ;2,28 ;31,8 ;0 ;0 ;13 ;7,3;0,0;
