SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1017 ;0:00,10 ;7088 ;9 ;76;30;42;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,45 ;13,4 ;-1 ;2,27 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:00,20 ;7088 ;9 ;77;30;42;0,828 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,45 ;13,2 ;-1 ;2,27 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:00,30 ;7113 ;9 ;77;30;42;0,824 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,42 ;13,3 ;-1 ;2,27 ;32,0 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:00,40 ;7086 ;9 ;77;30;42;0,818 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,51 ;13,2 ;-1 ;2,27 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:00,50 ;7070 ;9 ;77;30;42;0,818 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,49 ;13,2 ;-1 ;2,27 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:00,60 ;7027 ;9 ;77;30;42;0,821 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;6,41 ;13,4 ;-1 ;2,27 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:00,70 ;7014 ;9 ;77;30;42;0,829 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;6,46 ;13,3 ;-1 ;2,27 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:00,80 ;7051 ;9 ;77;30;42;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,46 ;13,4 ;-1 ;2,27 ;31,9 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:00,90 ;7121 ;9 ;77;30;42;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;6,46 ;13,1 ;-1 ;2,27 ;32,0 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:01,00 ;7151 ;9 ;77;30;42;0,822 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,48 ;13,2 ;-1 ;2,28 ;32,0 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:01,10 ;7175 ;9 ;77;30;42;0,825 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,41 ;13,3 ;-1 ;2,28 ;32,0 ;0 ;0 ;13 ;7,5;0,0;
1017 ;0:01,20 ;7175 ;9 ;77;30;42;0,829 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,42 ;13,3 ;-1 ;2,28 ;32,0 ;0 ;0 ;13 ;7,5;0,0;
1017 ;0:01,30 ;7159 ;9 ;77;30;41;0,830 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;6,46 ;13,4 ;-1 ;2,28 ;31,7 ;0 ;0 ;13 ;7,6;0,0;
1017 ;0:01,40 ;7078 ;9 ;77;30;42;0,827 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;6,45 ;13,1 ;-1 ;2,27 ;31,9 ;0 ;0 ;13 ;7,5;0,0;
1017 ;0:01,50 ;7099 ;9 ;77;30;42;0,830 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,38 ;13,1 ;-1 ;2,27 ;32,0 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:01,60 ;7115 ;9 ;77;30;42;0,833 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;6,51 ;13,4 ;-1 ;2,27 ;32,0 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:01,70 ;7096 ;9 ;77;30;42;0,834 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;6,51 ;13,1 ;-1 ;2,27 ;32,0 ;0 ;0 ;13 ;7,4;0,0;
1017 ;0:01,80 ;7131 ;9 ;77;30;42;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,41 ;13,2 ;-1 ;2,27 ;32,0 ;0 ;0 ;13 ;7,5;0,0;
1017 ;0:01,90 ;7159 ;9 ;77;30;42;0,830 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,45 ;13,2 ;-1 ;2,28 ;32,0 ;0 ;0 ;13 ;7,5;0,0;
1017 ;0:02,00 ;7200 ;13 ;77;30;43;0,830 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,46 ;13,4 ;-1 ;2,27 ;32,5 ;0 ;0 ;13 ;7,5;0,0;
1017 ;0:02,10 ;7449 ;15 ;77;30;51;0,836 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;6,52 ;13,2 ;-1 ;2,31 ;35,7 ;0 ;0 ;14 ;7,5;0,0;
1017 ;0:02,20 ;8023 ;15 ;77;30;54;0,843 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,56 ;13,2 ;-1 ;2,49 ;37,1 ;0 ;0 ;16 ;8,1;0,0;
1017 ;0:02,30 ;9168 ;15 ;77;30;48;0,889 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,81 ;13,3 ;-1 ;3,04 ;37,6 ;0 ;0 ;23 ;10,1;0,0;
1017 ;0:02,40 ;9915 ;15 ;77;30;43;0,943 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,93 ;13,2 ;-1 ;2,70 ;35,0 ;0 ;0 ;22 ;13,1;0,0;
1017 ;0:02,50 ;9709 ;15 ;77;30;41;0,963 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;6,86 ;13,2 ;-1 ;2,73 ;33,5 ;0 ;0 ;22 ;12,2;0,0;
1017 ;0:02,60 ;9254 ;15 ;77;30;41;0,910 ;1,1 ;0,0 ;1,2 ;0,0 ;0 ;4,66 ;6,82 ;13,1 ;-18 ;2,81 ;33,3 ;0 ;0 ;22 ;12,1;0,0;
1017 ;0:02,70 ;8680 ;15 ;78;30;43;0,873 ;2,4 ;1,5 ;2,5 ;1,9 ;0 ;4,69 ;6,68 ;13,1 ;-4 ;2,83 ;34,5 ;0 ;0 ;20 ;11,7;0,0;
1017 ;0:02,80 ;7934 ;15 ;78;30;46;0,848 ;3,2 ;3,4 ;3,3 ;3,6 ;0 ;4,73 ;6,63 ;13,3 ;2 ;2,34 ;35,6 ;0 ;0 ;15 ;11,1;462,5;
