SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1022 ;0:00,10 ;4608 ;7 ;70;33;57;0,902 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;4,54 ;13,4 ;-1 ;2,63 ;27,7 ;0 ;0 ;10 ;5,5;0,0;
1022 ;0:00,20 ;4573 ;7 ;70;33;56;0,900 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;4,56 ;13,4 ;-1 ;2,62 ;26,9 ;0 ;0 ;10 ;5,5;0,0;
1022 ;0:00,30 ;4451 ;7 ;70;33;57;0,900 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;4,41 ;13,3 ;-1 ;2,55 ;25,7 ;0 ;0 ;9 ;5,2;0,0;
1022 ;0:00,40 ;4506 ;7 ;70;33;57;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;4,49 ;13,4 ;-1 ;2,59 ;26,4 ;0 ;0 ;9 ;5,3;0,0;
1022 ;0:00,50 ;4531 ;7 ;70;33;57;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;4,51 ;13,3 ;-1 ;2,60 ;26,7 ;0 ;0 ;9 ;5,4;0,0;
1022 ;0:00,60 ;4594 ;7 ;70;33;57;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;4,55 ;13,2 ;-1 ;2,62 ;27,5 ;0 ;0 ;10 ;5,5;0,0;
1022 ;0:00,70 ;4603 ;7 ;70;33;56;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;4,63 ;13,1 ;-1 ;2,63 ;27,3 ;0 ;0 ;10 ;5,6;0,0;
1022 ;0:00,80 ;4514 ;7 ;70;33;56;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;4,55 ;13,4 ;-1 ;2,59 ;26,2 ;0 ;0 ;9 ;5,4;0,0;
1022 ;0:00,90 ;4537 ;7 ;70;33;57;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;4,52 ;13,4 ;-1 ;2,60 ;26,8 ;0 ;0 ;9 ;5,4;0,0;
1022 ;0:01,00 ;4538 ;7 ;70;33;57;0,897 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;4,48 ;13,4 ;-1 ;2,60 ;26,8 ;0 ;0 ;9 ;5,4;0,0;
1022 ;0:01,10 ;4539 ;7 ;70;33;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;4,55 ;13,3 ;-1 ;2,61 ;26,9 ;0 ;0 ;9 ;5,5;0,0;
1022 ;0:01,20 ;4564 ;7 ;70;33;57;0,887 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;4,61 ;13,2 ;-1 ;2,62 ;27,1 ;0 ;0 ;10 ;5,5;0,0;
1022 ;0:01,30 ;4608 ;7 ;70;33;56;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;4,61 ;13,2 ;-1 ;2,63 ;27,4 ;0 ;0 ;10 ;5,5;0,0;
1022 ;0:01,40 ;4532 ;7 ;70;33;57;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;4,51 ;13,4 ;-1 ;2,60 ;26,7 ;0 ;0 ;9 ;5,4;0,0;
1022 ;0:01,50 ;4547 ;7 ;70;33;57;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;4,47 ;13,4 ;-1 ;2,61 ;26,9 ;0 ;0 ;9 ;5,4;0,0;
1022 ;0:01,60 ;4585 ;7 ;70;33;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;4,55 ;13,3 ;-1 ;2,62 ;27,2 ;0 ;0 ;10 ;5,5;0,0;
1022 ;0:01,70 ;4552 ;7 ;71;33;56;0,888 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;4,55 ;13,1 ;-1 ;2,60 ;26,7 ;0 ;0 ;9 ;5,5;0,0;
1022 ;0:01,80 ;4569 ;7 ;71;33;57;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;4,52 ;13,3 ;-1 ;2,62 ;27,2 ;0 ;0 ;10 ;5,5;0,0;
1022 ;0:01,90 ;4500 ;7 ;71;33;57;0,895 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;4,51 ;13,3 ;-1 ;2,59 ;26,3 ;0 ;0 ;9 ;5,4;0,0;
1022 ;0:02,00 ;4557 ;7 ;71;33;57;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;4,52 ;13,2 ;-1 ;2,62 ;27,0 ;0 ;0 ;10 ;5,4;0,0;
1022 ;0:02,10 ;3974 ;7 ;71;33;58;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;4,06 ;13,4 ;-1 ;2,35 ;0,0 ;0 ;0 ;7 ;4,3;0,0;
1022 ;0:02,20 ;4226 ;7 ;71;33;58;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;4,25 ;13,4 ;-1 ;2,45 ;23,0 ;0 ;0 ;8 ;4,8;0,0;
1022 ;0:02,30 ;4427 ;7 ;71;33;59;0,930 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;4,38 ;13,4 ;-1 ;2,57 ;25,8 ;0 ;0 ;9 ;5,1;0,0;
1022 ;0:02,40 ;4585 ;7 ;71;33;58;0,995 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;4,51 ;13,4 ;-1 ;2,63 ;27,6 ;0 ;0 ;10 ;5,5;0,0;
1022 ;0:02,50 ;4744 ;7 ;71;33;57;1,030 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;4,75 ;13,1 ;-1 ;2,72 ;29,4 ;0 ;0 ;10 ;5,8;0,0;
1022 ;0:02,60 ;4566 ;7 ;71;33;57;0,977 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;4,62 ;13,4 ;-1 ;2,62 ;27,1 ;0 ;0 ;10 ;5,5;0,0;
