SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1029 ;0:00,10 ;4570 ;7 ;76;32;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,48 ;4,70 ;13,4 ;-1 ;2,62 ;27,2 ;0 ;0 ;10 ;5,5;0,0;
1029 ;0:00,20 ;4465 ;7 ;76;32;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;4,66 ;13,3 ;-1 ;2,56 ;25,8 ;0 ;0 ;9 ;5,5;0,0;
1029 ;0:00,30 ;4548 ;7 ;76;32;58;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;4,62 ;13,5 ;-1 ;2,62 ;27,1 ;0 ;0 ;10 ;5,3;0,0;
1029 ;0:00,40 ;4541 ;7 ;76;32;58;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;4,53 ;13,5 ;-1 ;2,62 ;27,0 ;0 ;0 ;9 ;5,4;0,0;
1029 ;0:00,50 ;4532 ;7 ;76;32;58;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,51 ;4,60 ;13,5 ;-1 ;2,61 ;26,9 ;0 ;0 ;9 ;5,4;0,0;
1029 ;0:00,60 ;4566 ;7 ;76;32;57;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;4,73 ;13,5 ;-1 ;2,62 ;27,5 ;0 ;0 ;10 ;5,5;0,0;
1029 ;0:00,70 ;4516 ;7 ;76;32;57;0,901 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;4,60 ;13,3 ;-1 ;2,60 ;26,5 ;0 ;0 ;9 ;5,5;0,0;
1029 ;0:00,80 ;4506 ;7 ;76;32;57;0,904 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;4,53 ;13,2 ;-1 ;2,59 ;26,4 ;0 ;0 ;9 ;5,4;0,0;
1029 ;0:00,90 ;4489 ;7 ;76;32;58;0,905 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;4,51 ;13,2 ;-1 ;2,59 ;26,4 ;0 ;0 ;9 ;5,3;0,0;
1029 ;0:01,00 ;4482 ;7 ;76;32;58;0,903 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;4,51 ;13,4 ;-1 ;2,58 ;26,3 ;0 ;0 ;9 ;5,3;0,0;
1029 ;0:01,10 ;4523 ;7 ;76;32;58;0,902 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;4,56 ;13,4 ;-1 ;2,61 ;26,8 ;0 ;0 ;9 ;5,4;0,0;
1029 ;0:01,20 ;4583 ;7 ;76;32;58;0,905 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;4,66 ;13,4 ;-1 ;2,62 ;27,6 ;0 ;0 ;10 ;5,4;0,0;
1029 ;0:01,30 ;4513 ;7 ;76;32;58;0,911 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;4,57 ;13,5 ;-1 ;2,60 ;26,7 ;0 ;0 ;9 ;5,5;0,0;
1029 ;0:01,40 ;4493 ;7 ;76;32;58;0,913 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;4,54 ;13,5 ;-1 ;2,59 ;26,4 ;0 ;0 ;9 ;5,5;0,0;
1029 ;0:01,50 ;4507 ;7 ;76;32;58;0,910 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;4,60 ;13,6 ;-1 ;2,60 ;26,6 ;0 ;0 ;9 ;5,5;0,0;
1029 ;0:01,60 ;4510 ;7 ;77;32;58;0,899 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;4,56 ;13,5 ;-1 ;2,60 ;26,6 ;0 ;0 ;9 ;5,5;0,0;
1029 ;0:01,70 ;4544 ;7 ;77;32;58;0,886 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;4,64 ;13,3 ;-1 ;2,62 ;27,1 ;0 ;0 ;9 ;5,5;0,0;
1029 ;0:01,80 ;4533 ;7 ;77;32;57;0,879 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;4,60 ;13,2 ;-1 ;2,60 ;26,7 ;0 ;0 ;9 ;5,5;0,0;
1029 ;0:01,90 ;4567 ;7 ;77;32;57;0,877 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;4,65 ;13,5 ;-1 ;2,62 ;27,1 ;0 ;0 ;10 ;5,5;0,0;
1029 ;0:02,00 ;4557 ;7 ;77;32;57;0,878 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,53 ;4,63 ;13,5 ;-1 ;2,62 ;27,0 ;0 ;0 ;10 ;5,4;0,0;
1029 ;0:02,10 ;4558 ;7 ;77;32;58;0,883 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;4,56 ;13,6 ;-1 ;2,62 ;27,3 ;0 ;0 ;9 ;5,4;0,0;
1029 ;0:02,20 ;4552 ;7 ;77;32;58;0,888 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,49 ;4,63 ;13,5 ;-1 ;2,62 ;27,2 ;0 ;0 ;10 ;5,4;0,0;
1029 ;0:02,30 ;4570 ;7 ;77;32;57;0,891 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;4,66 ;13,2 ;-1 ;2,62 ;27,2 ;0 ;0 ;10 ;5,6;0,0;
1029 ;0:02,40 ;4507 ;7 ;77;32;57;0,893 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;4,63 ;13,4 ;-1 ;2,59 ;26,4 ;0 ;0 ;9 ;5,5;0,0;
