SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1035 ;0:00,10 ;2149 ;7 ;61;31;89;0,605 ;0,0 ;0,0 ;0,0 ;3,8 ;0 ;4,85 ;2,54 ;13,2 ;-1 ;3,16 ;1,5 ;0 ;0 ;7 ;2,9;0,0;
1035 ;0:00,20 ;2211 ;7 ;61;31;88;0,605 ;0,0 ;0,0 ;0,0 ;3,8 ;0 ;4,86 ;2,59 ;13,2 ;-1 ;3,14 ;1,5 ;0 ;0 ;7 ;2,9;0,0;
1035 ;0:00,30 ;2211 ;7 ;61;31;88;0,606 ;0,0 ;0,0 ;0,0 ;3,8 ;0 ;4,85 ;2,65 ;13,2 ;-1 ;3,14 ;1,5 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:00,40 ;2240 ;7 ;61;31;87;0,607 ;0,0 ;0,0 ;0,0 ;3,8 ;0 ;4,86 ;2,67 ;13,2 ;-1 ;3,12 ;1,4 ;0 ;0 ;7 ;3,1;0,0;
1035 ;0:00,50 ;2240 ;7 ;61;31;86;0,607 ;0,0 ;0,0 ;0,0 ;3,8 ;0 ;4,85 ;2,71 ;13,2 ;-1 ;3,10 ;1,4 ;0 ;0 ;7 ;3,1;0,0;
1035 ;0:00,60 ;2274 ;7 ;61;31;86;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,68 ;13,2 ;-1 ;3,10 ;1,2 ;0 ;0 ;7 ;3,2;0,0;
1035 ;0:00,70 ;2269 ;7 ;61;31;86;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;2,75 ;13,2 ;-1 ;3,10 ;1,2 ;0 ;0 ;7 ;3,2;0,0;
1035 ;0:00,80 ;2319 ;7 ;61;31;85;0,606 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;2,71 ;13,0 ;-1 ;3,08 ;1,0 ;0 ;0 ;7 ;3,3;0,0;
1035 ;0:00,90 ;2423 ;7 ;61;31;86;0,605 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,86 ;13,2 ;-1 ;3,10 ;1,0 ;0 ;0 ;7 ;3,3;0,0;
1035 ;0:01,00 ;2384 ;7 ;61;31;86;0,606 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,81 ;13,2 ;-1 ;3,10 ;0,8 ;0 ;0 ;7 ;3,3;0,0;
1035 ;0:01,10 ;2366 ;7 ;61;31;86;0,606 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;2,77 ;13,2 ;-1 ;3,10 ;0,8 ;0 ;0 ;7 ;3,3;0,0;
1035 ;0:01,20 ;2284 ;7 ;61;31;85;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;2,73 ;12,9 ;-1 ;3,08 ;0,6 ;0 ;0 ;7 ;3,2;0,0;
1035 ;0:01,30 ;2209 ;7 ;61;31;86;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;2,65 ;13,2 ;-1 ;3,10 ;0,6 ;0 ;0 ;7 ;3,1;0,0;
1035 ;0:01,40 ;2138 ;7 ;61;31;87;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;2,55 ;13,2 ;-1 ;3,12 ;0,5 ;0 ;0 ;7 ;3,1;0,0;
1035 ;0:01,50 ;2053 ;7 ;61;31;87;0,610 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;2,54 ;13,2 ;-1 ;3,12 ;0,5 ;0 ;0 ;7 ;3,1;0,0;
1035 ;0:01,60 ;1995 ;7 ;61;31;88;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;2,46 ;13,2 ;-1 ;3,14 ;0,4 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:01,70 ;1973 ;7 ;61;31;88;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;2,45 ;13,2 ;-1 ;3,14 ;0,4 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:01,80 ;1973 ;7 ;61;31;89;0,607 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;2,45 ;13,2 ;-1 ;3,16 ;0,3 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:01,90 ;1977 ;7 ;61;31;88;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,41 ;13,2 ;-1 ;3,14 ;0,3 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:02,00 ;1993 ;7 ;61;31;88;0,609 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,43 ;13,1 ;-1 ;3,14 ;0,2 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:02,10 ;2042 ;7 ;61;31;88;0,608 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;2,46 ;12,9 ;-1 ;3,14 ;0,2 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:02,20 ;2016 ;7 ;61;31;88;0,610 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;2,43 ;13,2 ;-1 ;3,14 ;0,1 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:02,30 ;1964 ;7 ;61;31;89;0,609 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;2,42 ;13,2 ;-1 ;3,16 ;0,1 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:02,40 ;2029 ;7 ;61;31;88;0,609 ;0,0 ;0,0 ;0,0 ;5,4 ;0 ;4,84 ;2,47 ;13,2 ;-1 ;3,14 ;0,0 ;0 ;0 ;7 ;3,1;0,0;
1035 ;0:02,50 ;2060 ;7 ;61;31;88;0,608 ;0,0 ;0,0 ;0,0 ;5,4 ;0 ;4,86 ;2,47 ;13,2 ;-1 ;3,14 ;0,0 ;0 ;0 ;7 ;3,1;0,0;
1035 ;0:02,60 ;2039 ;7 ;61;31;89;0,609 ;0,0 ;0,0 ;0,0 ;1,1 ;0 ;4,83 ;2,51 ;13,2 ;-1 ;3,16 ;-0,1 ;0 ;0 ;7 ;3,0;0,0;
1035 ;0:02,70 ;1951 ;7 ;61;31;89;0,609 ;0,0 ;0,0 ;0,0 ;1,1 ;0 ;4,86 ;2,38 ;13,2 ;-1 ;3,16 ;-0,1 ;0 ;0 ;7 ;2,9;0,0;
1035 ;0:02,80 ;1870 ;7 ;61;31;89;0,610 ;0,0 ;0,0 ;0,0 ;1,1 ;0 ;4,86 ;2,33 ;13,2 ;-1 ;3,16 ;-0,1 ;0 ;0 ;7 ;2,9;0,0;
1035 ;0:02,90 ;1811 ;7 ;61;31;89;0,610 ;0,0 ;0,0 ;0,0 ;1,1 ;0 ;4,86 ;2,27 ;12,9 ;-1 ;3,16 ;-0,1 ;0 ;0 ;7 ;2,8;0,0;
1035 ;0:03,00 ;1829 ;7 ;61;31;90;0,610 ;0,0 ;0,0 ;0,0 ;1,1 ;0 ;4,85 ;2,30 ;13,2 ;-1 ;3,19 ;-0,1 ;0 ;0 ;7 ;2,8;0,0;
1035 ;0:03,10 ;1849 ;7 ;61;31;90;0,611 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;2,30 ;13,2 ;-1 ;3,19 ;-0,1 ;0 ;0 ;7 ;2,8;0,0;
1035 ;0:03,20 ;1819 ;7 ;61;31;90;0,612 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;2,27 ;13,1 ;-1 ;3,19 ;0,0 ;0 ;0 ;7 ;2,7;0,0;
1035 ;0:03,30 ;1742 ;7 ;61;31;90;0,612 ;0,0 ;0,0 ;0,0 ;2,3 ;0 ;4,87 ;2,22 ;13,1 ;-1 ;3,19 ;0,0 ;0 ;0 ;7 ;2,7;0,0;
1035 ;0:03,40 ;1608 ;7 ;61;31;91;0,613 ;0,0 ;0,0 ;0,0 ;13,4 ;0 ;4,85 ;2,14 ;13,2 ;-1 ;3,19 ;0,2 ;0 ;0 ;7 ;2,5;0,0;
1035 ;0:03,50 ;1615 ;7 ;61;31;92;0,614 ;0,0 ;0,0 ;0,0 ;13,4 ;0 ;4,86 ;2,11 ;13,2 ;-1 ;3,19 ;0,2 ;0 ;0 ;7 ;2,4;0,0;
1035 ;0:03,60 ;1617 ;7 ;61;31;91;0,615 ;0,0 ;0,0 ;0,0 ;0,8 ;0 ;4,80 ;2,14 ;13,1 ;-1 ;3,19 ;0,6 ;0 ;0 ;7 ;2,2;0,0;
1035 ;0:03,70 ;1778 ;7 ;61;31;92;0,614 ;0,0 ;0,0 ;0,0 ;13,6 ;0 ;4,85 ;2,21 ;13,2 ;-1 ;3,19 ;0,6 ;0 ;0 ;7 ;2,3;0,0;
