SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1015 ;0:00,10 ;4634 ;7 ;69;31;54;0,636 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;4,09 ;13,1 ;-1 ;2,64 ;27,2 ;0 ;0 ;10 ;5,6;0,0;
1015 ;0:00,20 ;4634 ;7 ;69;31;54;0,637 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;4,06 ;13,1 ;-1 ;2,64 ;27,2 ;0 ;0 ;10 ;5,6;0,0;
1015 ;0:00,30 ;4563 ;7 ;69;31;54;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;3,97 ;13,2 ;-1 ;2,60 ;26,3 ;0 ;0 ;9 ;5,5;0,0;
1015 ;0:00,40 ;4521 ;7 ;69;31;55;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;3,96 ;13,3 ;-1 ;2,58 ;26,0 ;0 ;0 ;9 ;5,4;0,0;
1015 ;0:00,50 ;4591 ;7 ;69;31;55;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;4,00 ;13,2 ;-1 ;2,61 ;26,7 ;0 ;0 ;10 ;5,4;0,0;
1015 ;0:00,60 ;4601 ;7 ;69;30;54;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;4,06 ;13,1 ;-1 ;2,62 ;26,8 ;0 ;0 ;10 ;5,6;0,0;
1015 ;0:00,70 ;4593 ;7 ;69;31;55;0,638 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;3,96 ;13,3 ;-1 ;2,62 ;26,9 ;0 ;0 ;10 ;5,5;0,0;
1015 ;0:00,80 ;4621 ;7 ;70;30;55;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;4,05 ;13,1 ;-1 ;2,63 ;27,2 ;0 ;0 ;10 ;5,5;0,0;
1015 ;0:00,90 ;4613 ;7 ;70;30;54;0,639 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;4,11 ;13,1 ;-1 ;2,63 ;26,9 ;0 ;0 ;10 ;5,5;0,0;
1015 ;0:01,00 ;4619 ;7 ;70;30;55;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;4,02 ;13,3 ;-1 ;2,63 ;27,2 ;0 ;0 ;10 ;5,5;0,0;
1015 ;0:01,10 ;4633 ;7 ;70;30;55;0,643 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;4,00 ;13,1 ;-1 ;2,64 ;27,4 ;0 ;0 ;10 ;5,6;0,0;
1015 ;0:01,20 ;4575 ;7 ;70;30;54;0,641 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;4,08 ;13,2 ;-1 ;2,61 ;26,4 ;0 ;0 ;10 ;5,5;0,0;
1015 ;0:01,30 ;4068 ;7 ;70;30;56;0,645 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;3,64 ;13,2 ;-1 ;2,30 ;20,5 ;0 ;0 ;7 ;4,8;0,0;
