"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
19063,1626526588460,,,249,248,237,231,,0.07,-0.01,-2.0,0,-4,-4,0.07,,68,4621,7,31,54,0.626,0.0,413,4.7,13.1,0.0,1,27.0,1.52,5.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19083,1626526588480,,,248,249,237,231,,0.09,-0.02,-2.15,0,-3,-3,0.09,,68,4631,7,31,54,0.625,0.0,407,4.74,13.1,0.0,1,27.1,2.64,5.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19103,1626526588500,,,248,249,237,231,,0.06,-0.02,-2.3,0,-0,-0,0.06,,68,4617,7,31,54,0.625,0.0,403,4.75,13.0,0.0,1,27.0,2.63,5.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19123,1626526588520,,,248,248,237,231,,-0.0,0.01,-2.18,0,1,1,0.01,,68,4623,7,31,54,0.625,0.0,406,4.76,12.9,0.0,1,27.0,1.52,5.7,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19143,1626526588540,0,1,249,248,237,231,25,-0.05,0.03,-2.01,0,1,0,0.06,1,68,4622,7,31,54,0.625,0.0,400,4.71,13.2,0.0,1,27.0,2.63,5.6,0,0,0,1,0,0,250,250,0,45.700306,4.909401,0.0,186.3,9,2,1.9,0,0.0,-1,0.0,,0.0,0,0.0,0.3191
19163,1626526588560,,,249,248,237,231,,-0.07,0.06,-1.86,0,-0,-0,0.1,,68,4617,7,31,54,0.625,0.0,411,4.75,13.2,0.0,1,27.0,2.63,5.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19183,1626526588580,,,249,249,237,231,,-0.12,0.08,-1.71,0,1,-0,0.14,,68,4639,7,31,54,0.625,0.0,403,4.73,13.2,0.0,1,27.2,2.65,5.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19203,1626526588600,,,248,249,237,231,,-0.1,0.11,-1.58,0,-2,-2,0.15,,68,4585,7,31,54,0.625,0.0,403,4.79,13.2,0.0,1,26.6,2.62,5.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19223,1626526588620,,,248,249,237,231,,-0.06,0.1,-1.46,0,-4,-4,0.12,,68,4601,7,31,54,0.624,0.0,410,4.72,13.3,0.0,1,26.8,1.51,5.6,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19243,1626526588640,-1,2,249,249,237,231,26,-0.01,0.07,-1.54,0,-6,-5,0.07,0,68,4622,7,31,54,0.624,0.0,399,4.75,13.2,0.0,1,27.0,2.63,5.5,0,0,0,1,0,0,250,250,0,45.700306,4.909401,0.0,186.3,9,2,1.9,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.3207
19263,1626526588660,,,248,248,237,231,,0.02,0.03,-1.73,0,-6,-6,0.04,,68,4609,7,31,54,0.624,0.0,408,4.7,13.2,0.0,1,26.9,1.51,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19283,1626526588680,,,248,248,237,231,,0.06,-0.0,-1.91,0,-6,-6,0.06,,68,4622,7,31,54,0.625,0.0,397,4.75,13.2,0.0,1,27.0,2.63,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
19303,1626526588700,,,249,248,237,231,,0.08,-0.04,-2.07,0,-3,-4,0.09,,68,4642,7,31,54,0.625,0.0,405,4.72,13.1,0.0,1,26.9,2.65,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
