SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

2992 ;0:00,10 ;2025 ;5 ;83;28;81;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,01 ;1,99 ;13,5 ;2,77 ;0,0 ;0,0;
2992 ;0:00,20 ;2108 ;5 ;83;28;80;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,00 ;2,02 ;13,5 ;2,76 ;0,0 ;0,0;
2992 ;0:00,30 ;2180 ;5 ;83;28;78;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;2,08 ;13,5 ;2,73 ;0,0 ;0,0;
2992 ;0:00,40 ;2249 ;5 ;83;28;77;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,01 ;2,06 ;13,4 ;2,72 ;0,0 ;0,0;
2992 ;0:00,50 ;2332 ;5 ;83;28;76;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,01 ;2,16 ;13,5 ;2,71 ;0,0 ;0,0;
2992 ;0:00,60 ;2399 ;5 ;83;28;75;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;2,21 ;13,5 ;2,73 ;0,0 ;0,0;
2992 ;0:00,70 ;2468 ;5 ;83;28;74;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,01 ;2,30 ;13,5 ;2,74 ;0,0 ;0,0;
2992 ;0:00,80 ;2533 ;5 ;83;28;72;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,01 ;2,21 ;13,5 ;2,75 ;0,0 ;0,0;
2992 ;0:00,90 ;2616 ;5 ;83;28;71;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;2,36 ;13,4 ;2,76 ;0,0 ;0,0;
2992 ;0:01,00 ;2694 ;5 ;83;28;69;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,01 ;2,36 ;13,4 ;2,78 ;0,0 ;0,0;
2992 ;0:01,10 ;2755 ;5 ;83;28;69;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;2,42 ;13,4 ;2,77 ;0,0 ;0,0;
2992 ;0:01,20 ;2817 ;5 ;83;28;67;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;2,45 ;13,4 ;2,74 ;0,0 ;0,0;
2992 ;0:01,30 ;2908 ;5 ;83;28;66;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;2,47 ;13,4 ;2,71 ;0,0 ;0,0;
2992 ;0:01,40 ;2973 ;5 ;83;28;65;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,04 ;2,46 ;13,4 ;2,68 ;0,0 ;0,0;
2992 ;0:01,50 ;3057 ;5 ;83;29;64;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,01 ;2,51 ;13,4 ;2,64 ;0,0 ;0,0;
2992 ;0:01,60 ;3107 ;5 ;83;29;63;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;2,60 ;13,4 ;2,62 ;0,0 ;0,0;
2992 ;0:01,70 ;3208 ;5 ;83;29;63;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,04 ;2,71 ;13,4 ;2,62 ;0,0 ;0,0;
2992 ;0:01,80 ;3262 ;5 ;83;29;63;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,03 ;2,80 ;13,4 ;2,62 ;0,0 ;0,0;
2992 ;0:01,90 ;3378 ;5 ;83;29;62;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,05 ;2,90 ;13,4 ;2,59 ;0,0 ;0,0;
2992 ;0:02,00 ;3396 ;5 ;83;29;61;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,05 ;2,80 ;13,4 ;2,57 ;0,0 ;0,0;
2992 ;0:02,10 ;3486 ;5 ;83;29;59;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;1,04 ;2,89 ;13,4 ;2,49 ;0,0 ;0,0;
2992 ;0:02,20 ;3582 ;5 ;83;29;58;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;1,05 ;2,87 ;13,4 ;2,45 ;15,3 ;0,0;
