SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

2997 ;0:00,10 ;409 ;28 ;88;29;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;1,26 ;11,2 ;3,18 ;20,0 ;0,0;
2997 ;0:00,20 ;410 ;5 ;88;29;98;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;1,25 ;11,1 ;3,18 ;20,0 ;0,0;
2997 ;0:00,30 ;113 ;66 ;88;29;98;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;1,26 ;10,9 ;3,18 ;20,0 ;0,0;
2997 ;0:00,40 ;276 ;6 ;88;29;98;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;1,26 ;11,1 ;3,18 ;20,0 ;0,0;
2997 ;0:00,50 ;276 ;6 ;88;29;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;1,26 ;11,1 ;3,18 ;20,0 ;0,0;
2997 ;0:00,60 ;276 ;6 ;88;29;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;1,24 ;10,7 ;3,18 ;20,0 ;0,0;
2997 ;0:00,70 ;350 ;59 ;88;29;98;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;1,26 ;11,0 ;3,18 ;20,0 ;0,0;
2997 ;0:00,80 ;48 ;99 ;88;29;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;1,25 ;11,0 ;3,18 ;20,0 ;0,0;
2997 ;0:00,90 ;0 ;99 ;88;29;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,81 ;1,23 ;10,5 ;0,00 ;0,0 ;0,0;
2997 ;0:01,00 ;0 ;47 ;88;29;99;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,20 ;12,5 ;0,00 ;0,0 ;0,0;
2997 ;0:01,10 ;0 ;12 ;88;29;99;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;1,21 ;12,5 ;0,00 ;0,0 ;0,0;
