SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

3007 ;0:00,10 ;4401 ;6 ;92;25;56;0,807 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;3,50 ;12,9 ;2,54 ;22,0 ;0,0;
3007 ;0:00,20 ;4400 ;6 ;92;25;56;0,805 ;0,0 ;0,0 ;0,0 ;0,0 ;4,79 ;3,38 ;13,0 ;2,54 ;22,0 ;0,0;
3007 ;0:00,30 ;4418 ;6 ;92;25;56;0,813 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;3,49 ;13,1 ;2,55 ;22,2 ;0,0;
3007 ;0:00,40 ;4401 ;6 ;92;25;56;0,824 ;0,0 ;0,0 ;0,0 ;0,0 ;4,75 ;3,41 ;12,9 ;2,54 ;22,0 ;0,0;
3007 ;0:00,50 ;4381 ;6 ;92;25;56;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;4,82 ;3,35 ;13,1 ;2,53 ;21,7 ;0,0;
3007 ;0:00,60 ;4340 ;6 ;93;25;56;0,820 ;0,0 ;0,0 ;0,0 ;0,0 ;4,77 ;3,38 ;12,8 ;2,50 ;21,2 ;0,0;
3007 ;0:00,70 ;4360 ;6 ;92;25;56;0,818 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;3,54 ;13,0 ;2,51 ;21,5 ;0,0;
3007 ;0:00,80 ;4451 ;6 ;93;25;56;0,819 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;3,51 ;12,9 ;2,57 ;22,6 ;0,0;
3007 ;0:00,90 ;4496 ;6 ;93;25;56;0,817 ;0,0 ;0,0 ;0,0 ;0,0 ;4,84 ;3,55 ;12,9 ;2,60 ;23,1 ;0,0;
3007 ;0:01,00 ;4451 ;6 ;93;25;56;0,816 ;0,0 ;0,0 ;0,0 ;0,0 ;4,77 ;3,52 ;13,0 ;2,57 ;22,6 ;0,0;
3007 ;0:01,10 ;4418 ;6 ;93;25;57;0,815 ;0,0 ;0,0 ;0,0 ;0,0 ;4,81 ;3,47 ;13,1 ;2,57 ;22,1 ;0,0;
3007 ;0:01,20 ;4397 ;6 ;93;25;56;0,807 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;3,41 ;12,8 ;2,54 ;22,0 ;0,0;
3007 ;0:01,30 ;4334 ;6 ;93;25;56;0,799 ;0,0 ;0,0 ;0,0 ;0,0 ;4,77 ;3,38 ;13,1 ;2,50 ;21,2 ;0,0;
3007 ;0:01,40 ;4310 ;6 ;93;25;56;0,799 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;3,32 ;13,0 ;2,49 ;20,9 ;0,0;
3007 ;0:01,50 ;4331 ;6 ;93;25;56;0,804 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;3,46 ;13,0 ;2,50 ;21,2 ;0,0;
3007 ;0:01,60 ;4303 ;6 ;93;25;57;0,805 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;3,45 ;13,1 ;2,50 ;20,7 ;0,0;
3007 ;0:01,70 ;4275 ;6 ;93;25;56;0,810 ;0,0 ;0,0 ;0,0 ;0,0 ;4,87 ;3,38 ;13,1 ;2,46 ;20,5 ;0,0;
3007 ;0:01,80 ;4257 ;6 ;93;25;56;0,818 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;3,33 ;13,0 ;2,45 ;20,2 ;0,0;
3007 ;0:01,90 ;4273 ;6 ;93;25;56;0,822 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;3,37 ;13,0 ;2,46 ;20,4 ;0,0;
3007 ;0:02,00 ;4313 ;6 ;93;25;56;0,822 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;3,38 ;13,1 ;2,49 ;21,0 ;0,0;
