SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

3043 ;0:00,10 ;715 ;47 ;87;30;99;1,083 ;0,0 ;0,0 ;0,0 ;0,0 ;1,98 ;1,26 ;12,8 ;3,58 ;20,0 ;0,0;
3043 ;0:00,20 ;715 ;20 ;87;30;99;1,073 ;0,0 ;0,0 ;0,0 ;0,0 ;2,00 ;1,27 ;12,8 ;3,58 ;20,0 ;0,0;
3043 ;0:00,30 ;715 ;11 ;87;30;98;1,050 ;0,0 ;0,0 ;0,0 ;0,0 ;2,00 ;1,28 ;12,8 ;3,16 ;20,0 ;0,0;
3043 ;0:00,40 ;1288 ;20 ;87;30;97;1,023 ;0,0 ;0,0 ;0,0 ;0,0 ;1,97 ;1,58 ;12,8 ;3,43 ;20,9 ;0,0;
3043 ;0:00,50 ;1500 ;18 ;87;30;93;1,015 ;0,0 ;0,0 ;0,0 ;0,0 ;1,98 ;1,67 ;13,1 ;3,21 ;17,1 ;0,0;
3043 ;0:00,60 ;1756 ;9 ;87;30;83;1,025 ;0,0 ;0,0 ;0,0 ;0,0 ;1,98 ;1,82 ;13,0 ;2,79 ;13,0 ;0,0;
3043 ;0:00,70 ;2058 ;4 ;87;30;80;1,027 ;0,0 ;0,0 ;0,0 ;0,0 ;1,97 ;1,93 ;13,0 ;2,74 ;0,0 ;0,0;
3043 ;0:00,80 ;2046 ;5 ;87;30;78;1,005 ;0,0 ;0,0 ;0,0 ;0,0 ;2,02 ;1,92 ;13,0 ;2,72 ;0,0 ;0,0;
3043 ;0:00,90 ;2226 ;4 ;87;30;76;0,971 ;0,0 ;0,0 ;0,0 ;0,0 ;1,97 ;1,98 ;12,9 ;2,69 ;0,0 ;0,0;
3043 ;0:01,00 ;2248 ;5 ;87;30;75;0,954 ;0,0 ;0,0 ;0,0 ;0,0 ;1,95 ;2,03 ;13,1 ;2,71 ;0,0 ;0,0;
3043 ;0:01,10 ;2302 ;5 ;87;30;72;0,955 ;0,0 ;0,0 ;0,0 ;0,0 ;2,01 ;2,02 ;12,9 ;2,74 ;0,0 ;0,0;
3043 ;0:01,20 ;2569 ;5 ;87;30;70;0,944 ;0,0 ;0,0 ;0,0 ;0,0 ;2,00 ;2,14 ;13,0 ;2,76 ;0,0 ;0,0;
3043 ;0:01,30 ;2387 ;5 ;87;30;67;0,913 ;0,0 ;0,0 ;0,0 ;0,0 ;2,00 ;2,16 ;13,1 ;2,76 ;0,0 ;0,0;
3043 ;0:01,40 ;2765 ;5 ;87;29;62;0,885 ;0,0 ;0,0 ;0,0 ;0,0 ;2,00 ;2,30 ;13,1 ;2,62 ;0,0 ;0,0;
3043 ;0:01,50 ;3190 ;5 ;87;29;61;0,877 ;0,0 ;0,0 ;0,0 ;0,0 ;2,02 ;2,48 ;13,1 ;2,57 ;0,0 ;0,0;
3043 ;0:01,60 ;2876 ;5 ;87;29;58;0,863 ;0,0 ;0,0 ;0,0 ;0,0 ;2,00 ;2,36 ;13,0 ;2,47 ;0,0 ;0,0;
