SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

3050 ;0:00,10 ;2341 ;9 ;79;34;89;1,492 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;2,10 ;13,1 ;2,83 ;13,0 ;0,0;
3050 ;0:00,20 ;2342 ;9 ;79;34;90;1,481 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;2,07 ;13,2 ;2,84 ;13,0 ;0,0;
3050 ;0:00,30 ;2321 ;9 ;79;34;90;1,481 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;2,08 ;13,2 ;2,84 ;13,0 ;0,0;
3050 ;0:00,40 ;2322 ;9 ;79;34;90;1,487 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;2,09 ;13,2 ;2,84 ;13,0 ;0,0;
3050 ;0:00,50 ;2321 ;10 ;79;34;90;1,488 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;2,11 ;13,1 ;2,84 ;13,0 ;0,0;
3050 ;0:00,60 ;2376 ;10 ;79;34;90;1,492 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;2,15 ;13,1 ;2,84 ;13,0 ;0,0;
3050 ;0:00,70 ;2315 ;10 ;79;34;90;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;2,12 ;12,9 ;2,84 ;13,0 ;0,0;
3050 ;0:00,80 ;2359 ;10 ;79;34;90;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;2,13 ;13,1 ;2,84 ;13,0 ;0,0;
3050 ;0:00,90 ;2383 ;10 ;79;34;90;1,496 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;2,11 ;13,2 ;2,84 ;13,0 ;0,0;
3050 ;0:01,00 ;2398 ;10 ;79;34;91;1,473 ;0,0 ;0,0 ;0,0 ;0,0 ;4,87 ;2,13 ;13,0 ;2,99 ;14,3 ;0,0;
3050 ;0:01,10 ;2318 ;11 ;79;34;91;1,460 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;2,08 ;13,1 ;2,99 ;14,3 ;0,0;
3050 ;0:01,20 ;2335 ;11 ;79;34;91;1,474 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;2,12 ;13,1 ;2,99 ;14,3 ;0,0;
3050 ;0:01,30 ;2462 ;11 ;79;34;91;1,485 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;2,12 ;13,2 ;3,00 ;14,3 ;0,0;
