																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	4000	23,88	24,47	24,97	43,19	32,46	57	52,7	0E-13	1211	2453		55,84	0,5916	0,5916	0	42,32	1,021	8,584	0	
	4050	22,92	23,52	24,01	41,22	31,59	54,88	53,36	0,1101	1156	2339		53,76	0,6039	0,6039	0	40,38	1,021	8,584	0	
	4100	21,96	22,58	23,05	39,25	30,72	52,75	54,02	0,2202	1100	2225		51,68	0,6162	0,6162	0	38,45	1,021	8,584	0	
	4150	21,01	21,64	22,09	37,28	29,85	50,63	54,68	0,3303	1045	2111		49,6	0,6285	0,6285	0	36,52	1,021	8,584	0	
	4200	20,05	20,69	21,12	35,3	28,99	48,51	55,34	0,4404	989,7	1997		47,52	0,6408	0,6408	0	34,59	1,021	8,584	0	
	4250	19,1	19,75	20,16	33,33	28,12	46,48	55,99	0,5504	934,4	1883		45,54	0,6532	0,6532	0	32,66	1,021	8,584	0	
	4300	18,14	18,81	19,2	31,36	27,25	44,51	56,65	0,6605	879,2	1769		43,61	0,6655	0,6655	0	30,72	1,021	8,584	0	
	4350	15,44	16,12	16,45	26,58	24,59	39,73	57,31	0,8046	745,2	1482		38,93	0,678	0,678	0	26,04	1,021	8,584	0	
	4400	11,63	12,32	12,57	20,08	20,81	33,23	57,97	0,9967	563	1089		32,56	0,6906	0,6906	0	19,67	1,021	8,584	0	
	4450	8,498	9,201	9,392	14,83	17,72	27,98	58,63	1,25	415,6	774,9		27,41	0,7034	0,7034	0	14,53	1,021	8,584	0	
	4500	8,749	9,466	9,662	15,08	18,09	28,23	59,29	1,47	422,7	796,3		27,66	0,7163	0,7163	0	14,77	1,021	8,584	0	
	4550	9,848	10,58	10,8	16,66	19,31	29,81	59,95	1,651	467,1	894,5		29,21	0,7293	0,7293	0	16,32	1,021	8,584	0	
	4600	10,23	10,98	11,2	17,11	19,82	30,25	60,61	1,837	479,5	909,9		29,64	0,7425	0,7425	0	16,76	1,021	8,584	0	
	4650	10,83	11,58	11,82	17,86	20,53	31,01	61,26	2,073	500,6	959,5		30,38	0,7559	0,7559	0	17,49	1,021	8,584	0	
	4700	11,56	12,33	12,59	18,81	21,39	31,96	61,92	2,217	527,3	1020		31,31	0,7694	0,7694	0	18,43	1,021	8,584	0	
	4750	12,45	13,23	13,5	19,96	22,4	33,11	62,58	2,391	559,7	1087		32,44	0,783	0,783	0	19,56	1,021	8,584	0	
	4800	13,41	14,21	14,5	21,22	23,49	34,36	63,24	2,553	594,7	1166		33,67	0,7969	0,7969	0	20,79	1,021	8,584	0	
	4850	14,35	15,16	15,47	22,41	24,55	35,56	63,9	2,686	628,1	1248		34,84	0,8108	0,8108	0	21,95	1,021	8,584	0	
	4900	15,16	15,99	16,32	23,38	25,49	36,53	64,56	2,828	655,5	1298		35,79	0,8249	0,8249	0	22,91	1,021	8,584	0	
