																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	4000	23,37	23,96	24,51	42,44			52,7	-0E-15	1187	2364			0,5917	0,5917	0	41,48	1,023	8,584	0	26,05
	4050	22,45	23,05	23,58	40,52			53,36	0,1094	1133	2258			0,604	0,604	0	39,6	1,023	8,584	0	26,05
	4100	21,52	22,14	22,65	38,6			54,02	0,2188	1079	2153			0,6163	0,6163	0	37,73	1,023	8,584	0	26,05
	4150	20,6	21,23	21,72	36,68			54,68	0,3282	1026	2047			0,6286	0,6286	0	35,85	1,023	8,584	0	26,05
	4200	19,68	20,32	20,79	34,76			55,34	0,4377	972,1	1941			0,6409	0,6409	0	33,97	1,023	8,584	0	26,05
	4250	18,76	19,41	19,86	32,84			55,99	0,5471	918,5	1836			0,6532	0,6532	0	32,1	1,023	8,584	0	26,05
	4300	17,84	18,5	18,93	30,92			56,65	0,6565	864,8	1730			0,6655	0,6655	0	30,22	1,023	8,584	0	26,05
	4350	16,71	17,38	17,79	28,73			57,31	0,7799	803,6	1597			0,678	0,678	0	28,08	1,023	8,584	0	26,05
	4400	15,63	16,32	16,7	26,66			57,97	0,9095	745,7	1471			0,6906	0,6906	0	26,06	1,023	8,584	0	26,05
	4450	14,66	15,37	15,72	24,82			58,63	1,05	694,1	1357			0,7034	0,7034	0	24,26	1,023	8,584	0	26,05
	4500	14,21	14,93	15,27	23,84			59,29	1,192	666,9	1303			0,7163	0,7163	0	23,31	1,023	8,584	0	26,05
	4550	13,95	14,68	15,02	23,19			59,95	1,334	648,5	1268			0,7294	0,7294	0	22,66	1,023	8,584	0	26,05
	4600	13,84	14,58	14,92	22,78			60,61	1,475	637	1246			0,7425	0,7425	0	22,26	1,023	8,584	0	26,05
	4650	13,84	14,6	14,94	22,56			61,26	1,629	631	1230			0,7559	0,7559	0	22,05	1,023	8,584	0	26,05
	4700	13,9	14,67	15,01	22,43			61,92	1,776	627,3	1222			0,7694	0,7694	0	21,92	1,023	8,584	0	26,05
	4750	14,17	14,95	15,29	22,61			62,58	1,926	632,4	1235			0,7831	0,7831	0	22,1	1,023	8,584	0	26,05
	4800	14,78	15,57	15,93	23,31			63,24	2,075	652	1279			0,7968	0,7968	0	22,79	1,023	8,584	0	26,05
	4850	16	16,81	17,2	24,9			63,9	2,202	696,3	1372			0,8108	0,8108	0	24,33	1,023	8,584	0	26,05
	4900	17,36	18,19	18,61	26,66			64,56	2,321	745,6	1477			0,8249	0,8249	0	26,06	1,023	8,584	0	26,05
	4950	18,85	19,69	20,14	28,57			65,22	2,433	799,1	1590			0,8391	0,8391	0	27,93	1,023	8,584	0	26,05
	5000	20,09	20,94	21,43	30,08			65,88	2,535	841,3	1681			0,8536	0,8536	0	29,4	1,023	8,584	0	26,05
	5050	21,26	22,12	22,64	31,47			66,53	2,634	880,2	1766			0,8681	0,8681	0	30,76	1,023	8,584	0	26,05
	5100	22,18	23,06	23,59	32,48			67,19	2,732	908,5	1826			0,8829	0,8829	0	31,75	1,023	8,584	0	26,05
	5150	23,01	23,91	24,46	33,36			67,85	2,83	933	1878			0,8977	0,8977	0	32,61	1,023	8,584	0	26,05
	5200	23,99	24,9	25,47	34,4			68,51	2,925	961,9	1938			0,9128	0,9128	0	33,62	1,023	8,584	0	26,05
	5250	25,01	25,94	26,54	35,5			69,17	3,018	992,8	2002			0,9279	0,9279	0	34,7	1,023	8,584	0	26,05
	5300	26,11	27,05	27,68	36,67			69,83	3,104	1026	2071			0,9433	0,9433	0	35,84	1,023	8,584	0	26,05
	5350	27,27	28,23	28,88	37,9			70,49	3,185	1060	2145			0,9589	0,9589	0	37,04	1,023	8,584	0	26,05
	5400	28,39	29,36	30,04	39,08			71,15	3,266	1093	2215			0,9744	0,9744	0	38,19	1,023	8,584	0	26,05
	5450	29,19	30,18	30,88	39,78			71,8	3,342	1113	2258			0,9904	0,9904	0	38,88	1,023	8,584	0	26,05
	5500	29,99	31	31,71	40,49			72,46	3,419	1132	2301			1,006	1,006	0	39,57	1,023	8,584	0	26,05
	5550	30,58	31,6	32,33	40,91			73,12	3,497	1144	2325			1,023	1,023	0	39,99	1,023	8,584	0	26,05
	5600	30,93	31,97	32,71	41,03			73,78	3,577	1147	2329			1,039	1,039	0	40,1	1,023	8,584	0	26,05
	5650	31,29	32,34	33,09	41,14			74,44	3,656	1150	2334			1,055	1,055	0	40,21	1,023	8,584	0	26,05
	5700	31,42	32,49	33,24	40,96			75,1	3,736	1146	2322			1,072	1,072	0	40,04	1,023	8,584	0	26,05
	5750	31,54	32,63	33,38	40,78			75,76	3,817	1140	2309			1,089	1,089	0	39,85	1,023	8,584	0	26,05
	5800	31,58	32,69	33,44	40,5			76,42	3,897	1133	2292			1,106	1,106	0	39,58	1,023	8,584	0	26,05
	5850	31,54	32,66	33,41	40,12			77,08	3,979	1122	2269			1,123	1,123	0	39,21	1,023	8,584	0	26,05
