																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	2000	6,014	6,239	6,377	22,57	9,033	31,72	26,35	0E-13	631,9	1110		31,04	0,2242	0,2242	0	22,08	1,022	8,584	0	26,05
	2050	6,491	6,723	6,872	23,61	9,595	32,85	27,01	0,1296	660,8	1196		32,14	0,2315	0,2315	0	23,09	1,022	8,584	0	26,05
	2100	6,969	7,207	7,367	24,64	10,16	33,97	27,67	0,2592	689,7	1281		33,23	0,2389	0,2389	0	24,1	1,022	8,584	0	26,05
	2150	7,446	7,692	7,862	25,67	10,72	35	28,33	0,3887	718,6	1367		34,24	0,2463	0,2463	0	25,11	1,022	8,584	0	26,05
	2200	7,77	8,023	8,201	26,18	11,12	35,51	28,99	0,5171	732,9	1419		34,74	0,2538	0,2538	0	25,62	1,022	8,584	0	26,05
	2250	7,93	8,191	8,372	26,13	11,36	35,46	29,64	0,6442	731,6	1436		34,7	0,2613	0,2613	0	25,57	1,022	8,584	0	26,05
	2300	7,97	8,239	8,422	25,72	11,48	35,05	30,3	0,7786	720,1	1422		34,29	0,269	0,269	0	25,16	1,022	8,584	0	26,05
	2350	8,012	8,289	8,472	25,32	11,59	34,65	30,96	0,912	708,9	1407		33,9	0,2767	0,2767	0	24,78	1,022	8,584	0	26,05
	2400	8,072	8,357	8,542	25	11,73	34,33	31,62	1,043	699,8	1394		33,58	0,2845	0,2845	0	24,46	1,022	8,584	0	26,05
	2450	8,247	8,539	8,728	25,02	11,98	34,35	32,28	1,176	700,4	1396		33,61	0,2925	0,2925	0	24,48	1,022	8,584	0	26,05
	2500	8,475	8,775	8,969	25,2	12,29	34,53	32,94	1,306	705,3	1407		33,78	0,3005	0,3005	0	24,65	1,022	8,584	0	26,05
	2550	8,764	9,072	9,273	25,54	12,66	34,87	33,6	1,432	714,9	1428		34,11	0,3086	0,3086	0	24,99	1,022	8,584	0	26,05
	2600	8,987	9,304	9,51	25,69	12,96	35,02	34,26	1,557	719,1	1437		34,26	0,3169	0,3169	0	25,13	1,022	8,584	0	26,05
	2650	9,195	9,52	9,731	25,79	13,25	35,12	34,91	1,683	722	1444		34,36	0,3252	0,3252	0	25,23	1,022	8,584	0	26,05
	2700	9,405	9,739	9,954	25,89	13,54	35,22	35,57	1,813	724,9	1450		34,46	0,3337	0,3337	0	25,33	1,022	8,584	0	26,05
	2750	9,775	10,12	10,34	26,4	13,99	35,73	36,23	1,937	739,2	1483		34,96	0,3422	0,3422	0	25,83	1,022	8,584	0	26,05
	2800	10,23	10,58	10,81	27,12	14,53	36,45	36,89	2,058	759,2	1527		35,66	0,3509	0,3509	0	26,53	1,022	8,584	0	26,05
	2850	10,85	11,21	11,46	28,23	15,25	37,56	37,55	2,167	790,3	1593		36,75	0,3597	0,3597	0	27,62	1,022	8,584	0	26,05
	2900	11,46	11,83	12,09	29,28	15,94	38,61	38,21	2,275	819,7	1654		37,77	0,3685	0,3685	0	28,65	1,022	8,584	0	26,05
	2950	11,98	12,36	12,63	30,06	16,55	39,39	38,87	2,378	841,6	1699		38,54	0,3775	0,3775	0	29,41	1,022	8,584	0	26,05
