																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	2000	4,203	4,427	4,523	16	7,728	27,14	26,35	0E-13	448,1	775,5	0	26,57	0,2244	0,2244	0	15,66	1,022	8,584	0	
	2050	4,913	5,144	5,255	18,01	8,540	29,26	27,01	0,1633	504,3	917,9	0	28,65	0,2317	0,2317	0	17,63	1,022	8,584	0	
	2100	5,623	5,861	5,988	20,01	9,352	31,27	27,67	0,3267	560,6	1060	0	30,62	0,2389	0,2389	0	19,59	1,022	8,584	0	
	2150	6,129	6,375	6,512	21,26	9,957	32,52	28,33	0,4827	595,6	1149	0	31,84	0,2463	0,2463	0	20,82	1,022	8,584	0	
	2200	6,478	6,732	6,877	21,95	10,4	33,2	28,99	0,636	614,9	1200	0	32,51	0,2538	0,2538	0	21,49	1,022	8,584	0	
	2250	6,711	6,972	7,122	22,23	10,73	33,49	29,64	0,7882	622,7	1225	0	32,79	0,2613	0,2613	0	21,76	1,022	8,584	0	
	2300	6,905	7,173	7,328	22,38	11,01	33,63	30,3	0,9373	626,8	1238	0	32,93	0,2689	0,2689	0	21,9	1,022	8,584	0	
	2350	7,12	7,397	7,556	22,58	11,32	33,83	30,96	1,084	632,5	1252	0	33,13	0,2767	0,2767	0	22,1	1,022	8,584	0	
	2400	7,383	7,667	7,832	22,92	11,68	34,17	31,62	1,228	641,9	1274	0	33,46	0,2845	0,2845	0	22,43	1,022	8,584	0	
	2450	7,701	7,993	8,165	23,41	12,09	34,66	32,28	1,369	655,7	1305	0	33,94	0,2924	0,2924	0	22,91	1,022	8,584	0	
	2500	8,126	8,426	8,607	24,17	12,61	35,43	32,94	1,502	677,1	1352	0	34,69	0,3005	0,3005	0	23,66	1,022	8,584	0	
	2550	8,512	8,821	9,011	24,81	13,1	36,06	33,6	1,631	695	1391	0	35,31	0,3087	0,3087	0	24,29	1,022	8,584	0	
	2600	8,864	9,181	9,378	25,33	13,54	36,58	34,26	1,755	709,6	1424	0	35,82	0,3169	0,3169	0	24,8	1,022	8,584	0	
	2650	9,181	9,506	9,71	25,73	13,96	36,98	34,91	1,884	720,8	1446	0	36,21	0,3252	0,3252	0	25,19	1,022	8,584	0	
	2700	9,55	9,883	10,1	26,26	14,42	37,51	35,57	2,010	735,5	1477	0	36,73	0,3337	0,3337	0	25,7	1,022	8,584	0	
	2750	10,01	10,36	10,58	27,01	14,98	38,26	36,23	2,13	756,6	1523	0	37,47	0,3422	0,3422	0	26,44	1,022	8,584	0	
	2800	10,57	10,93	11,16	27,98	15,65	39,23	36,89	2,243	783,7	1580	0	38,41	0,3509	0,3509	0	27,39	1,021	8,584	0	
	2850	11,18	11,54	11,78	29,03	16,35	40,29	37,55	2,353	813,3	1642	0	39,45	0,3596	0,3596	0	28,42	1,021	8,584	0	
	2900	11,75	12,11	12,37	29,95	17,02	41,21	38,21	2,456	839,1	1698	0	40,35	0,3686	0,3686	0	29,33	1,021	8,584	0	
	2950	12,31	12,69	12,96	30,85	17,69	42,11	38,87	2,559	864,4	1753	0	41,23	0,3775	0,3775	0	30,21	1,021	8,584	0	
	3000	12,74	13,13	13,41	31,38	18,22	42,64	39,53	2,659	879,3	1789	0	41,75	0,3866	0,3866	0	30,73	1,021	8,584	0	
	3050	13,16	13,56	13,85	31,89	18,74	43,15	40,18	2,759	893,5	1824	0	42,25	0,3958	0,3958	0	31,23	1,021	8,584	0	
	3100	13,56	13,97	14,26	32,31	19,23	43,57	40,84	2,858	905,3	1851	0	42,66	0,4052	0,4052	0	31,64	1,021	8,584	0	
	3150	13,96	14,37	14,68	32,73	19,73	43,99	41,5	2,957	916,9	1878	0	43,07	0,4146	0,4146	0	32,04	1,021	8,584	0	
	3200	14,39	14,82	15,13	33,2	20,26	44,46	42,16	3,051	930,3	1901	0	43,54	0,4242	0,4242	0	32,51	1,021	8,584	0	
