																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	4000	19,7	20,29	20,76	36,4	26,02	45,69	52,7	-0E-14	1018	1228		44,66	0,5932	0,5932	0	35,58	1,023	8,584	0	34,43
	4050	19,26	19,86	20,32	35,24	25,65	44,49	53,36	0,1656	985,4	1209		43,48	0,605	0,605	0	34,44	1,023	8,584	0	34,43
	4100	18,82	19,44	19,89	34,07	25,28	43,31	54,02	0,3312	952,8	1191		42,33	0,6169	0,6169	0	33,3	1,023	8,584	0	34,43
	4150	17,91	18,54	18,97	32,11	24,43	41,35	54,68	0,4967	898,1	1170		40,42	0,6288	0,6288	0	31,39	1,023	8,584	0	34,43
	4200	16,32	16,96	17,35	29,02	22,87	38,26	55,34	0,66	811,7	1144		37,4	0,6409	0,6409	0	28,37	1,023	8,584	0	34,43
	4250	14,32	14,97	15,32	25,32	20,91	34,56	55,99	0,817	708,1	1111		33,78	0,6531	0,6531	0	24,75	1,023	8,584	0	34,43
	4300	12,02	12,68	12,98	21,2	18,64	30,44	56,65	0,9997	593	1013		29,75	0,6655	0,6655	0	20,72	1,023	8,584	0	34,43
	4350	10,4	11,08	11,33	18,3	17,06	27,54	57,31	1,216	511,7	933,4		26,91	0,6779	0,6779	0	17,88	1,023	8,584	0	34,43
	4400	10,38	11,08	11,33	18,09	17,12	27,33	57,97	1,399	505,9	955,7		26,71	0,6906	0,6906	0	17,68	1,023	8,584	0	34,43
	4450	10,76	11,47	11,73	18,52	17,59	27,76	58,63	1,577	517,9	985,7		27,13	0,7034	0,7034	0	18,1	1,023	8,584	0	34,43
	4500	11,05	11,77	12,04	18,79	17,96	28,03	59,29	1,759	525,5	997,4		27,4	0,7163	0,7163	0	18,37	1,023	8,584	0	34,43
	4550	11,23	11,96	12,24	18,89	18,22	28,13	59,95	1,944	528,3	1004		27,49	0,7293	0,7293	0	18,46	1,023	8,584	0	34,43
	4600	11,53	12,27	12,56	19,17	18,61	28,41	60,61	2,124	536,1	1029		27,77	0,7426	0,7426	0	18,74	1,023	8,584	0	34,43
	4650	12,2	12,95	13,25	20,01	19,37	29,25	61,26	2,294	559,6	1085		28,59	0,7559	0,7559	0	19,56	1,023	8,584	0	34,43
	4700	13,21	13,98	14,31	21,38	20,49	30,62	61,92	2,451	597,8	1168		29,92	0,7694	0,7694	0	20,89	1,023	8,584	0	34,43
	4750	14,36	15,14	15,49	22,9	21,74	32,14	62,58	2,588	640,4	1256		31,41	0,7831	0,7831	0	22,38	1,023	8,584	0	34,43
	4800	15,6	16,39	16,77	24,53	23,09	33,77	63,24	2,722	686,1	1352		33,01	0,7969	0,7969	0	23,98	1,023	8,584	0	34,43
	4850	16,88	17,69	18,1	26,2	24,48	35,44	63,9	2,849	732,7	1450		34,64	0,8108	0,8108	0	25,61	1,023	8,584	0	34,43
	4900	18,19	19,01	19,45	27,87	25,9	37,11	64,56	2,961	779,4	1549		36,27	0,8249	0,8249	0	27,24	1,023	8,584	0	34,43
	4950	19,38	20,22	20,69	29,35	27,2	38,59	65,22	3,069	820,8	1639		37,72	0,8392	0,8392	0	28,68	1,023	8,584	0	34,43
	5000	20,46	21,31	21,8	30,62	28,38	39,86	65,88	3,172	856,3	1716		38,95	0,8536	0,8536	0	29,92	1,023	8,584	0	34,43
	5050	21,3	22,17	22,69	31,55	29,33	40,79	66,53	3,273	882,2	1772		39,86	0,8681	0,8681	0	30,83	1,023	8,584	0	34,43
	5100	21,95	22,84	23,37	32,17	30,07	41,41	67,19	3,372	899,8	1809		40,48	0,8829	0,8829	0	31,45	1,023	8,584	0	34,43
	5150	22,66	23,56	24,1	32,86	30,88	42,1	67,85	3,472	919,1	1850		41,15	0,8977	0,8977	0	32,12	1,023	8,584	0	34,43
	5200	23,42	24,33	24,89	33,62	31,73	42,86	68,51	3,573	940,2	1895		41,89	0,9128	0,9128	0	32,86	1,023	8,584	0	34,43
	5250	24,36	25,28	25,87	34,6	32,78	43,84	69,17	3,666	967,5	1953		42,84	0,928	0,928	0	33,81	1,023	8,584	0	34,43
	5300	25,45	26,39	27	35,77	33,98	45,01	69,83	3,752	1000	2023		43,99	0,9433	0,9433	0	34,96	1,023	8,584	0	34,43
	5350	26,53	27,49	28,12	36,91	35,16	46,15	70,49	3,837	1032	2091		45,11	0,9588	0,9588	0	36,08	1,023	8,584	0	34,43
	5400	27,54	28,52	29,18	37,94	36,28	47,18	71,15	3,918	1061	2151		46,11	0,9745	0,9745	0	37,08	1,023	8,584	0	34,43
	5450	28,56	29,55	30,23	38,96	37,4	48,2	71,8	3,999	1090	2211		47,11	0,9903	0,9903	0	38,08	1,023	8,584	0	34,43
	5500	29,27	30,28	30,98	39,56	38,21	48,8	72,46	4,078	1106	2246		47,69	1,006	1,006	0	38,66	1,023	8,584	0	34,43
	5550	29,87	30,89	31,61	40	38,91	49,24	73,12	4,157	1119	2271		48,12	1,023	1,023	0	39,09	1,023	8,584	0	34,43
	5600	30,4	31,44	32,17	40,35	39,54	49,59	73,78	4,236	1128	2291		48,46	1,039	1,039	0	39,43	1,023	8,584	0	34,43
	5650	30,64	31,7	32,43	40,32	39,86	49,55	74,44	4,318	1127	2288		48,43	1,055	1,055	0	39,4	1,023	8,584	0	34,43
	5700	30,88	31,95	32,69	40,28	40,19	49,52	75,1	4,399	1127	2284		48,4	1,072	1,072	0	39,37	1,023	8,584	0	34,43
	5750	31,03	32,12	32,87	40,15	40,43	49,39	75,76	4,481	1123	2277		48,27	1,089	1,089	0	39,24	1,023	8,584	0	34,43
	5800	31,16	32,26	33,01	39,97	40,64	49,21	76,42	4,563	1118	2269		48,1	1,106	1,106	0	39,07	1,023	8,584	0	34,43
	5850	31,28	32,41	33,16	39,81	40,85	49,05	77,08	4,644	1113	2261		47,94	1,123	1,123	0	38,91	1,023	8,584	0	34,43
	5900	31,42	32,56	33,32	39,66	41,08	48,9	77,73	4,725	1109	2252		47,8	1,140	1,140	0	38,77	1,023	8,584	0	34,43
	5950	31,56	32,72	33,48	39,52	41,31	48,76	78,39	4,806	1105	2243		47,66	1,158	1,158	0	38,63	1,023	8,584	0	34,43
	6000	31,9	33,07	33,84	39,61	41,73	48,85	79,05	4,889	1108	2246		47,75	1,176	1,176	0	38,72	1,023	8,584	0	34,43
	6050	32,28	33,47	34,25	39,75	42,2	48,99	79,71	4,972	1112	2251		47,88	1,194	1,194	0	38,85	1,023	8,584	0	34,43
	6100	32,73	33,94	34,73	39,99	42,76	49,23	80,37	5,053	1118	2263		48,11	1,212	1,212	0	39,08	1,023	8,584	0	34,43
	6150	33,3	34,53	35,33	40,34	43,42	49,58	81,03	5,131	1128	2285		48,46	1,23	1,23	0	39,43	1,023	8,584	0	34,43
	6200	33,87	35,12	35,93	40,7	44,08	49,94	81,69	5,209	1138	2308		48,81	1,248	1,248	0	39,78	1,023	8,584	0	34,43
	6250	34,23	35,5	36,32	40,82	44,54	50,06	82,35	5,286	1141	2314		48,92	1,267	1,267	0	39,89	1,023	8,584	0	34,43
	6300	34,57	35,85	36,68	40,89	44,97	50,13	83	5,363	1144	2318		49	1,286	1,286	0	39,97	1,023	8,584	0	34,43
