																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	4000	9,616	10,21	10,4	18,33			52,7	0E-14	514,8	373,5			0,5932	0,5932	0	17,99	1,019	8,584	0	34,43
	4050	10,9	11,5	11,72	20,33			53,36	0,1766	570,8	682,8			0,6051	0,6051	0	19,95	1,019	8,584	0	34,43
	4100	12,17	12,79	13,04	22,32			54,02	0,3531	626,9	992			0,6169	0,6169	0	21,91	1,019	8,584	0	34,43
	4150	13,27	13,9	14,17	23,96			54,68	0,4821	672,8	1189			0,6289	0,6289	0	23,51	1,019	8,584	0	34,43
	4200	14,3	14,94	15,23	25,46			55,34	0,5933	715	1343			0,6409	0,6409	0	24,99	1,019	8,584	0	34,43
	4250	13,88	14,53	14,81	24,47			55,99	0,7353	687,2	1317			0,6531	0,6531	0	24,02	1,019	8,584	0	34,43
	4300	12,17	12,84	13,08	21,38			56,65	0,9066	600,5	1156			0,6655	0,6655	0	20,99	1,019	8,584	0	34,43
	4350	8,842	9,52	9,701	15,67			57,31	1,152	440	816,9			0,678	0,678	0	15,38	1,019	8,584	0	34,43
	4400	7,369	8,059	8,213	13,11			57,97	1,445	368,1	661			0,6906	0,6906	0	12,86	1,019	8,584	0	34,43
	4450	8,071	8,774	8,941	14,11			58,63	1,673	396,2	733,2			0,7034	0,7034	0	13,85	1,019	8,584	0	34,43
	4500	8,912	9,628	9,812	15,31			59,29	1,892	429,9	805,8			0,7163	0,7163	0	15,03	1,019	8,584	0	34,43
	4550	9,547	10,28	10,47	16,16			59,95	2,111	453,9	853,5			0,7293	0,7293	0	15,86	1,019	8,584	0	34,43
	4600	9,982	10,72	10,93	16,68			60,61	2,315	468,5	888,5			0,7426	0,7426	0	16,37	1,019	8,584	0	34,43
	4650	10,15	10,9	11,11	16,78			61,26	2,517	471,3	897,5			0,7559	0,7559	0	16,47	1,019	8,584	0	34,43
	4700	10,2	10,97	11,18	16,7			61,92	2,726	468,9	892,4			0,7694	0,7694	0	16,39	1,019	8,584	0	34,43
	4750	10,28	11,06	11,27	16,67			62,58	2,931	468	888,3			0,783	0,783	0	16,35	1,019	8,584	0	34,43
