																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	2000	3,796	4,020	4,114	14,59	6,766	23,76	26,35	-0E-15	408	758,9		23,22	0,2243	0,2243	0	14,26	1,023	8,584	0	25,62
	2050	4,254	4,485	4,589	15,76	7,308	25,01	27,01	0,191	440,8	830,1		24,44	0,2316	0,2316	0	15,41	1,023	8,584	0	25,62
	2100	4,712	4,95	5,065	16,94	7,85	26,25	27,67	0,382	473,6	901,3		25,65	0,2389	0,2389	0	16,55	1,023	8,584	0	25,62
	2150	5,194	5,44	5,566	18,18	8,418	27,49	28,33	0,5691	508,3	977,7		26,86	0,2463	0,2463	0	17,77	1,023	8,584	0	25,62
	2200	5,777	6,03	6,17	19,7	9,088	29,01	28,99	0,7398	550,8	1075		28,35	0,2537	0,2537	0	19,25	1,023	8,584	0	25,62
	2250	6,371	6,633	6,786	21,17	9,771	30,49	29,64	0,8889	592,1	1169		29,79	0,2613	0,2613	0	20,69	1,023	8,584	0	25,62
	2300	6,921	7,19	7,356	22,45	10,41	31,77	30,3	1,031	627,8	1247		31,04	0,269	0,269	0	21,94	1,023	8,584	0	25,62
	2350	7,421	7,697	7,876	23,53	10,99	32,85	30,96	1,17	658,1	1310		32,1	0,2767	0,2767	0	23	1,023	8,584	0	25,62
	2400	7,838	8,122	8,311	24,32	11,49	33,63	31,62	1,304	680	1355		32,86	0,2845	0,2845	0	23,77	1,023	8,584	0	25,62
	2450	8,207	8,499	8,696	24,92	11,95	34,24	32,28	1,436	697	1390		33,46	0,2925	0,2925	0	24,36	1,023	8,584	0	25,62
