SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

43 ;0:00,10 ;2198 ;55 ;89;26;98;0,797 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;2,19 ;13,8 ;4,08 ;24,0 ;0,0;
43 ;0:00,20 ;2254 ;55 ;89;26;97;0,800 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;2,17 ;13,8 ;3,94 ;22,6 ;0,0;
43 ;0:00,30 ;2328 ;55 ;89;26;98;0,801 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;2,26 ;13,8 ;4,12 ;24,0 ;0,0;
43 ;0:00,40 ;2252 ;55 ;89;26;97;0,801 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;2,19 ;13,8 ;3,94 ;22,6 ;0,0;
43 ;0:00,50 ;2220 ;55 ;89;26;97;0,801 ;0,0 ;0,0 ;0,0 ;0,0 ;4,87 ;2,17 ;13,8 ;3,94 ;22,6 ;0,0;
43 ;0:00,60 ;2252 ;55 ;89;26;97;0,800 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;2,20 ;13,8 ;3,94 ;22,6 ;0,0;
43 ;0:00,70 ;2269 ;55 ;89;26;97;0,799 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;2,17 ;13,7 ;3,94 ;22,6 ;0,0;
43 ;0:00,80 ;2315 ;55 ;89;26;98;0,797 ;0,0 ;0,0 ;0,0 ;0,0 ;4,88 ;2,25 ;13,8 ;4,12 ;24,0 ;0,0;
43 ;0:00,90 ;2210 ;55 ;89;26;97;0,795 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;2,14 ;13,6 ;3,93 ;22,6 ;0,0;
43 ;0:01,00 ;2297 ;55 ;89;26;98;0,794 ;0,0 ;0,0 ;0,0 ;0,0 ;4,88 ;2,25 ;13,8 ;4,11 ;24,0 ;0,0;
43 ;0:01,10 ;2245 ;55 ;89;26;97;0,795 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;2,15 ;13,8 ;3,94 ;22,6 ;0,0;
43 ;0:01,20 ;2266 ;55 ;89;26;98;0,797 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;2,26 ;13,8 ;4,10 ;24,0 ;0,0;
43 ;0:01,30 ;2254 ;55 ;89;26;97;0,799 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;2,17 ;13,7 ;3,94 ;22,6 ;0,0;
43 ;0:01,40 ;2229 ;55 ;89;26;98;0,802 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;2,25 ;13,8 ;4,09 ;24,0 ;0,0;
43 ;0:01,50 ;2250 ;55 ;89;26;97;0,802 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;2,15 ;13,8 ;3,94 ;22,6 ;0,0;
43 ;0:01,60 ;2322 ;68 ;89;26;97;0,802 ;0,0 ;0,0 ;0,0 ;0,0 ;4,87 ;2,24 ;13,7 ;3,96 ;22,6 ;0,0;
43 ;0:01,70 ;2243 ;100 ;89;26;97;0,803 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;2,16 ;13,8 ;3,94 ;22,6 ;0,0;
43 ;0:01,80 ;2253 ;100 ;89;26;98;0,803 ;0,0 ;0,0 ;0,0 ;0,0 ;4,88 ;2,21 ;13,8 ;4,10 ;24,0 ;0,0;
43 ;0:01,90 ;2249 ;100 ;89;26;97;0,802 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;2,17 ;13,8 ;3,94 ;22,6 ;0,0;
