SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

64 ;0:00,10 ;7637 ;11 ;81;26;39;0,749 ;0,0 ;0,0 ;103,2 ;0,0 ;4,85 ;6,42 ;13,2 ;2,72 ;31,0 ;0,0;
64 ;0:00,20 ;7578 ;12 ;81;26;39;0,756 ;0,0 ;0,0 ;103,0 ;0,0 ;4,89 ;6,41 ;13,3 ;2,72 ;31,0 ;0,0;
64 ;0:00,30 ;7566 ;12 ;81;26;39;0,765 ;0,0 ;0,0 ;102,4 ;0,0 ;4,96 ;6,25 ;13,2 ;2,72 ;31,0 ;0,0;
64 ;0:00,40 ;7545 ;11 ;81;26;39;0,771 ;0,0 ;0,0 ;102,1 ;0,0 ;4,84 ;6,41 ;13,1 ;2,72 ;31,0 ;0,0;
64 ;0:00,50 ;7594 ;12 ;81;26;39;0,775 ;0,0 ;0,0 ;102,1 ;0,0 ;4,80 ;6,40 ;13,3 ;2,72 ;31,0 ;0,0;
64 ;0:00,60 ;7479 ;12 ;81;26;39;0,779 ;0,0 ;0,0 ;102,0 ;0,0 ;4,87 ;6,27 ;13,3 ;2,71 ;31,0 ;0,0;
64 ;0:00,70 ;7575 ;12 ;81;26;40;0,775 ;0,0 ;0,0 ;102,0 ;0,0 ;4,87 ;6,31 ;13,3 ;2,72 ;31,5 ;0,0;
64 ;0:00,80 ;7584 ;12 ;81;26;40;0,775 ;0,0 ;0,0 ;101,9 ;0,0 ;4,92 ;6,28 ;13,3 ;2,72 ;31,5 ;0,0;
64 ;0:00,90 ;7494 ;12 ;81;26;40;0,777 ;0,0 ;0,0 ;101,6 ;0,0 ;4,87 ;6,32 ;13,2 ;2,72 ;31,5 ;0,0;
64 ;0:01,00 ;7527 ;12 ;81;26;41;0,775 ;0,0 ;0,0 ;102,1 ;0,0 ;4,87 ;6,30 ;13,2 ;2,72 ;32,0 ;0,0;
64 ;0:01,10 ;7518 ;12 ;81;26;41;0,767 ;0,0 ;0,0 ;101,0 ;0,0 ;4,88 ;6,28 ;13,2 ;2,72 ;32,0 ;0,0;
64 ;0:01,20 ;7446 ;12 ;81;26;41;0,764 ;0,0 ;0,0 ;101,4 ;0,0 ;4,91 ;6,25 ;13,2 ;2,71 ;31,9 ;0,0;
64 ;0:01,30 ;7524 ;12 ;81;26;41;0,756 ;0,0 ;0,0 ;101,8 ;0,0 ;4,93 ;6,38 ;13,2 ;2,72 ;32,0 ;0,0;
64 ;0:01,40 ;7425 ;12 ;82;26;41;0,752 ;0,0 ;0,0 ;101,0 ;0,0 ;4,85 ;6,28 ;13,3 ;2,71 ;31,9 ;0,0;
64 ;0:01,50 ;7479 ;12 ;81;26;41;0,750 ;0,0 ;0,0 ;101,1 ;0,0 ;4,87 ;6,29 ;13,3 ;2,71 ;31,9 ;0,0;
64 ;0:01,60 ;7452 ;12 ;82;26;41;0,750 ;0,0 ;0,0 ;101,3 ;0,0 ;4,82 ;6,33 ;13,3 ;2,71 ;31,9 ;0,0;
64 ;0:01,70 ;7434 ;12 ;82;26;41;0,747 ;0,0 ;0,0 ;101,2 ;0,0 ;4,86 ;6,31 ;13,2 ;2,71 ;31,9 ;0,0;
64 ;0:01,80 ;7485 ;12 ;82;26;42;0,748 ;0,0 ;0,0 ;101,2 ;0,0 ;4,83 ;6,42 ;13,1 ;2,71 ;32,4 ;0,0;
64 ;0:01,90 ;7461 ;12 ;82;26;42;0,750 ;0,0 ;0,0 ;100,6 ;0,0 ;4,88 ;6,25 ;13,2 ;2,71 ;32,4 ;0,0;
64 ;0:02,00 ;7425 ;12 ;82;26;41;0,748 ;0,0 ;0,0 ;100,6 ;0,0 ;4,84 ;6,20 ;13,3 ;2,71 ;31,9 ;0,0;
64 ;0:02,10 ;7431 ;12 ;82;26;42;0,744 ;0,0 ;0,0 ;100,4 ;0,0 ;4,84 ;6,35 ;13,1 ;2,71 ;32,3 ;0,0;
64 ;0:02,20 ;7402 ;12 ;82;26;42;0,747 ;0,0 ;0,0 ;100,9 ;0,0 ;4,89 ;6,23 ;13,2 ;2,70 ;32,3 ;0,0;
64 ;0:02,30 ;7422 ;12 ;82;26;42;0,746 ;0,0 ;0,0 ;100,5 ;0,0 ;4,93 ;6,33 ;13,3 ;2,71 ;32,3 ;0,0;
64 ;0:02,40 ;7434 ;12 ;82;26;42;0,745 ;0,0 ;0,0 ;100,2 ;0,0 ;4,88 ;6,26 ;13,3 ;2,71 ;32,3 ;0,0;
64 ;0:02,50 ;7396 ;12 ;82;26;42;0,739 ;0,0 ;0,0 ;100,1 ;0,0 ;4,81 ;6,24 ;13,2 ;2,70 ;32,3 ;0,0;
