SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

73 ;0:00,10 ;0 ;18 ;102;43;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;1,22 ;11,5 ;0,00 ;0,0 ;0,0;
73 ;0:00,20 ;0 ;16 ;102;43;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;1,23 ;11,5 ;0,00 ;0,0 ;0,0;
73 ;0:00,30 ;0 ;11 ;102;43;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;1,24 ;11,6 ;0,00 ;0,0 ;0,0;
73 ;0:00,40 ;0 ;11 ;102;43;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;1,02 ;1,26 ;11,8 ;0,00 ;0,0 ;0,0;
73 ;0:00,50 ;427 ;10 ;102;43;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;1,53 ;1,23 ;11,5 ;3,22 ;30,0 ;0,0;
73 ;0:00,60 ;432 ;10 ;102;43;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,70 ;1,24 ;11,7 ;3,25 ;28,6 ;0,0;
73 ;0:00,70 ;430 ;10 ;102;43;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;1,28 ;11,4 ;3,25 ;28,6 ;0,0;
73 ;0:00,80 ;426 ;10 ;102;43;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,28 ;11,7 ;3,25 ;28,6 ;0,0;
73 ;0:00,90 ;737 ;10 ;102;43;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,34 ;11,9 ;3,22 ;30,0 ;0,0;
73 ;0:01,00 ;1364 ;31 ;103;44;95;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;1,41 ;11,3 ;5,86 ;28,7 ;0,0;
73 ;0:01,10 ;2228 ;65 ;102;44;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;1,62 ;11,8 ;6,18 ;32,6 ;0,0;
73 ;0:01,20 ;3773 ;12 ;102;43;95;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;2,62 ;12,7 ;7,43 ;30,8 ;0,0;
73 ;0:01,30 ;4023 ;9 ;102;43;84;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;3,28 ;12,7 ;5,19 ;26,3 ;0,0;
73 ;0:01,40 ;4872 ;9 ;102;43;76;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,84 ;12,7 ;4,13 ;35,3 ;0,0;
73 ;0:01,50 ;5149 ;9 ;102;43;69;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,28 ;12,7 ;3,53 ;36,4 ;0,0;
73 ;0:01,60 ;5340 ;9 ;102;43;64;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,60 ;12,8 ;2,85 ;34,8 ;0,0;
73 ;0:01,70 ;5560 ;9 ;102;43;61;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;4,80 ;12,7 ;2,45 ;34,0 ;0,0;
73 ;0:01,80 ;5848 ;9 ;102;43;58;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;5,15 ;12,8 ;2,30 ;33,3 ;0,0;
73 ;0:01,90 ;6013 ;9 ;102;43;55;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,98 ;5,28 ;12,7 ;2,23 ;32,8 ;0,0;
73 ;0:02,00 ;6141 ;9 ;102;43;53;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;5,42 ;12,8 ;2,24 ;32,7 ;0,0;
73 ;0:02,10 ;6241 ;9 ;102;43;51;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;5,58 ;12,6 ;2,26 ;32,6 ;0,0;
73 ;0:02,20 ;6456 ;9 ;102;42;47;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;5,61 ;12,8 ;2,27 ;32,2 ;0,0;
73 ;0:02,30 ;6776 ;9 ;102;42;43;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,99 ;5,87 ;12,6 ;2,26 ;31,8 ;0,0;
73 ;0:02,40 ;6967 ;9 ;102;42;40;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;6,14 ;12,8 ;2,28 ;31,2 ;0,0;
73 ;0:02,50 ;6993 ;9 ;102;42;37;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;6,06 ;12,8 ;2,17 ;30,3 ;0,0;
73 ;0:02,60 ;6893 ;9 ;102;42;36;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;5,99 ;12,8 ;2,11 ;29,9 ;0,0;
73 ;0:02,70 ;6684 ;9 ;102;42;36;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;5,92 ;12,6 ;2,11 ;29,8 ;0,0;
73 ;0:02,80 ;6308 ;9 ;102;42;36;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;5,67 ;12,6 ;2,11 ;29,4 ;0,0;
73 ;0:02,90 ;5496 ;9 ;102;41;41;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,99 ;4,86 ;12,8 ;2,46 ;28,9 ;0,0;
73 ;0:03,00 ;4936 ;9 ;102;41;45;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;4,39 ;12,7 ;2,69 ;28,2 ;0,0;
73 ;0:03,10 ;4558 ;8 ;102;41;47;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,89 ;12,8 ;2,53 ;24,2 ;0,0;
73 ;0:03,20 ;4293 ;8 ;102;41;49;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;3,78 ;12,6 ;2,40 ;21,6 ;0,0;
73 ;0:03,30 ;4379 ;8 ;102;41;50;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;3,80 ;12,8 ;2,45 ;22,9 ;0,0;
73 ;0:03,40 ;4404 ;8 ;102;41;51;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;3,79 ;12,6 ;2,46 ;23,4 ;0,0;
