SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

79 ;0:00,10 ;0 ;10 ;94;39;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0,99 ;1,23 ;11,7 ;0,00 ;0,0 ;0,0;
79 ;0:00,20 ;0 ;10 ;94;39;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0,99 ;1,23 ;11,7 ;0,00 ;0,0 ;0,0;
79 ;0:00,30 ;0 ;10 ;94;39;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0,99 ;1,23 ;11,7 ;0,00 ;0,0 ;0,0;
79 ;0:00,40 ;0 ;10 ;94;39;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0,98 ;1,23 ;11,7 ;0,00 ;0,0 ;0,0;
79 ;0:00,50 ;450 ;10 ;94;39;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;1,24 ;11,6 ;3,36 ;28,6 ;0,0;
79 ;0:00,60 ;445 ;10 ;94;39;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,24 ;11,5 ;3,33 ;30,0 ;0,0;
79 ;0:00,70 ;444 ;9 ;94;39;97;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,26 ;11,6 ;3,36 ;28,6 ;0,0;
79 ;0:00,80 ;458 ;9 ;94;39;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;1,26 ;11,4 ;3,33 ;30,0 ;0,0;
79 ;0:00,90 ;485 ;9 ;94;39;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;1,28 ;11,4 ;3,36 ;28,6 ;0,0;
79 ;0:01,00 ;453 ;9 ;94;39;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;1,30 ;11,5 ;3,33 ;30,0 ;0,0;
79 ;0:01,10 ;468 ;31 ;94;39;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;4,88 ;1,28 ;11,3 ;5,58 ;28,6 ;0,0;
79 ;0:01,20 ;1278 ;86 ;95;40;97;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;1,40 ;11,5 ;5,83 ;30,8 ;0,0;
79 ;0:01,30 ;870 ;64 ;96;40;96;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,76 ;1,31 ;10,9 ;4,83 ;27,2 ;0,0;
79 ;0:01,40 ;2819 ;10 ;95;40;93;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,88 ;1,82 ;12,2 ;6,15 ;27,1 ;0,0;
79 ;0:01,50 ;4453 ;9 ;94;39;83;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;3,30 ;12,7 ;5,59 ;32,5 ;0,0;
79 ;0:01,60 ;5383 ;9 ;94;39;72;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;4,60 ;12,7 ;5,07 ;36,9 ;0,0;
79 ;0:01,70 ;5280 ;9 ;94;39;65;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;4,79 ;12,7 ;3,21 ;35,2 ;0,0;
79 ;0:01,80 ;5482 ;9 ;94;39;61;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,88 ;4,97 ;12,7 ;2,49 ;34,0 ;0,0;
79 ;0:01,90 ;5828 ;9 ;94;39;58;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;5,34 ;12,8 ;2,31 ;33,3 ;0,0;
79 ;0:02,00 ;6101 ;9 ;94;39;55;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;5,60 ;12,7 ;2,22 ;33,1 ;0,0;
79 ;0:02,10 ;6490 ;8 ;94;39;50;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;5,82 ;12,6 ;2,25 ;33,0 ;0,0;
