																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	2000	5,788	6,011	6,206	21,81	8,796	30,89	26,29	0E-13	606	505,8		29,91	0,2237	0,2237	0	21,13	1,032	8,605	0	25,22
	2050	6,067	6,298	6,501	22,27	9,156	31,37	26,94	0,1776	618,8	750,5		30,38	0,2309	0,2309	0	21,57	1,032	8,605	0	25,22
	2100	6,347	6,586	6,799	22,74	9,518	31,83	27,6	0,354	631,8	991,6		30,83	0,2382	0,2382	0	22,03	1,032	8,605	0	25,22
	2150	6,664	6,91	7,133	23,3	9,918	32,39	28,26	0,5011	647,3	1143		31,37	0,2455	0,2455	0	22,57	1,032	8,605	0	25,22
	2200	6,915	7,168	7,4	23,62	10,25	32,72	28,91	0,6452	656,3	1234		31,69	0,253	0,253	0	22,88	1,032	8,605	0	25,22
	2250	7,1	7,36	7,598	23,72	10,51	32,82	29,57	0,7889	659	1281		31,78	0,2605	0,2605	0	22,98	1,032	8,605	0	25,22
	2300	7,192	7,461	7,702	23,52	10,68	32,62	30,23	0,9354	653,5	1286		31,59	0,2681	0,2681	0	22,78	1,032	8,605	0	25,22
	2350	7,255	7,531	7,774	23,24	10,82	32,33	30,89	1,081	645,7	1276		31,31	0,2758	0,2758	0	22,51	1,032	8,605	0	25,22
	2400	7,32	7,604	7,849	22,97	10,96	32,07	31,54	1,227	638,3	1263		31,06	0,2836	0,2836	0	22,25	1,032	8,605	0	25,22
	2450	7,41	7,701	7,95	22,79	11,12	31,89	32,2	1,374	633,3	1253		30,88	0,2915	0,2915	0	22,08	1,032	8,605	0	25,22
	2500	7,597	7,897	8,152	22,9	11,39	32	32,86	1,521	636,3	1260		30,99	0,2995	0,2995	0	22,18	1,032	8,605	0	25,22
	2550	7,831	8,138	8,401	23,14	11,7	32,23	33,52	1,661	642,9	1277		31,22	0,3076	0,3076	0	22,41	1,032	8,605	0	25,22
	2600	8,024	8,34	8,61	23,26	11,98	32,36	34,17	1,8	646,3	1286		31,33	0,3158	0,3158	0	22,53	1,032	8,605	0	25,22
	2650	8,131	8,455	8,729	23,13	12,16	32,23	34,83	1,941	642,8	1280		31,21	0,3241	0,3241	0	22,41	1,032	8,605	0	25,22
	2700	8,177	8,51	8,783	22,85	12,28	31,95	35,49	2,09	635	1264		30,94	0,3326	0,3326	0	22,14	1,032	8,605	0	25,22
	2750	8,361	8,702	8,981	22,93	12,54	32,04	36,14	2,237	637,4	1271		31,03	0,3411	0,3411	0	22,22	1,032	8,605	0	25,22
	2800	8,711	9,061	9,352	23,45	12,98	32,55	36,8	2,379	651,7	1304		31,53	0,3497	0,3497	0	22,72	1,032	8,605	0	25,22
	2850	9,311	9,67	9,98	24,59	13,67	33,69	37,46	2,509	683,3	1374		32,63	0,3584	0,3584	0	23,82	1,032	8,605	0	25,22
	2900	9,959	10,33	10,66	25,8	14,42	34,9	38,12	2,629	716,9	1447		33,8	0,3673	0,3673	0	25	1,032	8,605	0	25,22
	2950	10,63	11	11,36	27,04	15,18	36,14	38,77	2,745	751,5	1523		35	0,3762	0,3762	0	26,2	1,032	8,605	0	25,22
	3000	11,11	11,5	11,87	27,78	15,76	36,88	39,43	2,857	771,9	1562		35,72	0,3853	0,3853	0	26,91	1,032	8,605	0	25,22
	3050	11,58	11,97	12,36	28,46	16,31	37,56	40,09	2,97	790,8	1599		36,38	0,3944	0,3944	0	27,57	1,032	8,605	0	25,22
	3100	11,98	12,39	12,78	28,96	16,8	38,06	40,74	3,087	804,7	1622		36,86	0,4037	0,4037	0	28,06	1,032	8,605	0	25,22
	3150	12,45	12,86	13,28	29,59	17,36	38,7	41,4	3,198	822,4	1658		37,48	0,4131	0,4131	0	28,67	1,032	8,605	0	25,22
	3200	12,99	13,42	13,85	30,38	18	39,49	42,06	3,305	844,4	1708		38,24	0,4226	0,4226	0	29,44	1,032	8,605	0	25,22
	3250	13,56	13,99	14,44	31,19	18,65	40,3	42,72	3,406	866,9	1760		39,03	0,4323	0,4323	0	30,22	1,032	8,605	0	25,22
	3300	14,14	14,58	15,05	32,01	19,33	41,12	43,37	3,502	889,7	1815		39,82	0,442	0,442	0	31,02	1,032	8,605	0	25,22
	3350	14,61	15,06	15,55	32,59	19,89	41,69	44,03	3,598	905,7	1850		40,38	0,4519	0,4519	0	31,57	1,032	8,605	0	25,22
	3400	14,99	15,45	15,95	32,94	20,36	42,04	44,69	3,693	915,4	1868		40,72	0,4619	0,4619	0	31,91	1,032	8,605	0	25,22
	3450	15,34	15,81	16,32	33,22	20,79	42,33	45,34	3,791	923,3	1882		40,99	0,4719	0,4719	0	32,19	1,032	8,605	0	25,22
	3500	15,65	16,13	16,65	33,41	21,19	42,52	46	3,892	928,6	1890		41,18	0,4822	0,4822	0	32,37	1,032	8,605	0	25,22
	3550	15,96	16,45	16,98	33,59	21,58	42,7	46,66	3,99	933,5	1900		41,35	0,4925	0,4925	0	32,55	1,032	8,605	0	25,22
	3600	16,26	16,76	17,3	33,75	21,97	42,86	47,32	4,081	938	1911		41,51	0,503	0,503	0	32,7	1,032	8,605	0	25,22
	3650	16,54	17,05	17,6	33,87	22,33	42,97	47,97	4,174	941,2	1918		41,62	0,5135	0,5135	0	32,81	1,032	8,605	0	25,22
	3700	16,75	17,28	17,83	33,85	22,63	42,95	48,63	4,272	940,6	1915		41,6	0,5243	0,5243	0	32,79	1,032	8,605	0	25,22
	3750	16,94	17,48	18,04	33,79	22,9	42,9	49,29	4,368	939,1	1910		41,54	0,5351	0,5351	0	32,74	1,032	8,605	0	25,22
	3800	17,06	17,61	18,17	33,59	23,1	42,7	49,94	4,464	933,6	1897		41,35	0,5461	0,5461	0	32,55	1,032	8,605	0	25,22
	3850	17,18	17,73	18,3	33,39	23,29	42,5	50,6	4,560	927,9	1885		41,15	0,5571	0,5571	0	32,35	1,032	8,605	0	25,22
	3900	17,26	17,83	18,4	33,15	23,46	42,25	51,26	4,661	921,2	1871		40,92	0,5684	0,5684	0	32,12	1,032	8,605	0	25,22
	3950	17,36	17,94	18,51	32,92	23,63	42,02	51,92	4,761	914,8	1857		40,7	0,5797	0,5797	0	31,89	1,032	8,605	0	25,22
	4000	17,49	18,08	18,66	32,77	23,85	41,88	52,57	4,858	910,7	1847		40,56	0,5912	0,5912	0	31,75	1,032	8,605	0	25,22
	4050	17,62	18,22	18,81	32,62	24,06	41,72	53,23	4,956	906,5	1837		40,41	0,6028	0,6028	0	31,6	1,032	8,605	0	25,22
	4100	17,7	18,31	18,9	32,38	24,22	41,49	53,89	5,058	899,9	1823		40,18	0,6146	0,6146	0	31,37	1,032	8,605	0	25,22
	4150	17,74	18,37	18,96	32,09	24,34	41,19	54,54	5,16	891,8	1807		39,89	0,6264	0,6264	0	31,09	1,032	8,605	0	25,22
	4200	17,53	18,17	18,75	31,36	24,19	40,47	55,2	5,261	871,6	1766		39,19	0,6385	0,6385	0	30,39	1,032	8,605	0	25,22
	4250	17,26	17,91	18,49	30,56	24	39,66	55,86	5,366	849,2	1719		38,41	0,6506	0,6506	0	29,61	1,032	8,605	0	25,22
	4300	16,7	17,36	17,92	29,28	23,49	38,38	56,52	5,485	813,7	1638		37,17	0,6629	0,6629	0	28,37	1,032	8,605	0	25,22
	4350	16,15	16,83	17,37	28,05	23,01	37,16	57,17	5,607	779,6	1563		35,98	0,6753	0,6753	0	27,18	1,032	8,605	0	25,22
	4400	15,62	16,31	16,83	26,87	22,54	35,98	57,83	5,731	746,9	1493		34,84	0,6879	0,6879	0	26,04	1,032	8,605	0	25,22
	4450	15,27	15,97	16,48	26,02	22,25	35,12	58,49	5,86	723	1445		34,01	0,7006	0,7006	0	25,21	1,032	8,605	0	25,22
	4500	15,03	15,74	16,25	25,36	22,08	34,46	59,14	5,99	704,8	1407		33,38	0,7135	0,7135	0	24,57	1,032	8,605	0	25,22
	4550	14,98	15,7	16,21	25,02	22,11	34,12	59,8	6,121	695,4	1384		33,05	0,7264	0,7264	0	24,24	1,032	8,605	0	25,22
	4600	15,02	15,75	16,26	24,83	22,22	33,93	60,46	6,254	690	1370		32,86	0,7396	0,7396	0	24,06	1,032	8,605	0	25,22
