																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	2000	4,207	4,431	4,572	16,11	6,957	24,43	26,29	2,267E-7	447,7	840,9		23,67	0,2236	0,2236	0	15,61	1,032	8,605	0	24,66
	2050	4,459	4,69	4,84	16,59	7,284	24,95	26,94	0,2033	461,2	872		24,17	0,2309	0,2309	0	16,08	1,032	8,605	0	24,66
	2100	4,711	4,949	5,107	17,08	7,611	25,45	27,6	0,4065	474,7	903		24,66	0,2382	0,2382	0	16,55	1,032	8,605	0	24,66
	2150	4,979	5,224	5,391	17,61	7,955	25,98	28,26	0,6071	489,4	937,7		25,17	0,2455	0,2455	0	17,06	1,032	8,605	0	24,66
	2200	5,317	5,57	5,747	18,34	8,371	26,72	28,91	0,7947	509,8	988,1		25,88	0,2529	0,2529	0	17,77	1,032	8,605	0	24,66
	2250	5,728	5,989	6,18	19,28	8,863	27,66	29,57	0,9656	536	1054		26,8	0,2605	0,2605	0	18,69	1,032	8,605	0	24,66
	2300	6,162	6,43	6,635	20,26	9,378	28,64	30,23	1,126	563,2	1120		27,74	0,2681	0,2681	0	19,63	1,032	8,605	0	24,66
	2350	6,552	6,828	7,046	21,05	9,848	29,43	30,89	1,279	585,2	1170		28,51	0,2758	0,2758	0	20,4	1,032	8,605	0	24,66
	2400	6,858	7,141	7,369	21,56	10,23	29,94	31,54	1,43	599,3	1200		29	0,2836	0,2836	0	20,9	1,032	8,605	0	24,66
	2450	7,099	7,391	7,627	21,86	10,55	30,24	32,2	1,58	607,7	1217		29,3	0,2915	0,2915	0	21,19	1,032	8,605	0	24,66
	2500	7,286	7,586	7,828	21,99	10,81	30,37	32,86	1,731	611,3	1221		29,42	0,2995	0,2995	0	21,31	1,032	8,605	0	24,66
	2550	7,423	7,731	7,978	21,97	11,02	30,35	33,52	1,881	610,8	1218		29,4	0,3076	0,3076	0	21,29	1,032	8,605	0	24,66
	2600	7,633	7,949	8,202	22,16	11,3	30,53	34,17	2,033	615,8	1228		29,58	0,3158	0,3158	0	21,47	1,032	8,605	0	24,66
	2650	7,935	8,26	8,523	22,58	11,68	30,96	34,83	2,179	627,8	1254		29,99	0,3241	0,3241	0	21,89	1,032	8,605	0	24,66
	2700	8,327	8,66	8,936	23,25	12,16	31,62	35,49	2,318	646,1	1294		30,64	0,3325	0,3325	0	22,53	1,032	8,605	0	24,66
	2750	8,849	9,19	9,483	24,21	12,76	32,59	36,14	2,451	673	1352		31,57	0,3411	0,3411	0	23,46	1,032	8,605	0	24,66
	2800	9,406	9,756	10,07	25,24	13,41	33,62	36,8	2,578	701,6	1416		32,57	0,3497	0,3497	0	24,46	1,032	8,605	0	24,66
	2850	10	10,36	10,69	26,34	14,09	34,72	37,46	2,699	732,1	1484		33,63	0,3584	0,3584	0	25,52	1,032	8,605	0	24,66
	2900	10,58	10,94	11,29	27,33	14,75	35,71	38,12	2,813	759,8	1545		34,6	0,3673	0,3673	0	26,49	1,032	8,605	0	24,66
	2950	11,14	11,52	11,88	28,29	15,4	36,67	38,77	2,925	786,5	1604		35,53	0,3762	0,3762	0	27,42	1,032	8,605	0	24,66
	3000	11,63	12,02	12,4	29,02	15,98	37,4	39,43	3,034	806,7	1642		36,23	0,3853	0,3853	0	28,12	1,032	8,605	0	24,66
	3050	12,11	12,51	12,91	29,72	16,55	38,1	40,09	3,142	826,1	1678		36,91	0,3944	0,3944	0	28,8	1,032	8,605	0	24,66
	3100	12,56	12,97	13,38	30,31	17,08	38,69	40,74	3,249	842,5	1705		37,48	0,4037	0,4037	0	29,37	1,032	8,605	0	24,66
	3150	13,01	13,43	13,86	30,89	17,61	39,27	41,4	3,355	858,6	1734		38,04	0,4131	0,4131	0	29,93	1,032	8,605	0	24,66
	3200	13,46	13,89	14,33	31,44	18,15	39,82	42,06	3,458	874	1765		38,58	0,4227	0,4227	0	30,47	1,032	8,605	0	24,66
	3250	13,94	14,37	14,83	32,05	18,71	40,42	42,72	3,559	890,8	1803		39,16	0,4323	0,4323	0	31,05	1,032	8,605	0	24,66
