SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1337 ;0:00,10 ;7327 ;6 ;76;41;41;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,38 ;13,1 ;-1 ;2,26 ;31,8 ;0 ;0 ;13 ;7,6;0,0;
1337 ;0:00,20 ;7309 ;6 ;77;41;41;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,39 ;13,3 ;-1 ;2,26 ;31,8 ;0 ;0 ;13 ;7,6;0,0;
1337 ;0:00,30 ;7278 ;6 ;77;41;41;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,38 ;13,3 ;-1 ;2,25 ;31,8 ;0 ;0 ;13 ;7,6;0,0;
1337 ;0:00,40 ;7295 ;6 ;77;41;41;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,33 ;13,1 ;-1 ;2,26 ;31,8 ;0 ;0 ;13 ;7,6;0,0;
1337 ;0:00,50 ;7327 ;6 ;77;41;41;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,40 ;13,3 ;-1 ;2,26 ;31,8 ;0 ;0 ;13 ;7,5;0,0;
1337 ;0:00,60 ;7338 ;6 ;77;41;41;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;6,42 ;13,2 ;-1 ;2,26 ;31,8 ;0 ;0 ;13 ;7,7;0,0;
1337 ;0:00,70 ;7381 ;6 ;77;41;41;0,653 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,41 ;13,3 ;-1 ;2,26 ;31,9 ;0 ;0 ;14 ;7,7;0,0;
1337 ;0:00,80 ;7341 ;6 ;77;41;41;0,654 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,38 ;13,3 ;-1 ;2,26 ;31,8 ;0 ;0 ;13 ;7,7;0,0;
1337 ;0:00,90 ;7312 ;6 ;77;41;41;0,652 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,35 ;13,1 ;-1 ;2,26 ;31,8 ;0 ;0 ;13 ;7,6;0,0;
