"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
142064,1648987620930,,,250,251,233,230,,0.01,0.04,1.38,-0,-2,-2,0.04,,62,4583,14,11,90,0.778,0.0,594,4.71,13.0,0.0,1,36.3,2.56,11.8,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
142084,1648987620950,,,250,252,233,230,,0.04,0.02,1.27,-0,-2,-2,0.04,,62,4936,14,11,89,0.776,0.0,603,4.73,12.8,0.0,1,41.4,5.63,11.8,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
142104,1648987620970,,,250,253,233,230,,-0.01,0.06,1.48,-0,-2,-1,0.06,,62,5247,13,11,88,0.772,0.0,608,4.68,13.1,0.0,1,41.5,2.8,11.8,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
142124,1648987620990,,,250,252,233,230,,-0.02,-0.02,1.37,-0,-0,0,0.02,,62,5598,13,11,85,0.77,0.0,613,4.73,13.0,0.0,1,39.7,6.54,16.0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
142144,1648987621004,-1,4,250,253,233,230,-1,0.02,-0.09,1.26,-0,-2,-2,0.09,1,62,5874,12,11,83,0.766,0.0,620,4.7,13.0,0.0,1,38.6,6.7,16.0,0,0,0,1,1,0,250,250,0,45.700455,4.909369,0.0,207.0,10,3,1.5,0,0.0,-1,0.0,,0.0,0,0.0,2.3691
142164,1648987621024,,,250,252,233,230,,-0.0,-0.15,1.17,-0,-3,-2,0.15,,62,6218,12,11,80,0.762,0.0,623,4.68,13.0,0.0,1,39.1,6.43,16.0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
142184,1648987621044,,,250,252,233,230,,-0.06,-0.18,1.08,-0,-1,-0,0.19,,62,6220,11,11,78,0.757,0.0,626,4.72,13.1,0.0,1,38.6,6.23,16.0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
142204,1648987621064,,,250,252,233,230,,-0.11,-0.21,0.99,-0,0,2,0.23,,62,6048,11,11,76,0.752,0.0,622,4.74,13.1,0.0,1,37.1,6.14,16.0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
142224,1648987621084,,,250,253,233,230,,-0.16,-0.24,0.92,-0,2,4,0.28,,62,5899,11,11,75,0.747,0.0,621,4.73,13.1,0.0,1,36.9,5.84,16.3,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
142244,1648987621098,0,4,250,253,233,230,-1,-0.17,-0.29,0.84,-0,2,4,0.33,1,62,5822,11,11,74,0.744,0.0,623,4.72,13.0,0.0,1,36.8,2.73,16.3,0,0,0,1,1,0,250,250,0,45.700455,4.909369,0.0,207.0,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0,0.0,2.3707
