SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

222 ;0:00,10 ;7075 ;5 ;15;9;78;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;6,36 ;12,6 ;-1 ;7,49 ;43,4 ;0 ;33,7;0,0;
222 ;0:00,20 ;5707 ;8 ;15;9;73;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;6,21 ;12,6 ;-1 ;5,84 ;36,7 ;0 ;23,2;0,0;
222 ;0:00,30 ;6113 ;18 ;15;9;85;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;6,27 ;12,6 ;-1 ;7,60 ;39,5 ;0 ;13,6;0,0;
222 ;0:00,40 ;6883 ;6 ;16;9;78;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;6,36 ;12,8 ;-1 ;5,47 ;42,9 ;0 ;21,3;0,0;
222 ;0:00,50 ;6567 ;2 ;16;9;62;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,35 ;12,8 ;-1 ;3,31 ;36,6 ;0 ;17,4;0,0;
222 ;0:00,60 ;6813 ;23 ;16;9;77;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,35 ;12,5 ;-1 ;6,06 ;42,2 ;0 ;9,7;0,0;
222 ;0:00,70 ;8856 ;28 ;16;9;83;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,63 ;12,8 ;-1 ;7,40 ;40,0 ;0 ;19,3;0,0;
222 ;0:00,80 ;8569 ;0 ;16;9;63;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,56 ;12,9 ;-1 ;4,09 ;43,8 ;0 ;28,3;0,0;
222 ;0:00,90 ;7231 ;0 ;16;9;47;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,41 ;12,7 ;-1 ;2,57 ;34,1 ;0 ;14,7;0,0;
222 ;0:01,00 ;5890 ;14 ;16;9;55;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,16 ;12,8 ;-1 ;2,97 ;32,7 ;0 ;8,3;0,0;
222 ;0:01,10 ;6918 ;26 ;16;8;88;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,31 ;12,6 ;-1 ;5,77 ;47,9 ;0 ;7,9;0,0;
222 ;0:01,20 ;8704 ;9 ;16;9;73;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,52 ;12,7 ;-1 ;4,71 ;42,3 ;0 ;19,9;0,0;
222 ;0:01,30 ;8307 ;0 ;16;9;49;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,51 ;12,6 ;-1 ;3,09 ;37,2 ;0 ;17,4;0,0;
222 ;0:01,40 ;7118 ;8 ;16;9;45;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;6,35 ;12,5 ;-1 ;2,72 ;33,0 ;0 ;10,7;0,0;
222 ;0:01,50 ;7545 ;25 ;16;9;80;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,35 ;12,6 ;-1 ;5,45 ;40,7 ;0 ;8,6;0,0;
222 ;0:01,60 ;8668 ;6 ;16;9;70;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,56 ;12,8 ;-1 ;4,24 ;42,5 ;0 ;20,3;0,0;
222 ;0:01,70 ;8355 ;0 ;16;9;45;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;6,54 ;12,6 ;-1 ;2,99 ;35,5 ;0 ;15,6;0,0;
222 ;0:01,80 ;7043 ;0 ;16;9;39;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,36 ;12,8 ;-1 ;2,48 ;31,0 ;0 ;10,5;0,0;
222 ;0:01,90 ;6438 ;15 ;16;8;59;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,27 ;13,0 ;-1 ;2,70 ;35,3 ;0 ;7,8;0,0;
222 ;0:02,00 ;7509 ;14 ;16;9;77;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;6,38 ;12,6 ;-1 ;4,77 ;41,0 ;0 ;10,4;0,0;
222 ;0:02,10 ;8565 ;0 ;16;8;50;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,55 ;12,8 ;-1 ;3,17 ;37,9 ;0 ;16,7;0,0;
222 ;0:02,20 ;7615 ;0 ;16;9;38;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,40 ;12,9 ;-1 ;2,33 ;30,7 ;0 ;11,8;0,0;
222 ;0:02,30 ;6281 ;11 ;16;9;47;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;6,25 ;12,8 ;-1 ;2,66 ;31,8 ;0 ;7,9;0,0;
222 ;0:02,40 ;6947 ;19 ;17;8;76;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,36 ;12,8 ;-1 ;4,62 ;42,7 ;0 ;7,6;0,0;
222 ;0:02,50 ;6778 ;4 ;17;8;75;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,31 ;12,9 ;-1 ;3,97 ;41,4 ;0 ;14,8;0,0;
222 ;0:02,60 ;6718 ;0 ;17;9;57;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;6,32 ;12,7 ;-1 ;2,41 ;35,8 ;0 ;11,6;0,0;
222 ;0:02,70 ;6737 ;0 ;17;9;49;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,31 ;12,9 ;-1 ;2,34 ;33,4 ;0 ;7,3;0,0;
222 ;0:02,80 ;6768 ;7 ;17;9;56;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;6,33 ;12,9 ;-1 ;2,39 ;35,7 ;0 ;7,3;0,0;
222 ;0:02,90 ;6766 ;4 ;17;9;61;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;6,31 ;12,6 ;-1 ;2,54 ;37,3 ;0 ;7,6;0,0;
222 ;0:03,00 ;6646 ;0 ;17;8;53;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;6,31 ;12,9 ;-1 ;2,34 ;34,4 ;0 ;7,8;0,0;
222 ;0:03,10 ;6578 ;0 ;17;9;47;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,28 ;12,9 ;-1 ;2,36 ;32,4 ;0 ;7,1;0,0;
222 ;0:03,20 ;6223 ;0 ;17;8;44;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;6,27 ;13,0 ;-1 ;2,39 ;31,0 ;0 ;7,1;0,0;
222 ;0:03,30 ;5419 ;0 ;17;8;44;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,15 ;12,8 ;-1 ;2,66 ;29,5 ;0 ;6,7;0,0;
222 ;0:03,40 ;4506 ;0 ;17;8;48;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;6,00 ;13,0 ;-1 ;2,64 ;0,0 ;0 ;6,7;0,0;
222 ;0:03,50 ;3746 ;2 ;17;8;58;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;5,81 ;12,7 ;-1 ;2,50 ;0,0 ;0 ;5,2;0,0;
222 ;0:03,60 ;3025 ;2 ;17;8;71;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;5,75 ;12,8 ;-1 ;2,92 ;-0,3 ;0 ;4,4;0,0;
222 ;0:03,70 ;2564 ;2 ;17;8;80;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;5,60 ;12,8 ;-1 ;3,12 ;-0,3 ;0 ;4,0;0,0;
222 ;0:03,80 ;2196 ;0 ;17;8;83;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;4,69 ;13,0 ;-1 ;3,19 ;-0,3 ;0 ;3,6;0,0;
222 ;0:03,90 ;1824 ;24 ;17;8;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;3,96 ;13,0 ;-1 ;5,57 ;32,6 ;0 ;3,2;0,0;
222 ;0:04,00 ;1557 ;22 ;17;9;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,69 ;3,50 ;12,5 ;-1 ;5,43 ;34,0 ;0 ;4,5;0,0;
222 ;0:04,10 ;1684 ;2 ;17;9;96;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;3,60 ;13,0 ;-1 ;5,23 ;0,4 ;0 ;3,9;0,0;
222 ;0:04,20 ;1749 ;3 ;17;9;95;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;3,83 ;13,0 ;-1 ;5,03 ;0,4 ;0 ;4,2;0,0;
222 ;0:04,30 ;1854 ;3 ;17;9;95;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;3,91 ;13,0 ;-1 ;4,84 ;1,0 ;0 ;3,8;0,0;
222 ;0:04,40 ;1863 ;4 ;17;9;95;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;3,90 ;13,0 ;-1 ;4,64 ;1,0 ;0 ;4,0;0,0;
222 ;0:04,50 ;1799 ;7 ;17;9;96;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;3,88 ;13,0 ;-1 ;4,44 ;31,2 ;0 ;3,9;0,0;
222 ;0:04,60 ;2405 ;7 ;17;9;95;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;4,85 ;13,0 ;-1 ;4,17 ;29,8 ;0 ;3,7;0,0;
222 ;0:04,70 ;1986 ;7 ;18;9;94;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;4,31 ;12,7 ;-1 ;3,97 ;28,5 ;0 ;4,4;0,0;
222 ;0:04,80 ;2016 ;6 ;18;9;95;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;4,21 ;13,0 ;-1 ;3,77 ;29,8 ;0 ;3,5;0,0;
222 ;0:04,90 ;1911 ;6 ;18;9;95;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;4,20 ;13,0 ;-1 ;3,36 ;29,8 ;0 ;3,5;0,0;
