SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

233 ;0:00,10 ;0 ;6 ;64;13;98;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,15 ;11,4 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
233 ;0:00,20 ;0 ;6 ;64;13;98;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,16 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
233 ;0:00,30 ;0 ;6 ;64;13;98;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,16 ;11,5 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
233 ;0:00,40 ;0 ;6 ;64;13;98;0,513 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,16 ;11,7 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
233 ;0:00,50 ;453 ;6 ;64;13;98;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,18 ;11,4 ;-1 ;4,83 ;30,0 ;0 ;0,0;0,0;
233 ;0:00,60 ;456 ;6 ;64;13;98;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,18 ;11,5 ;-1 ;4,83 ;30,0 ;0 ;1,0;0,0;
233 ;0:00,70 ;459 ;6 ;64;13;98;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;1,18 ;11,4 ;-1 ;4,83 ;30,0 ;0 ;1,0;0,0;
233 ;0:00,80 ;657 ;5 ;64;13;97;0,511 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,20 ;11,3 ;-1 ;4,83 ;4,2 ;0 ;1,0;0,0;
233 ;0:00,90 ;1052 ;5 ;64;13;97;0,510 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,31 ;11,7 ;-1 ;4,83 ;4,2 ;0 ;1,4;0,0;
233 ;0:01,00 ;652 ;5 ;64;13;97;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,61 ;1,18 ;10,7 ;-1 ;4,18 ;5,6 ;0 ;2,3;0,0;
233 ;0:01,10 ;1318 ;6 ;64;13;96;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,32 ;12,6 ;-1 ;3,75 ;29,7 ;0 ;0,9;0,0;
233 ;0:01,20 ;1887 ;5 ;64;13;95;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;1,65 ;12,3 ;-1 ;3,75 ;9,1 ;0 ;3,1;0,0;
233 ;0:01,30 ;3058 ;6 ;64;13;91;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;2,21 ;12,9 ;-1 ;4,06 ;25,7 ;0 ;3,7;0,0;
233 ;0:01,40 ;4842 ;6 ;64;13;85;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;3,87 ;12,8 ;-1 ;4,01 ;38,8 ;0 ;7,1;0,0;
233 ;0:01,50 ;6898 ;6 ;64;13;75;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,05 ;12,6 ;-1 ;3,96 ;42,1 ;0 ;10,1;0,0;
233 ;0:01,60 ;9168 ;6 ;64;13;57;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,66 ;6,48 ;12,7 ;-1 ;3,50 ;40,0 ;0 ;12,7;0,0;
233 ;0:01,70 ;10629 ;6 ;64;12;45;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;6,71 ;12,6 ;-1 ;2,86 ;36,5 ;0 ;15,7;0,0;
233 ;0:01,80 ;10926 ;4 ;64;12;41;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;6,78 ;12,5 ;-1 ;2,75 ;33,5 ;0 ;14,1;0,0;
233 ;0:01,90 ;10563 ;4 ;64;12;38;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;6,76 ;12,6 ;-1 ;2,62 ;31,7 ;0 ;13,7;0,0;
233 ;0:02,00 ;10313 ;4 ;64;12;37;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;6,72 ;12,7 ;-1 ;2,59 ;31,4 ;0 ;12,6;0,0;
233 ;0:02,10 ;10279 ;4 ;64;12;35;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,60 ;6,67 ;12,6 ;-1 ;2,58 ;30,8 ;0 ;12,3;0,0;
233 ;0:02,20 ;10217 ;4 ;64;12;34;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,65 ;6,74 ;12,7 ;-1 ;2,56 ;30,5 ;0 ;12,2;0,0;
233 ;0:02,30 ;10184 ;4 ;64;11;34;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;6,61 ;12,6 ;-1 ;2,56 ;30,5 ;0 ;12,1;0,0;
233 ;0:02,40 ;10140 ;4 ;64;11;33;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,63 ;6,64 ;12,6 ;-1 ;2,54 ;30,2 ;0 ;12,0;0,0;
233 ;0:02,50 ;10016 ;3 ;64;11;32;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;6,62 ;12,6 ;-1 ;2,51 ;30,0 ;0 ;11,9;0,0;
233 ;0:02,60 ;9640 ;1 ;64;11;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,62 ;12,7 ;-1 ;2,57 ;29,1 ;0 ;11,6;0,0;
233 ;0:02,70 ;8827 ;0 ;64;11;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;6,48 ;12,7 ;-1 ;2,53 ;29,1 ;0 ;11,5;0,0;
233 ;0:02,80 ;7815 ;0 ;64;11;32;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;6,27 ;12,6 ;-1 ;2,00 ;29,0 ;0 ;10,1;0,0;
233 ;0:02,90 ;6965 ;0 ;64;11;35;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,12 ;12,8 ;-1 ;2,15 ;29,7 ;0 ;7,1;0,0;
233 ;0:03,00 ;6343 ;0 ;64;11;38;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;5,83 ;12,8 ;-1 ;2,31 ;29,9 ;0 ;7,0;0,0;
233 ;0:03,10 ;6003 ;0 ;64;11;40;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;5,66 ;12,8 ;-1 ;2,37 ;29,9 ;0 ;6,9;0,0;
233 ;0:03,20 ;5351 ;0 ;64;12;45;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,68 ;4,92 ;12,6 ;-1 ;2,70 ;29,6 ;0 ;6,6;0,0;
233 ;0:03,30 ;4912 ;0 ;64;12;50;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;4,53 ;12,6 ;-1 ;2,90 ;0,0 ;0 ;6,7;0,0;
233 ;0:03,40 ;4462 ;0 ;64;12;53;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;4,16 ;12,9 ;-1 ;2,62 ;0,0 ;0 ;6,4;0,0;
233 ;0:03,50 ;4145 ;0 ;64;12;56;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;3,87 ;13,0 ;-1 ;2,44 ;0,0 ;0 ;5,2;0,0;
233 ;0:03,60 ;3982 ;0 ;63;12;59;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,72 ;3,68 ;12,6 ;-1 ;2,47 ;0,0 ;0 ;4,5;0,0;
233 ;0:03,70 ;3691 ;0 ;63;12;63;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;3,43 ;12,9 ;-1 ;2,68 ;0,0 ;0 ;4,5;0,0;
233 ;0:03,80 ;3353 ;0 ;63;12;68;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;3,20 ;12,9 ;-1 ;2,84 ;0,0 ;0 ;4,5;0,0;
233 ;0:03,90 ;3161 ;0 ;63;12;72;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,71 ;3,06 ;12,6 ;-1 ;2,91 ;0,0 ;0 ;4,3;0,0;
233 ;0:04,00 ;2986 ;0 ;63;12;74;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;2,82 ;12,9 ;-1 ;2,95 ;0,0 ;0 ;4,2;0,0;
233 ;0:04,10 ;2922 ;0 ;63;12;76;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;2,80 ;12,9 ;-1 ;3,00 ;0,0 ;0 ;4,1;0,0;
