SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1167 ;0:00,10 ;4562 ;7 ;66;36;58;0,932 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,19 ;12,8 ;-1 ;2,60 ;27,3 ;0 ;0 ;9 ;5,6;0,0;
1167 ;0:00,20 ;4555 ;7 ;66;36;58;0,935 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;5,20 ;13,1 ;-1 ;2,60 ;27,2 ;0 ;0 ;9 ;5,4;0,0;
1167 ;0:00,30 ;4572 ;7 ;66;36;58;0,938 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,19 ;13,1 ;-1 ;2,61 ;27,4 ;0 ;0 ;10 ;5,4;0,0;
1167 ;0:00,40 ;4562 ;7 ;66;36;58;0,937 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;5,20 ;13,1 ;-1 ;2,61 ;27,5 ;0 ;0 ;9 ;5,5;0,0;
1167 ;0:00,50 ;4445 ;7 ;66;36;58;0,938 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,08 ;13,0 ;-1 ;2,55 ;26,2 ;0 ;0 ;9 ;5,3;0,0;
1167 ;0:00,60 ;4458 ;7 ;66;36;58;0,940 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;5,04 ;13,1 ;-1 ;2,55 ;26,0 ;0 ;0 ;9 ;5,2;0,0;
1167 ;0:00,70 ;4478 ;7 ;66;36;58;0,945 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,07 ;13,1 ;-1 ;2,56 ;26,2 ;0 ;0 ;9 ;5,3;0,0;
1167 ;0:00,80 ;4515 ;7 ;66;36;58;0,947 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,16 ;13,2 ;-1 ;2,59 ;26,7 ;0 ;0 ;9 ;5,4;0,0;
1167 ;0:00,90 ;4523 ;7 ;66;36;58;0,946 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,17 ;13,1 ;-1 ;2,59 ;26,8 ;0 ;0 ;9 ;5,5;0,0;
1167 ;0:01,00 ;4665 ;7 ;66;36;58;0,941 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;5,28 ;12,8 ;-1 ;2,66 ;28,7 ;0 ;0 ;10 ;5,6;0,0;
1167 ;0:01,10 ;4618 ;7 ;67;36;57;0,938 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;5,29 ;13,0 ;-1 ;2,63 ;27,8 ;0 ;0 ;10 ;5,6;0,0;
1167 ;0:01,20 ;4545 ;7 ;67;36;58;0,935 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;5,17 ;13,2 ;-1 ;2,60 ;27,1 ;0 ;0 ;9 ;5,4;0,0;
