SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1172 ;0:00,10 ;1531 ;7 ;80;37;92;0,925 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,83 ;13,1 ;-1 ;3,17 ;1,5 ;0 ;0 ;7 ;2,5;0,0;
1172 ;0:00,20 ;1574 ;7 ;80;37;92;0,910 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,83 ;13,1 ;-1 ;3,17 ;1,7 ;0 ;0 ;7 ;2,2;0,0;
1172 ;0:00,30 ;1678 ;7 ;80;37;92;0,902 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,87 ;13,0 ;-1 ;3,17 ;1,7 ;0 ;0 ;7 ;2,2;0,0;
1172 ;0:00,40 ;1804 ;7 ;80;37;92;0,897 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,87 ;13,1 ;-1 ;3,17 ;1,7 ;0 ;0 ;7 ;2,4;0,0;
1172 ;0:00,50 ;1787 ;7 ;80;37;92;0,895 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,87 ;13,0 ;-1 ;3,17 ;1,7 ;0 ;0 ;7 ;2,5;0,0;
1172 ;0:00,60 ;1621 ;7 ;80;37;92;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,84 ;13,1 ;-1 ;3,17 ;1,8 ;0 ;0 ;7 ;2,6;0,0;
1172 ;0:00,70 ;1661 ;7 ;80;37;92;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,86 ;13,1 ;-1 ;3,17 ;1,8 ;0 ;0 ;7 ;2,5;0,0;
1172 ;0:00,80 ;1662 ;7 ;80;37;92;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,89 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,5;0,0;
1172 ;0:00,90 ;1801 ;7 ;80;37;91;0,894 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,94 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,4;0,0;
1172 ;0:01,00 ;1757 ;7 ;80;37;91;0,893 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,97 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,6;0,0;
1172 ;0:01,10 ;1826 ;7 ;80;37;90;0,895 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,98 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,5;0,0;
1172 ;0:01,20 ;1848 ;7 ;80;37;91;0,895 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,98 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,6;0,0;
1172 ;0:01,30 ;1824 ;7 ;80;37;91;0,895 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,97 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,6;0,0;
1172 ;0:01,40 ;1729 ;7 ;80;37;91;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,94 ;13,0 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,6;0,0;
1172 ;0:01,50 ;1683 ;7 ;80;37;91;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;1,94 ;12,9 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,6;0,0;
1172 ;0:01,60 ;1667 ;7 ;80;37;91;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,92 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,4;0,0;
1172 ;0:01,70 ;1799 ;7 ;80;37;91;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,92 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,4;0,0;
1172 ;0:01,80 ;1794 ;7 ;80;37;92;0,885 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,92 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,4;0,0;
1172 ;0:01,90 ;1859 ;7 ;80;37;92;0,884 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,92 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,4;0,0;
1172 ;0:02,00 ;1888 ;7 ;80;37;92;0,885 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,92 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,6;0,0;
1172 ;0:02,10 ;1917 ;7 ;80;37;91;0,887 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,95 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,7;0,0;
1172 ;0:02,20 ;1861 ;7 ;80;37;91;0,887 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,93 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,7;0,0;
1172 ;0:02,30 ;1768 ;7 ;80;37;91;0,890 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;1,89 ;13,1 ;-1 ;3,17 ;1,9 ;0 ;0 ;7 ;2,7;0,0;
1172 ;0:02,40 ;1718 ;7 ;80;37;92;0,898 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,87 ;13,1 ;-1 ;3,17 ;2,0 ;0 ;0 ;7 ;2,6;0,0;
1172 ;0:02,50 ;1554 ;7 ;80;37;92;0,901 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,85 ;13,1 ;-1 ;3,17 ;2,0 ;0 ;0 ;7 ;2,5;0,0;
1172 ;0:02,60 ;1579 ;24 ;80;37;94;0,897 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;1,85 ;13,0 ;-1 ;5,19 ;28,5 ;0 ;0 ;12 ;2,3;0,0;
1172 ;0:02,70 ;2567 ;67 ;80;37;97;0,889 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;2,09 ;12,9 ;-1 ;5,31 ;32,3 ;0 ;0 ;13 ;3,8;0,0;
1172 ;0:02,80 ;5034 ;70 ;80;37;97;0,885 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;3,67 ;12,9 ;-1 ;6,73 ;42,7 ;0 ;0 ;26 ;7,4;0,0;
1172 ;0:02,90 ;6583 ;41 ;80;37;94;0,885 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,02 ;13,0 ;-1 ;7,75 ;45,7 ;0 ;0 ;43 ;17,9;0,0;
