SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

501 ;0:00,10 ;0 ;7 ;38;19;97;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,13 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
501 ;0:00,20 ;0 ;7 ;38;19;97;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,12 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
501 ;0:00,30 ;0 ;7 ;38;19;97;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,94 ;1,15 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
501 ;0:00,40 ;133 ;20 ;38;19;97;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,89 ;1,23 ;11,8 ;-1 ;16,03 ;28,6 ;0 ;0,0;0,0;
501 ;0:00,50 ;655 ;28 ;38;19;97;1,498 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,36 ;12,1 ;-1 ;16,03 ;28,6 ;0 ;3,4;0,0;
501 ;0:00,60 ;564 ;27 ;38;19;97;1,490 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;1,31 ;11,4 ;-1 ;15,79 ;28,6 ;0 ;5,9;0,0;
501 ;0:00,70 ;521 ;30 ;38;19;96;1,468 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,70 ;1,25 ;11,0 ;-1 ;15,55 ;27,2 ;0 ;3,7;0,0;
501 ;0:00,80 ;486 ;28 ;38;19;97;1,457 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,73 ;1,40 ;11,1 ;-1 ;15,35 ;28,6 ;0 ;3,5;0,0;
501 ;0:00,90 ;1789 ;13 ;38;19;95;1,460 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;2,43 ;11,9 ;-1 ;13,19 ;29,8 ;0 ;13,4;0,0;
501 ;0:01,00 ;3342 ;25 ;38;19;94;1,478 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;4,43 ;12,2 ;-1 ;16,79 ;28,0 ;0 ;13,3;0,0;
501 ;0:01,10 ;4315 ;15 ;38;19;88;1,476 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,19 ;12,3 ;-1 ;10,99 ;31,6 ;0 ;26,3;0,0;
501 ;0:01,20 ;5099 ;15 ;38;18;81;1,219 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,74 ;6,42 ;12,2 ;-1 ;10,05 ;39,8 ;0 ;21,3;0,0;
501 ;0:01,30 ;4905 ;10 ;38;18;76;0,941 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,35 ;12,3 ;-1 ;7,83 ;37,0 ;0 ;21,2;0,0;
501 ;0:01,40 ;4520 ;8 ;38;18;67;0,759 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,30 ;12,7 ;-1 ;5,41 ;29,3 ;0 ;13,9;0,0;
501 ;0:01,50 ;3757 ;8 ;38;18;62;0,769 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;6,01 ;12,8 ;-1 ;4,04 ;0,0 ;0 ;7,6;0,0;
501 ;0:01,60 ;3043 ;16 ;38;18;69;0,814 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;4,73 ;12,8 ;-1 ;7,26 ;17,8 ;0 ;6,2;0,0;
501 ;0:01,70 ;2740 ;28 ;38;18;93;0,875 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;4,07 ;12,8 ;-1 ;8,55 ;27,1 ;0 ;9,0;0,0;
501 ;0:01,80 ;4189 ;24 ;38;18;94;0,944 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,79 ;6,20 ;12,6 ;-1 ;9,85 ;33,7 ;0 ;17,2;0,0;
501 ;0:01,90 ;5673 ;18 ;38;18;82;0,974 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;6,57 ;12,8 ;-1 ;8,42 ;38,8 ;0 ;21,9;0,0;
501 ;0:02,00 ;5929 ;18 ;38;18;77;0,892 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,57 ;12,8 ;-1 ;6,95 ;37,3 ;0 ;19,8;0,0;
501 ;0:02,10 ;5301 ;8 ;38;18;65;0,772 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,75 ;6,40 ;12,8 ;-1 ;3,91 ;35,1 ;0 ;12,0;0,0;
501 ;0:02,20 ;4481 ;8 ;38;18;59;0,761 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,36 ;12,6 ;-1 ;3,41 ;26,6 ;0 ;8,0;0,0;
501 ;0:02,30 ;3817 ;24 ;38;18;65;0,845 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,01 ;12,9 ;-1 ;5,80 ;19,7 ;0 ;5,7;0,0;
501 ;0:02,40 ;4615 ;32 ;38;18;92;0,965 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,34 ;12,7 ;-1 ;9,46 ;37,6 ;0 ;15,6;0,0;
501 ;0:02,50 ;6268 ;10 ;38;18;81;1,035 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,76 ;6,62 ;12,8 ;-1 ;5,81 ;39,7 ;0 ;33,5;0,0;
