SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;SHIF A;L/Hr;L/100K;

492 ;0:00,10 ;0 ;33 ;73;34;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,16 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
492 ;0:00,20 ;0 ;32 ;73;34;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,17 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
492 ;0:00,30 ;0 ;33 ;73;34;98;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;0,97 ;1,16 ;11,8 ;-1 ;0,00 ;0,0 ;0 ;0,0;0,0;
492 ;0:00,40 ;469 ;23 ;74;34;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;1,15 ;11,4 ;-1 ;4,10 ;28,6 ;0 ;0,0;0,0;
492 ;0:00,50 ;1435 ;44 ;74;35;97;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,28 ;11,6 ;-1 ;6,99 ;32,0 ;0 ;0,8;0,0;
492 ;0:00,60 ;1556 ;44 ;74;35;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;1,40 ;11,9 ;-1 ;6,89 ;32,6 ;0 ;4,2;0,0;
492 ;0:00,70 ;3455 ;14 ;74;34;94;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;2,19 ;12,4 ;-1 ;7,65 ;28,0 ;0 ;6,3;0,0;
492 ;0:00,80 ;4054 ;14 ;74;34;87;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,84 ;3,55 ;12,9 ;-1 ;5,84 ;27,4 ;0 ;12,3;0,0;
492 ;0:00,90 ;4969 ;8 ;74;34;79;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,95 ;4,73 ;12,9 ;-1 ;4,93 ;38,8 ;0 ;10,9;0,0;
492 ;0:01,00 ;5310 ;11 ;74;34;68;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;5,58 ;12,8 ;-1 ;3,55 ;36,0 ;0 ;11,5;0,0;
492 ;0:01,10 ;5286 ;25 ;74;34;77;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,55 ;12,8 ;-1 ;6,25 ;38,2 ;0 ;13,1;0,0;
492 ;0:01,20 ;6317 ;15 ;74;34;81;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;6,30 ;12,7 ;-1 ;6,77 ;40,0 ;0 ;16,8;0,0;
492 ;0:01,30 ;5912 ;10 ;74;34;61;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;6,24 ;12,9 ;-1 ;2,83 ;34,0 ;0 ;18,4;0,0;
492 ;0:01,40 ;5384 ;10 ;74;34;58;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,77 ;12,8 ;-1 ;3,03 ;33,1 ;0 ;7,8;0,0;
492 ;0:01,50 ;4964 ;7 ;74;34;55;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;5,44 ;12,9 ;-1 ;2,87 ;31,6 ;0 ;7,3;0,0;
492 ;0:01,60 ;4506 ;12 ;74;34;53;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;4,91 ;12,7 ;-1 ;2,55 ;25,3 ;0 ;6,3;0,0;
492 ;0:01,70 ;4876 ;29 ;74;33;76;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;4,97 ;12,8 ;-1 ;5,65 ;36,6 ;0 ;5,2;0,0;
492 ;0:01,80 ;7222 ;33 ;74;33;88;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,53 ;12,9 ;-1 ;7,37 ;45,9 ;0 ;15,1;0,0;
492 ;0:01,90 ;9426 ;6 ;74;33;58;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;7,00 ;12,7 ;-1 ;3,36 ;40,6 ;0 ;28,6;0,0;
492 ;0:02,00 ;8741 ;6 ;74;33;36;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;6,87 ;12,8 ;-1 ;2,61 ;31,1 ;0 ;14,2;0,0;
492 ;0:02,10 ;7780 ;6 ;74;33;31;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;6,80 ;12,8 ;-1 ;1,97 ;28,6 ;0 ;9,9;0,0;
492 ;0:02,20 ;6855 ;6 ;74;33;30;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;6,57 ;12,9 ;-1 ;1,99 ;28,1 ;0 ;7,0;0,0;
492 ;0:02,30 ;5939 ;9 ;74;32;33;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,93 ;6,35 ;13,0 ;-1 ;2,00 ;28,4 ;0 ;6,1;0,0;
492 ;0:02,40 ;5088 ;14 ;74;32;45;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;5,57 ;13,0 ;-1 ;2,71 ;29,1 ;0 ;5,7;0,0;
492 ;0:02,50 ;4977 ;16 ;74;32;57;0,508 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;5,21 ;12,7 ;-1 ;2,86 ;32,4 ;0 ;6,2;0,0;
492 ;0:02,60 ;5375 ;16 ;74;32;64;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;5,67 ;13,0 ;-1 ;2,86 ;34,8 ;0 ;6,6;0,0;
492 ;0:02,70 ;5916 ;25 ;74;32;75;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;6,11 ;12,8 ;-1 ;4,52 ;36,9 ;0 ;7,4;0,0;
492 ;0:02,80 ;7419 ;29 ;74;32;83;0,507 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;6,63 ;12,9 ;-1 ;4,68 ;41,4 ;0 ;13,3;0,0;
492 ;0:02,90 ;10091 ;20 ;74;32;67;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;7,06 ;12,8 ;-1 ;3,99 ;40,2 ;0 ;18,4;0,0;
492 ;0:03,00 ;11200 ;15 ;74;32;45;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;7,35 ;12,8 ;-1 ;3,09 ;36,5 ;0 ;17,9;0,0;
492 ;0:03,10 ;10091 ;14 ;74;32;41;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;7,11 ;12,8 ;-1 ;2,88 ;33,5 ;0 ;15,6;0,0;
492 ;0:03,20 ;9222 ;14 ;73;32;37;0,563 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;7,01 ;12,8 ;-1 ;2,66 ;31,4 ;0 ;12,6;0,0;
492 ;0:03,30 ;8757 ;14 ;73;32;37;0,807 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,81 ;6,91 ;12,8 ;-1 ;2,64 ;31,4 ;0 ;11,1;0,0;
492 ;0:03,40 ;8116 ;14 ;73;32;39;1,009 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,81 ;12,9 ;-1 ;2,40 ;31,2 ;0 ;10,6;0,0;
492 ;0:03,50 ;7838 ;14 ;73;32;42;0,960 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;6,78 ;12,8 ;-1 ;2,30 ;32,8 ;0 ;8,9;0,0;
492 ;0:03,60 ;8102 ;14 ;73;32;41;0,850 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,92 ;6,85 ;12,8 ;-1 ;2,40 ;32,5 ;0 ;8,3;0,0;
492 ;0:03,70 ;8400 ;14 ;72;32;39;0,822 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,78 ;12,9 ;-1 ;2,64 ;31,8 ;0 ;9,2;0,0;
492 ;0:03,80 ;8569 ;14 ;72;31;37;0,830 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;6,90 ;12,9 ;-1 ;2,64 ;31,4 ;0 ;10,4;0,0;
