SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

321 ;0:00,10 ;4340 ;8 ;80;30;57;0,816 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;4,73 ;13,6 ;2,49 ;24,2 ;0,0;
321 ;0:00,20 ;4295 ;8 ;80;30;56;0,822 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;4,60 ;13,6 ;2,45 ;23,4 ;0,0;
321 ;0:00,30 ;4308 ;8 ;80;30;57;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;4,75 ;13,6 ;2,48 ;23,8 ;0,0;
321 ;0:00,40 ;4314 ;8 ;80;30;56;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;4,70 ;13,5 ;2,46 ;23,7 ;0,0;
321 ;0:00,50 ;4334 ;8 ;80;30;57;0,835 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;4,52 ;13,7 ;2,49 ;24,1 ;0,0;
321 ;0:00,60 ;4285 ;8 ;80;30;57;0,833 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;4,60 ;13,7 ;2,46 ;23,5 ;0,0;
321 ;0:00,70 ;4274 ;8 ;80;30;56;0,829 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;4,62 ;13,6 ;2,43 ;23,1 ;0,0;
321 ;0:00,80 ;4233 ;8 ;80;30;56;0,828 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;4,62 ;13,6 ;2,40 ;22,6 ;0,0;
321 ;0:00,90 ;4183 ;8 ;80;30;56;0,829 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;4,53 ;13,7 ;2,38 ;21,9 ;0,0;
321 ;0:01,00 ;4250 ;8 ;80;30;56;0,827 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;4,58 ;13,7 ;2,42 ;22,8 ;0,0;
321 ;0:01,10 ;4218 ;8 ;80;30;56;0,821 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;4,37 ;13,8 ;2,40 ;22,4 ;0,0;
321 ;0:01,20 ;4057 ;8 ;80;30;56;0,819 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;4,31 ;13,5 ;2,30 ;20,4 ;0,0;
321 ;0:01,30 ;3753 ;8 ;80;30;58;0,821 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;4,02 ;13,6 ;2,40 ;17,5 ;0,0;
321 ;0:01,40 ;3465 ;8 ;80;30;62;0,827 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;3,71 ;13,5 ;2,58 ;15,3 ;0,0;
321 ;0:01,50 ;3217 ;12 ;80;30;68;0,833 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;3,31 ;13,5 ;2,72 ;17,5 ;0,0;
321 ;0:01,60 ;3461 ;12 ;80;30;73;0,843 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;3,49 ;13,5 ;2,77 ;19,0 ;0,0;
321 ;0:01,70 ;3594 ;8 ;80;31;74;0,851 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;3,74 ;13,5 ;2,74 ;20,1 ;0,0;
321 ;0:01,80 ;3845 ;7 ;80;31;70;0,846 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;3,97 ;13,7 ;2,70 ;21,3 ;0,0;
321 ;0:01,90 ;4162 ;7 ;80;31;67;0,885 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;4,29 ;13,6 ;2,74 ;24,4 ;0,0;
321 ;0:02,00 ;4408 ;7 ;80;31;62;0,959 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;4,67 ;13,7 ;2,63 ;26,4 ;0,0;
321 ;0:02,10 ;4474 ;7 ;80;31;59;0,986 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;4,70 ;13,6 ;2,59 ;26,5 ;0,0;
321 ;0:02,20 ;4344 ;7 ;80;31;57;0,939 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;4,67 ;13,5 ;2,49 ;24,3 ;0,0;
321 ;0:02,30 ;4336 ;7 ;80;31;56;0,871 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;4,63 ;13,7 ;2,47 ;24,0 ;0,0;
321 ;0:02,40 ;4206 ;7 ;80;31;55;0,837 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;4,48 ;13,7 ;2,36 ;22,0 ;0,0;
321 ;0:02,50 ;3950 ;7 ;80;31;55;0,829 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;4,16 ;13,5 ;2,25 ;19,0 ;0,0;
321 ;0:02,60 ;3409 ;7 ;80;31;58;0,832 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;3,64 ;13,7 ;2,45 ;15,0 ;0,0;
321 ;0:02,70 ;2964 ;7 ;80;31;62;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;4,88 ;3,18 ;13,5 ;2,55 ;15,3 ;0,0;
321 ;0:02,80 ;2682 ;8 ;80;31;66;0,842 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;2,87 ;13,6 ;2,40 ;16,0 ;0,0;
321 ;0:02,90 ;2350 ;13 ;80;31;75;0,861 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;2,63 ;13,6 ;2,77 ;14,3 ;0,0;
321 ;0:03,00 ;2259 ;14 ;80;31;86;0,886 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;2,40 ;13,4 ;3,24 ;17,2 ;0,0;
321 ;0:03,10 ;2769 ;6 ;80;31;88;0,908 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;2,78 ;13,8 ;3,28 ;0,0 ;0,0;
321 ;0:03,20 ;2934 ;4 ;80;31;79;0,903 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;3,10 ;13,7 ;3,00 ;0,0 ;0,0;
321 ;0:03,30 ;2878 ;4 ;80;31;73;0,874 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;2,98 ;13,5 ;2,77 ;0,0 ;0,0;
