SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

335 ;0:00,10 ;6574 ;9 ;70;44;41;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;6,50 ;13,3 ;2,24 ;30,9 ;0,0;
335 ;0:00,20 ;5783 ;9 ;70;44;43;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;6,29 ;13,0 ;2,35 ;30,0 ;0,0;
335 ;0:00,30 ;5006 ;10 ;70;44;46;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;5,61 ;13,0 ;2,70 ;29,3 ;0,0;
335 ;0:00,40 ;4721 ;12 ;70;43;51;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;5,07 ;13,1 ;2,63 ;27,4 ;0,0;
335 ;0:00,50 ;4852 ;14 ;70;44;57;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;5,09 ;13,1 ;2,71 ;30,8 ;0,0;
335 ;0:00,60 ;5238 ;15 ;70;43;64;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;5,00 ;5,57 ;13,2 ;2,85 ;34,9 ;0,0;
335 ;0:00,70 ;5697 ;14 ;70;44;68;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;6,00 ;13,1 ;3,21 ;35,8 ;0,0;
335 ;0:00,80 ;6291 ;4 ;70;43;56;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,88 ;6,44 ;13,2 ;2,21 ;34,0 ;0,0;
335 ;0:00,90 ;6454 ;4 ;70;44;43;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;6,39 ;13,2 ;2,24 ;31,2 ;0,0;
335 ;0:01,00 ;6021 ;4 ;70;43;37;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;6,37 ;13,2 ;2,15 ;29,4 ;0,0;
335 ;0:01,10 ;5100 ;5 ;70;43;37;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;5,69 ;13,0 ;2,40 ;27,0 ;0,0;
335 ;0:01,20 ;4344 ;9 ;70;43;40;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,98 ;4,57 ;13,2 ;2,31 ;20,1 ;0,0;
335 ;0:01,30 ;3730 ;13 ;70;43;51;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,04 ;13,1 ;2,22 ;16,5 ;0,0;
335 ;0:01,40 ;3269 ;13 ;70;43;65;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;5,00 ;3,37 ;13,3 ;2,60 ;16,4 ;0,0;
335 ;0:01,50 ;3554 ;12 ;70;43;73;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;3,56 ;13,3 ;2,70 ;19,5 ;0,0;
335 ;0:01,60 ;3818 ;7 ;70;43;72;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;3,89 ;13,0 ;2,64 ;21,6 ;0,0;
335 ;0:01,70 ;4008 ;7 ;70;43;68;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,06 ;13,1 ;2,67 ;22,6 ;0,0;
335 ;0:01,80 ;4501 ;7 ;70;43;61;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,53 ;13,1 ;2,58 ;27,4 ;0,0;
335 ;0:01,90 ;4788 ;7 ;70;43;57;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;4,93 ;13,2 ;2,69 ;29,8 ;0,0;
335 ;0:02,00 ;4758 ;7 ;70;43;55;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,98 ;5,06 ;13,2 ;2,68 ;29,0 ;0,0;
335 ;0:02,10 ;4709 ;8 ;70;43;53;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;5,09 ;13,2 ;2,65 ;27,8 ;0,0;
335 ;0:02,20 ;4721 ;8 ;70;43;52;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;5,15 ;13,1 ;2,64 ;27,7 ;0,0;
335 ;0:02,30 ;4673 ;8 ;70;43;53;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,93 ;13,2 ;2,62 ;27,4 ;0,0;
335 ;0:02,40 ;4496 ;8 ;70;43;53;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,76 ;13,2 ;2,50 ;25,3 ;0,0;
335 ;0:02,50 ;4499 ;9 ;70;43;54;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,71 ;13,2 ;2,49 ;25,3 ;0,0;
335 ;0:02,60 ;4460 ;9 ;70;43;54;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,63 ;13,2 ;2,48 ;25,0 ;0,0;
335 ;0:02,70 ;4501 ;9 ;70;43;55;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,99 ;4,57 ;13,2 ;2,52 ;25,7 ;0,0;
335 ;0:02,80 ;4508 ;9 ;70;43;55;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,99 ;4,63 ;13,2 ;2,52 ;25,8 ;0,0;
335 ;0:02,90 ;4501 ;9 ;70;43;55;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;4,62 ;13,2 ;2,52 ;25,7 ;0,0;
335 ;0:03,00 ;4536 ;9 ;70;43;56;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;4,63 ;13,2 ;2,54 ;26,5 ;0,0;
335 ;0:03,10 ;4552 ;9 ;70;43;56;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;4,64 ;13,3 ;2,55 ;26,7 ;0,0;
335 ;0:03,20 ;4559 ;9 ;70;43;56;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;4,73 ;13,3 ;2,56 ;26,7 ;0,0;
