SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1062 ;0:00,10 ;0 ;25 ;69;50;98;0,532 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,16 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1062 ;0:00,20 ;0 ;25 ;69;50;98;0,532 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,01 ;1,18 ;12,0 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1062 ;0:00,30 ;0 ;25 ;69;50;98;0,531 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,18 ;11,9 ;-1 ;0,00 ;0,0 ;0 ;0 ;0 ;0,0;0,0;
1062 ;0:00,40 ;131 ;25 ;69;50;98;0,532 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;1,02 ;1,18 ;11,9 ;-1 ;4,41 ;30,0 ;0 ;0 ;11 ;0,0;0,0;
1062 ;0:00,50 ;463 ;29 ;69;50;98;0,535 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,88 ;1,18 ;11,8 ;-1 ;4,41 ;30,0 ;0 ;0 ;11 ;0,9;0,0;
1062 ;0:00,60 ;1064 ;51 ;69;50;97;0,538 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;1,23 ;11,8 ;-1 ;7,67 ;29,1 ;0 ;0 ;19 ;2,5;0,0;
1062 ;0:00,70 ;613 ;43 ;69;51;96;0,528 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,80 ;1,12 ;11,1 ;-1 ;7,57 ;27,2 ;0 ;0 ;18 ;2,1;0,0;
1062 ;0:00,80 ;477 ;40 ;69;51;96;0,512 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,07 ;11,0 ;-1 ;7,67 ;27,2 ;0 ;0 ;19 ;1,8;0,0;
1062 ;0:00,90 ;1370 ;47 ;69;51;97;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,77 ;1,22 ;11,1 ;-1 ;6,52 ;31,5 ;0 ;0 ;16 ;4,1;0,0;
1062 ;0:01,00 ;975 ;47 ;69;51;96;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,78 ;1,31 ;11,6 ;-1 ;5,61 ;27,2 ;0 ;0 ;14 ;2,9;0,0;
1062 ;0:01,10 ;1623 ;25 ;69;50;97;0,520 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,90 ;1,60 ;12,9 ;-1 ;5,47 ;32,6 ;0 ;0 ;13 ;4,1;0,0;
1062 ;0:01,20 ;2104 ;49 ;69;50;97;0,554 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,94 ;1,92 ;13,0 ;-1 ;5,75 ;32,6 ;0 ;0 ;14 ;5,7;0,0;
1062 ;0:01,30 ;4030 ;50 ;69;50;97;0,579 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,91 ;2,95 ;12,8 ;-1 ;7,84 ;35,0 ;0 ;0 ;25 ;14,0;0,0;
1062 ;0:01,40 ;5941 ;19 ;69;50;90;0,580 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;5,43 ;12,7 ;-1 ;7,02 ;39,9 ;0 ;0 ;34 ;17,7;0,0;
