"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
345064,1626790950143,,,250,253,238,233,,-0.08,0.05,2.78,0,-5,-2,0.09,,89,4525,7,39,57,0.887,0.0,369,4.83,13.0,0.0,1,26.6,2.57,5.3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
345084,1626790950163,,,250,253,239,233,,-0.09,0.05,2.87,0,-6,-4,0.1,,89,4546,7,39,57,0.887,0.0,369,4.86,12.8,0.0,1,26.9,2.58,5.3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
345104,1626790950183,,,250,253,239,233,,-0.08,0.04,2.96,0,-7,-5,0.09,,89,4559,7,39,57,0.886,0.0,375,4.85,13.1,0.0,1,27.0,2.59,5.3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
345124,1626790950205,,,250,253,239,233,,-0.08,0.05,3.0,-0,-8,-6,0.1,,89,4533,7,39,57,0.886,0.0,370,4.86,12.9,0.0,1,26.7,2.57,5.3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
345144,1626790950225,0,2,250,253,239,233,-6,-0.06,0.05,2.95,-0,-9,-7,0.08,1,89,4550,7,39,57,0.886,0.0,378,4.82,13.1,0.0,1,26.9,2.58,5.3,0,0,1,1,0,0,250,250,0,45.930698,5.258139,0.0,230.7,11,3,1.2,0,0.0,-1,0.0,,0.0,0,1.87,5.7524
345164,1626790950245,,,250,253,238,233,,-0.06,0.07,2.85,-0,-9,-8,0.09,,89,4506,7,39,57,0.887,0.0,370,4.84,13.1,0.0,1,26.4,1.47,5.3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
345184,1626790950265,,,250,253,238,233,,-0.04,0.07,2.76,-0,-9,-8,0.08,,89,4498,7,39,57,0.888,0.0,373,4.87,13.1,0.0,1,26.3,2.55,5.3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
345204,1626790950285,,,250,253,238,233,,-0.02,0.07,2.64,-0,-9,-9,0.07,,89,4533,7,39,57,0.889,0.0,365,4.86,13.1,0.0,1,26.7,1.48,5.3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
345224,1626790950305,,,250,253,239,233,,-0.01,0.08,2.58,-0,-10,-9,0.08,,89,4479,7,39,57,0.89,0.0,370,4.86,13.1,0.0,1,26.0,2.54,5.3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,
345244,1626790950325,-0,2,250,253,239,233,-6,-0.01,0.1,2.42,-0,-9,-9,0.1,1,89,4533,7,39,57,0.891,0.0,369,4.81,13.0,0.0,1,26.7,1.48,5.3,0,0,1,1,0,0,250,250,0,45.930698,5.258139,0.0,230.7,11,3,1.2,0,0.0,-1,0.0,0.0,0.0,0,1.87,5.7541
