SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;INJ %;L/Hr;L/100K;

1070 ;0:00,10 ;4636 ;7 ;78;40;57;0,870 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;4,15 ;13,0 ;-1 ;2,61 ;28,0 ;0 ;0 ;10 ;5,7;0,0;
1070 ;0:00,20 ;4617 ;7 ;78;40;57;0,868 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,87 ;4,10 ;13,3 ;-1 ;2,60 ;27,8 ;0 ;0 ;10 ;5,6;0,0;
1070 ;0:00,30 ;4605 ;7 ;78;40;57;0,870 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;4,09 ;13,3 ;-1 ;2,59 ;27,6 ;0 ;0 ;9 ;5,5;0,0;
1070 ;0:00,40 ;4583 ;7 ;78;40;57;0,873 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,89 ;4,01 ;13,1 ;-1 ;2,58 ;27,3 ;0 ;0 ;9 ;5,3;0,0;
1070 ;0:00,50 ;4554 ;7 ;78;40;58;0,875 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;4,02 ;13,0 ;-1 ;2,57 ;27,2 ;0 ;0 ;9 ;5,4;0,0;
1070 ;0:00,60 ;4572 ;7 ;78;40;58;0,874 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;4,07 ;13,3 ;-1 ;2,58 ;27,4 ;0 ;0 ;9 ;5,5;0,0;
1070 ;0:00,70 ;4666 ;7 ;78;40;58;0,872 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,82 ;4,12 ;13,1 ;-1 ;2,63 ;28,7 ;0 ;0 ;10 ;5,7;0,0;
1070 ;0:00,80 ;4645 ;7 ;78;40;57;0,873 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,85 ;4,18 ;13,2 ;-1 ;2,61 ;28,1 ;0 ;0 ;10 ;5,6;0,0;
1070 ;0:00,90 ;4564 ;7 ;78;40;57;0,874 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;4,11 ;13,2 ;-1 ;2,57 ;27,1 ;0 ;0 ;9 ;5,5;0,0;
1070 ;0:01,00 ;4546 ;7 ;78;40;57;0,878 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,83 ;4,02 ;13,2 ;-1 ;2,56 ;26,9 ;0 ;0 ;9 ;5,3;0,0;
1070 ;0:01,10 ;4548 ;7 ;78;40;57;0,880 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,86 ;4,03 ;13,0 ;-1 ;2,56 ;26,9 ;0 ;0 ;9 ;5,4;0,0;
