"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|50,"Height_LF"|"mm"|0|255|50,"Height_LR"|"mm"|0|80|50,"Height_RR"|"mm"|0|255|50,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"Gsum"|"G"|0.0|3.0|50,"Log_Button"|""|0.0|10.0|10,"WaterTemp"|"C"|0|150|50,"RPM"|"tr/min"|0|14000|50,"TPS"|"%"|0|100|50,"AirTemp"|"C"|0|150|50,"MAP"|"KPa"|0|100|50,"Lambda"|""|0.5|1.5|50,"SpeedDTA"|"kph"|0.0|250.0|50,"OilPress"|"KPa"|0|1500|50,"FuelPressur"|"Bar"|0.0|10.0|50,"Batterie"|"V"|0.0|20.0|50,"ConsoKm"|"L/100km"|0.0|200.0|50,"Gear"|""|0|6|50,"AdvIgnition"|"Deg"|-20.0|70.0|50,"Injection"|"ms"|0.0|10.0|50,"ConsoHr"|"L/Hr"|0.0|10000.0|50,"LC_But_Pres"|""|0|1|50,"LC_Active"|""|0|1|50,"TractionOn"|""|0|1|50,"TractionWet"|""|0|1|50,"FanOn"|""|0|1|50,"RD_Speed"|"km/h"|-30|250|10,"RUD_Speed"|"km/h"|-30|250|10,"LD_Speed"|"km/h"|-30|250|10,"LUD_Speed"|"km/h"|-30|250|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
89064,1626794293813,,,249,252,239,234,,0.32,-0.25,1.06,0,-2,-5,0.41,,77,4543,7,39,58,0.884,0.0,404,4.84,13.2,0.0,1,27.1,2.58,5.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89084,1626794293833,,,249,251,239,234,,0.35,-0.33,0.97,0,-1,-5,0.48,,77,4521,7,39,58,0.884,0.0,403,4.83,13.3,0.0,1,26.8,2.57,5.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89104,1626794293853,,,249,253,238,235,,0.36,-0.36,0.9,0,-1,-4,0.51,,77,4541,7,39,57,0.885,0.0,405,4.83,13.2,0.0,1,26.8,2.58,5.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89124,1626794293873,,,249,253,239,235,,0.38,-0.4,0.83,0,0,-4,0.55,,77,4533,7,39,57,0.886,0.0,407,4.85,13.2,0.0,1,26.7,2.57,5.2,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89144,1626794293893,4,1,249,252,239,235,-4,0.38,-0.44,0.77,0,1,-4,0.58,1,77,4541,7,39,58,0.887,0.0,404,4.86,13.3,0.0,1,27.0,2.58,5.4,0,0,0,1,0,0,250,250,0,45.930679,5.258157,0.0,230.7,8,2,2.2,0,0.0,-1,0.0,,0.0,0,0.16,1.4857
89164,1626794293913,,,249,252,238,234,,0.38,-0.47,0.71,0,2,-3,0.6,,77,4555,7,39,58,0.888,0.0,407,4.81,13.3,0.0,1,27.2,2.58,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89184,1626794293933,,,249,252,239,234,,0.36,-0.45,0.65,0,3,-1,0.58,,77,4544,7,39,58,0.887,0.0,408,4.85,13.3,0.0,1,27.1,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89204,1626794293953,,,249,252,239,235,,0.34,-0.39,0.6,0,5,0,0.52,,77,4575,7,39,58,0.887,0.0,406,4.85,13.3,0.0,1,27.5,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89224,1626794293973,,,249,252,239,235,,0.32,-0.34,0.55,0,5,1,0.47,,77,4530,7,39,58,0.887,0.0,415,4.86,13.3,0.0,1,26.9,2.58,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89244,1626794293993,3,2,249,252,239,235,-3,0.3,-0.29,0.51,0,6,3,0.42,1,77,4524,7,40,58,0.886,0.0,406,4.86,13.3,0.0,1,26.8,2.56,5.4,0,0,0,1,0,0,250,250,0,45.930679,5.258157,0.0,230.7,8,2,2.2,0,0.0,-1,0.0,0.0,0.0,0,0.16,1.4874
89264,1626794294005,,,249,252,239,235,,0.27,-0.24,0.47,0,7,5,0.36,,77,4547,7,39,58,0.886,0.0,411,4.86,13.3,0.0,1,27.1,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89284,1626794294025,,,249,253,239,234,,0.24,-0.2,0.44,1,8,7,0.31,,77,4509,7,39,58,0.885,0.0,405,4.87,13.3,0.0,1,26.6,2.57,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89304,1626794294045,,,249,252,239,235,,0.22,-0.15,0.4,1,8,8,0.26,,77,4544,7,39,58,0.885,0.0,405,4.84,13.3,0.0,1,27.1,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89324,1626794294065,,,249,252,239,234,,0.19,-0.08,0.52,1,8,10,0.2,,77,4545,7,39,58,0.885,0.0,406,4.83,13.3,0.0,1,27.1,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89344,1626794294093,4,2,249,253,239,235,-3,0.14,-0.04,0.65,1,9,11,0.15,1,77,4543,7,39,58,0.886,0.0,403,4.85,13.3,0.0,1,27.1,2.59,5.4,0,0,0,1,0,0,250,250,0,45.930679,5.258157,0.0,230.7,8,2,2.6,0,0.0,-1,0.0,,0.0,0,0.16,1.4891
89364,1626794294113,,,249,252,239,234,,0.1,-0.04,0.81,1,9,12,0.11,,77,4536,7,39,58,0.886,0.0,406,4.85,13.2,0.0,1,27.0,2.58,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89384,1626794294133,,,249,252,239,234,,0.06,-0.05,1.04,1,9,12,0.08,,77,4546,7,39,58,0.887,0.0,408,4.86,13.3,0.0,1,27.1,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89404,1626794294153,,,249,253,239,235,,0.02,-0.04,1.27,1,8,11,0.04,,77,4519,7,39,58,0.887,0.0,402,4.86,13.2,0.0,1,26.7,1.49,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89424,1626794294173,,,249,252,239,234,,-0.03,-0.04,1.48,1,8,11,0.04,,77,4568,7,39,58,0.888,0.0,407,4.85,13.2,0.0,1,27.4,1.51,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89444,1626794294192,4,2,249,252,239,235,-3,-0.07,-0.06,1.67,1,7,9,0.09,0,77,4562,7,39,58,0.888,0.0,402,4.83,13.3,0.0,1,27.3,2.59,5.4,0,0,0,1,0,0,250,250,0,45.930679,5.258157,0.0,230.7,8,2,2.6,0,0.0,-1,0.0,0.0,0.0,0,0.16,1.4907
89464,1626794294212,,,249,253,239,235,,-0.11,-0.08,1.85,1,6,8,0.13,,77,4563,7,39,58,0.888,0.0,407,4.84,13.1,0.0,1,27.3,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89484,1626794294232,,,249,252,239,235,,-0.14,-0.08,2.02,0,5,6,0.16,,77,4568,7,39,58,0.889,0.0,407,4.87,13.1,0.0,1,27.4,1.51,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89504,1626794294252,,,249,253,239,235,,-0.14,-0.07,2.17,0,3,4,0.16,,77,4562,7,39,58,0.89,0.0,406,4.85,13.1,0.0,1,27.4,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89524,1626794294272,,,249,253,239,234,,-0.14,-0.02,2.31,0,1,2,0.14,,77,4583,7,39,58,0.891,0.0,411,4.86,13.1,0.0,1,27.6,2.59,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89544,1626794294292,4,2,249,252,239,234,-3,-0.12,0.04,2.44,0,-0,0,0.12,0,77,4587,7,39,58,0.892,0.0,407,4.88,13.0,0.0,1,27.6,2.6,5.5,0,0,0,1,0,0,250,250,0,45.930679,5.258157,0.0,230.7,8,2,2.6,0,0.0,-1,0.0,,0.0,0,0.16,1.4924
89564,1626794294312,,,249,251,238,235,,-0.09,0.1,2.36,0,-1,-0,0.14,,77,4600,7,39,58,0.892,0.0,410,4.88,13.0,0.0,1,27.8,2.61,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89584,1626794294332,,,249,252,239,234,,-0.04,0.11,2.18,0,-2,-1,0.11,,77,4584,7,39,58,0.892,0.0,408,4.85,13.2,0.0,1,27.6,2.6,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89604,1626794294352,,,249,252,239,234,,0.02,0.06,2.01,0,-2,-2,0.07,,77,4585,7,40,57,0.892,0.0,411,4.86,13.2,0.0,1,27.4,2.59,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89624,1626794294372,,,249,253,238,235,,0.07,0.02,1.85,0,-2,-2,0.07,,77,4572,7,39,58,0.892,0.0,415,4.87,13.3,0.0,1,27.4,2.59,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89644,1626794294392,4,0,249,252,238,235,-3,0.11,-0.05,1.71,0,-2,-2,0.12,0,77,4605,7,39,58,0.892,0.0,413,4.86,13.3,0.0,1,27.9,2.6,5.5,0,0,0,1,0,0,250,250,0,45.930679,5.258157,0.0,230.7,8,2,2.6,0,0.0,-1,0.0,0.0,0.0,0,0.16,1.4941
89664,1626794294412,,,249,252,239,235,,0.14,-0.12,1.58,0,-1,-1,0.18,,77,4580,7,39,58,0.891,0.0,411,4.88,13.3,0.0,1,27.5,2.59,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89684,1626794294432,,,249,253,239,234,,0.14,-0.14,1.46,0,1,-0,0.2,,77,4585,7,39,58,0.891,0.0,413,4.85,13.2,0.0,1,27.6,2.59,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89704,1626794294452,,,249,252,239,235,,0.13,-0.12,1.35,0,2,1,0.18,,77,4559,7,39,58,0.891,0.0,409,4.86,13.3,0.0,1,27.3,2.59,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89724,1626794294472,,,249,252,238,235,,0.12,-0.1,1.24,0,3,3,0.16,,77,4582,7,39,58,0.89,0.0,413,4.87,13.3,0.0,1,27.6,2.59,5.5,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
89744,1626794294492,4,2,249,252,239,235,-3,0.1,-0.06,1.15,0,4,5,0.12,0,77,4573,7,39,58,0.889,0.0,406,4.87,13.3,0.0,1,27.5,2.59,5.4,0,0,0,1,0,0,250,250,0,45.930679,5.258157,0.0,230.7,8,2,2.6,0,0.0,-1,0.0,,0.0,0,0.16,1.4957
89764,1626794294512,,,249,252,239,235,,0.07,-0.04,1.24,0,5,6,0.07,,77,4601,7,39,58,0.888,0.0,412,4.83,13.2,0.0,1,27.8,2.61,5.4,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
