SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

2722 ;0:00,10 ;1452 ;5 ;89;30;92;0,990 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,64 ;12,7 ;3,39 ;0,7 ;0,0;
2722 ;0:00,20 ;1321 ;5 ;89;30;92;0,987 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,59 ;12,7 ;3,27 ;0,7 ;0,0;
2722 ;0:00,30 ;1470 ;5 ;89;30;92;0,987 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;1,60 ;12,8 ;3,40 ;0,6 ;0,0;
2722 ;0:00,40 ;1384 ;5 ;89;30;92;0,984 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;1,62 ;12,8 ;3,32 ;0,4 ;0,0;
2722 ;0:00,50 ;1208 ;5 ;89;30;92;0,983 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;1,56 ;12,7 ;3,17 ;0,4 ;0,0;
2722 ;0:00,60 ;1463 ;5 ;89;30;91;0,985 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,65 ;12,8 ;3,19 ;0,2 ;0,0;
2722 ;0:00,70 ;1515 ;5 ;89;30;91;0,988 ;0,0 ;0,0 ;0,0 ;0,0 ;4,98 ;1,69 ;12,6 ;3,24 ;0,2 ;0,0;
2722 ;0:00,80 ;1590 ;5 ;89;30;91;0,992 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,70 ;12,8 ;3,24 ;0,2 ;0,0;
2722 ;0:00,90 ;1449 ;5 ;89;30;91;0,996 ;0,0 ;0,0 ;0,0 ;0,0 ;4,89 ;1,67 ;12,7 ;3,21 ;0,2 ;0,0;
2722 ;0:01,00 ;1400 ;5 ;89;30;91;0,993 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;1,64 ;12,7 ;3,17 ;0,2 ;0,0;
2722 ;0:01,10 ;1552 ;5 ;89;30;91;0,981 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;1,66 ;12,8 ;3,24 ;0,2 ;0,0;
2722 ;0:01,20 ;1631 ;5 ;89;30;91;0,973 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,70 ;12,8 ;3,25 ;0,2 ;0,0;
2722 ;0:01,30 ;1502 ;5 ;89;30;91;0,963 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;1,68 ;12,8 ;3,24 ;0,2 ;0,0;
2722 ;0:01,40 ;1361 ;5 ;89;30;92;0,955 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,59 ;12,8 ;3,30 ;0,2 ;0,0;
2722 ;0:01,50 ;1429 ;5 ;89;30;91;0,952 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,61 ;12,7 ;3,19 ;0,2 ;0,0;
