SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

2730 ;0:00,10 ;524 ;10 ;91;25;97;0,830 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;1,24 ;12,6 ;3,37 ;18,6 ;0,0;
2730 ;0:00,20 ;524 ;6 ;91;25;93;0,829 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;1,24 ;12,6 ;3,10 ;19,5 ;0,0;
2730 ;0:00,30 ;524 ;6 ;91;25;76;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;1,34 ;12,6 ;2,93 ;17,7 ;0,0;
2730 ;0:00,40 ;1990 ;6 ;91;25;63;0,834 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,83 ;12,6 ;2,90 ;0,0 ;0,0;
2730 ;0:00,50 ;3787 ;6 ;91;25;55;0,839 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;2,90 ;12,8 ;2,64 ;16,1 ;0,0;
2730 ;0:00,60 ;4158 ;6 ;91;25;54;0,842 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;3,38 ;12,7 ;2,66 ;19,0 ;0,0;
2730 ;0:00,70 ;4190 ;6 ;91;25;55;0,841 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,32 ;12,8 ;2,70 ;19,4 ;0,0;
2730 ;0:00,80 ;4260 ;6 ;91;25;55;0,834 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,29 ;12,8 ;2,71 ;20,4 ;0,0;
2730 ;0:00,90 ;4321 ;6 ;90;25;55;0,834 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;3,22 ;12,8 ;2,72 ;21,2 ;0,0;
2730 ;0:01,00 ;4273 ;6 ;91;25;54;0,836 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;3,33 ;12,8 ;2,67 ;20,5 ;0,0;
2730 ;0:01,10 ;4177 ;6 ;90;25;55;0,841 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;3,27 ;12,7 ;2,70 ;19,3 ;0,0;
2730 ;0:01,20 ;4240 ;6 ;91;25;55;0,840 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;3,33 ;12,7 ;2,71 ;20,1 ;0,0;
2730 ;0:01,30 ;4331 ;6 ;91;25;55;0,840 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,37 ;12,8 ;2,72 ;21,3 ;0,0;
2730 ;0:01,40 ;4403 ;6 ;91;25;54;0,840 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;3,32 ;12,8 ;2,69 ;22,2 ;0,0;
2730 ;0:01,50 ;4461 ;6 ;91;25;55;0,841 ;0,0 ;0,0 ;0,0 ;0,0 ;4,99 ;3,48 ;12,8 ;2,73 ;22,9 ;0,0;
2730 ;0:01,60 ;4412 ;6 ;91;25;54;0,838 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,48 ;12,7 ;2,69 ;22,7 ;0,0;
2730 ;0:01,70 ;4428 ;6 ;91;25;54;0,833 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;3,51 ;12,6 ;2,69 ;22,6 ;0,0;
2730 ;0:01,80 ;4464 ;6 ;91;25;54;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;3,51 ;12,7 ;2,69 ;23,0 ;0,0;
2730 ;0:01,90 ;4525 ;6 ;91;25;54;0,833 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;3,49 ;12,6 ;2,70 ;23,8 ;0,0;
2730 ;0:02,00 ;4533 ;6 ;91;25;54;0,837 ;0,0 ;0,0 ;0,0 ;0,0 ;5,00 ;3,56 ;12,7 ;2,70 ;23,9 ;0,0;
2730 ;0:02,10 ;4518 ;6 ;91;25;55;0,836 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,60 ;12,7 ;2,74 ;23,6 ;0,0;
2730 ;0:02,20 ;4524 ;6 ;91;25;55;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;4,98 ;3,55 ;12,7 ;2,74 ;23,7 ;0,0;
2730 ;0:02,30 ;4487 ;6 ;91;25;55;0,830 ;0,0 ;0,0 ;0,0 ;0,0 ;4,98 ;3,57 ;12,7 ;2,73 ;23,2 ;0,0;
2730 ;0:02,40 ;4553 ;6 ;91;25;55;0,843 ;0,0 ;0,0 ;0,0 ;0,0 ;4,98 ;3,60 ;12,7 ;2,74 ;24,0 ;0,0;
2730 ;0:02,50 ;4634 ;6 ;91;25;57;0,851 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;3,62 ;12,8 ;2,84 ;24,6 ;0,0;
2730 ;0:02,60 ;4606 ;6 ;91;24;58;0,842 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,61 ;12,7 ;2,90 ;24,0 ;0,0;
2730 ;0:02,70 ;4713 ;7 ;91;24;60;0,852 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;3,71 ;12,8 ;2,99 ;24,7 ;0,0;
2730 ;0:02,80 ;4749 ;8 ;91;24;60;0,901 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;3,66 ;12,8 ;2,99 ;25,0 ;0,0;
2730 ;0:02,90 ;4463 ;10 ;91;24;59;0,913 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,46 ;12,7 ;2,93 ;22,3 ;0,0;
2730 ;0:03,00 ;4314 ;9 ;91;24;54;0,884 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;3,36 ;12,8 ;2,69 ;21,1 ;0,0;
2730 ;0:03,10 ;4454 ;6 ;91;24;50;0,855 ;0,0 ;0,0 ;0,0 ;0,0 ;4,98 ;3,56 ;12,6 ;2,55 ;21,9 ;0,0;
2730 ;0:03,20 ;4803 ;7 ;91;24;48;0,844 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,83 ;12,8 ;2,55 ;25,2 ;0,0;
2730 ;0:03,30 ;5387 ;7 ;91;24;44;0,823 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;4,33 ;12,7 ;2,51 ;29,5 ;0,0;
2730 ;0:03,40 ;6155 ;7 ;91;24;40;0,809 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;4,81 ;12,7 ;2,47 ;31,6 ;0,0;
2730 ;0:03,50 ;6574 ;8 ;91;24;40;0,801 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;5,05 ;12,7 ;2,47 ;31,6 ;0,0;
2730 ;0:03,60 ;6756 ;8 ;91;24;40;0,816 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;5,10 ;12,6 ;2,47 ;31,7 ;0,0;
2730 ;0:03,70 ;6936 ;8 ;91;25;41;0,841 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;5,15 ;12,7 ;2,48 ;32,4 ;0,0;
2730 ;0:03,80 ;7009 ;8 ;91;25;42;0,856 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;5,20 ;12,7 ;2,50 ;33,2 ;0,0;
2730 ;0:03,90 ;7164 ;8 ;91;25;44;0,897 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;5,19 ;12,7 ;2,54 ;34,7 ;0,0;
2730 ;0:04,00 ;7387 ;8 ;91;25;48;0,921 ;0,0 ;0,0 ;0,0 ;0,0 ;4,90 ;5,30 ;12,7 ;2,65 ;37,2 ;0,0;
2730 ;0:04,10 ;7656 ;9 ;91;25;59;0,889 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;5,50 ;12,7 ;3,29 ;42,6 ;0,0;
2730 ;0:04,20 ;6941 ;11 ;91;25;81;0,840 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;5,00 ;12,8 ;5,19 ;37,7 ;0,0;
2730 ;0:04,30 ;4885 ;39 ;91;24;94;0,833 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;3,72 ;12,7 ;6,21 ;30,1 ;0,0;
2730 ;0:04,40 ;4324 ;12 ;91;24;56;0,830 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;3,40 ;12,7 ;2,78 ;21,1 ;0,0;
