SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

2789 ;0:00,10 ;427 ;53 ;83;23;98;0,747 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,21 ;12,3 ;3,23 ;20,0 ;0,0;
2789 ;0:00,20 ;427 ;36 ;83;23;98;0,746 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,21 ;12,3 ;3,23 ;20,0 ;0,0;
2789 ;0:00,30 ;427 ;24 ;83;23;98;0,751 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,21 ;12,3 ;3,23 ;20,0 ;0,0;
2789 ;0:00,40 ;427 ;24 ;83;23;98;0,756 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,21 ;12,3 ;3,23 ;20,0 ;0,0;
2789 ;0:00,50 ;427 ;21 ;83;23;98;0,760 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;1,21 ;12,4 ;3,23 ;20,0 ;0,0;
2789 ;0:00,60 ;427 ;19 ;83;23;98;0,759 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;1,21 ;12,5 ;3,23 ;20,0 ;0,0;
2789 ;0:00,70 ;427 ;19 ;83;23;98;0,754 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;1,23 ;12,4 ;3,23 ;20,0 ;0,0;
2789 ;0:00,80 ;427 ;16 ;83;23;98;0,746 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;1,23 ;12,5 ;3,23 ;20,0 ;0,0;
2789 ;0:00,90 ;1205 ;16 ;84;23;98;0,739 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,13 ;12,5 ;3,67 ;21,6 ;0,0;
2789 ;0:01,00 ;591 ;16 ;84;23;97;0,738 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;1,34 ;12,6 ;3,17 ;18,6 ;0,0;
2789 ;0:01,10 ;997 ;16 ;84;23;97;0,741 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;1,48 ;12,7 ;3,17 ;18,6 ;0,0;
2789 ;0:01,20 ;1118 ;16 ;84;23;97;0,745 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;1,51 ;12,8 ;3,39 ;19,5 ;0,0;
