															
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	 	 	 	%
	4000	6,361	6,961	7,17	12,59	12,66	22,23	53,12	0E-15	347,1	652,1			0	
	4050	6,599	7,211	7,427	12,88	12,99	22,52	53,78	0,326	355	662,5			0	
	4100	7,096	7,72	7,951	13,62	13,58	23,26	54,45	0,6006	375,4	704,5			0	
	4150	7,812	8,449	8,702	14,73	14,4	24,37	55,11	0,8342	405,9	770			0	
	4200	8,411	9,06	9,331	15,6	15,1	25,25	55,78	1,06	430,1	825,7			0	
	4250	8,540	9,201	9,477	15,66	15,31	25,3	56,44	1,271	431,7	829,2			0	
	4300	7,91	8,584	8,841	14,44	14,74	24,08	57,1	1,526	398,1	748,3			0	
	4350	7,219	7,905	8,142	13,15	14,11	22,79	57,77	1,803	362,4	676,7			0	
	4400	7,144	7,844	8,079	12,9	14,12	22,54	58,43	2,081	355,4	659,8			0	
	4450	7,976	8,689	8,949	14,12	15,06	23,76	59,1	2,339	389,2	733,5			0	
	4500	8,871	9,597	9,884	15,42	16,06	25,07	59,76	2,555	425,1	815,2			0	
	4550	9,361	10,1	10,4	16,06	16,65	25,7	60,42	2,77	442,6	846,6			0	
	4600	9,415	10,17	10,47	15,99	16,79	25,63	61,09	2,995	440,7	838,4			0	
	4650	9,206	9,971	10,27	15,51	16,65	25,15	61,75	3,22	427,6	811,3			0	
	4700	8,92	9,699	9,989	14,93	16,44	24,57	62,42	3,464	411,5	783,1			0	
	4750	8,995	9,788	10,08	14,91	16,6	24,55	63,08	3,691	410,9	781,1			0	
	4800	9,939	10,75	11,07	16,19	17,66	25,83	63,74	3,924	446,3	851,7			0	
	4850	11,4	12,22	12,59	18,22	19,25	27,87	64,41	4,106	502,4	972,1			0	
	4900	12,85	13,69	14,09	20,2	20,82	29,84	65,07	4,268	556,8	1085			0	
	4950	13,89	14,74	15,18	21,53	21,98	31,18	65,74	4,422	593,6	1158			0	
	5000	14,34	15,21	15,66	21,99	22,52	31,64	66,4	4,575	606,4	1186			0	
	5050	14,2	15,08	15,53	21,6	22,46	31,25	67,06	4,733	595,5	1168			0	
	5100	13,57	14,46	14,89	20,51	21,9	30,16	67,73	4,908	565,5	1108			0	
	5150	13,14	14,05	14,47	19,73	21,54	29,38	68,39	5,087	544	1063			0	
	5200	14,21	15,13	15,58	21,04	22,72	30,69	69,06	5,26	580,2	1138			0	
	5250	16,62	17,56	18,08	24,17	25,29	33,82	69,72	5,394	666,4	1321			0	
	5300	19,23	20,19	20,79	27,53	28,06	37,18	70,38	5,511	759	1518			0	
	5350	21,6	22,57	23,24	30,48	30,59	40,12	71,05	5,601	840,2	1690			0	
	5400	23,95	24,94	25,68	33,4	33,1	43,05	71,71	5,691	920,9	1861			0	
	5450	25,43	26,43	27,22	35,05	34,7	44,7	72,38	5,779	966,4	1955			0	
	5500	26,9	27,92	28,75	36,71	36,3	46,35	73,04	5,866	1012	2050			0	
	5550	27,75	28,79	29,64	37,5	37,26	47,15	73,7	5,954	1034	2097			0	
	5600	28,37	29,42	30,29	37,99	37,98	47,64	74,37	6,042	1047	2126			0	
	5650	28,8	29,87	30,75	38,23	38,51	47,87	75,03	6,13	1054	2142			0	
	5700	29	30,09	30,98	38,18	38,81	47,83	75,7	6,217	1053	2141			0	
	5750	29,21	30,32	31,22	38,13	39,11	47,77	76,36	6,305	1051	2139			0	
	5800	29,41	30,53	31,44	38,07	39,4	47,72	77,02	6,393	1050	2133			0	
	5850	29,61	30,75	31,66	38,01	39,69	47,66	77,69	6,481	1048	2127			0	
	5900	30,11	31,27	32,2	38,33	40,3	47,97	78,35	6,568	1057	2143			0	
	5950	30,66	31,83	32,77	38,69	40,95	48,33	79,02	6,654	1067	2162			0	
	6000	31,38	32,57	33,54	39,25	41,78	48,9	79,68	6,737	1082	2195			0	
	6050	32,23	33,44	34,43	39,97	42,74	49,61	80,34	6,817	1102	2238			0	
	6100	33,06	34,29	35,31	40,66	43,69	50,3	81,01	6,896	1121	2279			0	
	6150	33,72	34,97	36	41,11	44,45	50,76	81,67	6,973	1133	2306			0	
	6200	34,37	35,64	36,7	41,57	45,21	51,21	82,34	7,049	1146	2333			0	
