SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

2 ;0:00,10 ;4394 ;7 ;65;15;60;0,849 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;5,53 ;14,1 ;2,64 ;21,5 ;0,0;
2 ;0:00,20 ;4397 ;7 ;65;15;60;0,850 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;5,55 ;13,9 ;2,64 ;21,5 ;0,0;
2 ;0:00,30 ;4350 ;7 ;65;15;60;0,842 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;5,45 ;14,1 ;2,63 ;21,0 ;0,0;
2 ;0:00,40 ;4362 ;7 ;65;15;60;0,832 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;5,44 ;14,1 ;2,63 ;21,1 ;0,0;
2 ;0:00,50 ;4336 ;8 ;65;15;61;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;4,82 ;5,25 ;14,1 ;2,64 ;20,7 ;0,0;
2 ;0:00,60 ;4268 ;7 ;65;15;61;0,829 ;0,0 ;0,0 ;0,0 ;0,0 ;4,81 ;5,21 ;13,9 ;2,61 ;20,0 ;0,0;
2 ;0:00,70 ;4206 ;7 ;65;15;61;0,840 ;0,0 ;0,0 ;0,0 ;0,0 ;4,82 ;5,19 ;14,1 ;2,59 ;19,4 ;0,0;
2 ;0:00,80 ;4199 ;7 ;65;15;61;0,842 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;5,26 ;14,0 ;2,59 ;19,4 ;0,0;
2 ;0:00,90 ;4224 ;7 ;65;15;61;0,840 ;0,0 ;0,0 ;0,0 ;0,0 ;4,81 ;5,16 ;14,1 ;2,60 ;19,6 ;0,0;
2 ;0:01,00 ;4243 ;7 ;65;15;61;0,838 ;0,0 ;0,0 ;0,0 ;0,0 ;4,84 ;4,99 ;14,1 ;2,60 ;19,8 ;0,0;
2 ;0:01,10 ;4199 ;8 ;65;15;62;0,835 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;5,08 ;14,1 ;2,63 ;19,5 ;0,0;
2 ;0:01,20 ;4182 ;8 ;65;15;62;0,828 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;5,19 ;14,1 ;2,62 ;19,3 ;0,0;
2 ;0:01,30 ;4259 ;10 ;65;16;64;0,825 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;5,23 ;14,1 ;2,73 ;20,4 ;0,0;
2 ;0:01,40 ;4402 ;9 ;65;16;65;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;4,83 ;5,51 ;14,1 ;2,84 ;21,8 ;0,0;
2 ;0:01,50 ;4614 ;8 ;65;16;64;0,826 ;0,0 ;0,0 ;0,0 ;0,0 ;4,85 ;5,71 ;14,1 ;2,89 ;23,7 ;0,0;
2 ;0:01,60 ;4576 ;8 ;65;16;63;0,827 ;0,0 ;0,0 ;0,0 ;0,0 ;4,80 ;5,67 ;13,9 ;2,82 ;23,2 ;0,0;
2 ;0:01,70 ;4629 ;9 ;66;16;63;0,828 ;0,0 ;0,0 ;0,0 ;0,0 ;4,86 ;5,71 ;14,1 ;2,84 ;23,7 ;0,0;
2 ;0:01,80 ;4574 ;9 ;66;16;63;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;4,81 ;5,70 ;14,0 ;2,82 ;23,2 ;0,0;
