SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

9 ;0:00,10 ;0 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0,96 ;1,16 ;11,6 ;0,00 ;0,0 ;0,0;
9 ;0:00,20 ;0 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0,97 ;1,16 ;11,7 ;0,00 ;0,0 ;0,0;
9 ;0:00,30 ;0 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;0,97 ;1,16 ;11,7 ;0,00 ;0,0 ;0,0;
9 ;0:00,40 ;133 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;2,34 ;1,16 ;11,6 ;4,27 ;20,0 ;0,0;
9 ;0:00,50 ;463 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,80 ;1,17 ;11,5 ;4,27 ;20,0 ;0,0;
9 ;0:00,60 ;464 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;1,18 ;11,7 ;4,27 ;20,0 ;0,0;
9 ;0:00,70 ;466 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,79 ;1,18 ;11,4 ;4,27 ;20,0 ;0,0;
9 ;0:00,80 ;461 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;1,21 ;11,7 ;4,27 ;20,0 ;0,0;
9 ;0:00,90 ;467 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;1,23 ;11,4 ;4,27 ;20,0 ;0,0;
9 ;0:01,00 ;466 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;1,24 ;11,7 ;4,27 ;20,0 ;0,0;
9 ;0:01,10 ;463 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,77 ;1,23 ;11,5 ;3,64 ;20,0 ;0,0;
9 ;0:01,20 ;462 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;1,24 ;11,6 ;3,64 ;20,0 ;0,0;
9 ;0:01,30 ;463 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;1,23 ;11,5 ;3,64 ;20,0 ;0,0;
9 ;0:01,40 ;468 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;1,24 ;11,4 ;3,64 ;20,0 ;0,0;
9 ;0:01,50 ;462 ;100 ;66;24;98;0,506 ;0,0 ;0,0 ;0,0 ;0,0 ;4,79 ;1,24 ;12,6 ;3,64 ;20,0 ;0,0;
9 ;0:01,60 ;454 ;100 ;66;24;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;4,78 ;1,24 ;12,6 ;3,64 ;20,0 ;0,0;
9 ;0:01,70 ;357 ;96 ;66;24;98;0,504 ;0,0 ;0,0 ;0,0 ;0,0 ;4,82 ;1,21 ;12,7 ;3,64 ;20,0 ;0,0;
9 ;0:01,80 ;357 ;31 ;66;24;98;0,505 ;0,0 ;0,0 ;0,0 ;0,0 ;4,81 ;1,18 ;12,7 ;3,64 ;20,0 ;0,0;
9 ;0:01,90 ;0 ;52 ;67;24;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,37 ;1,23 ;11,6 ;0,00 ;0,0 ;0,0;
9 ;0:02,00 ;0 ;52 ;67;24;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;1,37 ;1,23 ;11,6 ;0,00 ;0,0 ;0,0;
