"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"Unknown"|""|0|1024|25,"Log_Button"|""|0.0|10.0|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
65083,0,,,,,,,,-0.01,-0.07,0.58,1,3,-0,0.07,0,,,,,,,,,,,,,,,,,
65123,0,,,,,,,,0.01,-0.06,0.54,1,3,-0,0.06,0,,,,,,,,,,,,,,,,,
65163,0,,,,,,,,0.1,-0.04,0.74,1,2,-0,0.11,0,,,,,,,,,,,,,,,,,
65203,0,,,,,,,,0.14,-0.02,0.83,1,2,0,0.14,0,,,,,,,,,,,,,,,,,
65243,0,1,3,48,52,32,37,-2,0.12,-0.01,0.86,1,2,0,0.12,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,1.0874
65283,0,,,,,,,,0.11,-0.01,0.92,1,1,0,0.11,0,,,,,,,,,,,,,,,,,
65323,0,,,,,,,,0.08,-0.0,0.91,1,1,0,0.08,0,,,,,,,,,,,,,,,,,
65363,0,,,,,,,,0.08,-0.0,0.92,1,1,0,0.08,0,,,,,,,,,,,,,,,,,
65403,0,,,,,,,,0.05,0.0,0.98,1,1,0,0.05,0,,,,,,,,,,,,,,,,,
65443,0,0,1,49,52,32,37,-3,0.03,-0.0,0.98,1,-1,1,0.03,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,1.0907
