SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

3 ;0:00,10 ;0 ;54 ;82;36;98;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;2,90 ;1,18 ;11,0 ;0,00 ;0,0 ;0,0;
3 ;0:00,20 ;0 ;54 ;83;36;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;2,81 ;1,21 ;11,2 ;0,00 ;0,0 ;0,0;
3 ;0:00,30 ;2193 ;54 ;83;37;97;0,501 ;0,0 ;0,0 ;0,0 ;0,0 ;2,93 ;1,44 ;11,0 ;4,96 ;22,6 ;0,0;
3 ;0:00,40 ;3636 ;57 ;83;36;97;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;2,24 ;11,6 ;5,37 ;24,4 ;0,0;
3 ;0:00,50 ;6069 ;20 ;83;36;88;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,91 ;4,70 ;11,7 ;5,72 ;32,8 ;0,0;
3 ;0:00,60 ;8561 ;10 ;83;36;60;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;6,41 ;12,1 ;3,69 ;43,3 ;0,0;
3 ;0:00,70 ;9319 ;7 ;83;36;36;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;6,47 ;12,1 ;2,63 ;31,1 ;0,0;
3 ;0:00,80 ;8393 ;7 ;83;36;32;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;6,40 ;12,2 ;2,37 ;29,7 ;0,0;
3 ;0:00,90 ;7376 ;7 ;83;36;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;6,37 ;12,2 ;2,15 ;28,2 ;0,0;
3 ;0:01,00 ;6449 ;7 ;83;35;31;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;6,26 ;12,3 ;2,17 ;28,6 ;0,0;
3 ;0:01,10 ;5557 ;29 ;83;35;56;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;5,56 ;12,3 ;2,76 ;34,3 ;0,0;
3 ;0:01,20 ;6323 ;30 ;83;35;87;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;5,95 ;12,1 ;4,71 ;34,3 ;0,0;
3 ;0:01,30 ;8202 ;11 ;83;35;65;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;6,52 ;12,2 ;3,38 ;44,6 ;0,0;
3 ;0:01,40 ;9735 ;8 ;83;35;38;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;6,50 ;12,2 ;2,73 ;31,7 ;0,0;
3 ;0:01,50 ;8794 ;7 ;83;35;30;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,92 ;6,49 ;12,1 ;2,43 ;29,1 ;0,0;
3 ;0:01,60 ;7812 ;7 ;83;35;29;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;6,43 ;12,2 ;2,13 ;28,0 ;0,0;
3 ;0:01,70 ;6788 ;7 ;82;34;29;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,94 ;6,33 ;12,2 ;2,14 ;27,8 ;0,0;
3 ;0:01,80 ;5813 ;10 ;82;34;33;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;5,83 ;12,2 ;2,25 ;28,4 ;0,0;
3 ;0:01,90 ;5506 ;31 ;82;34;69;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;5,34 ;12,2 ;3,33 ;31,6 ;0,0;
3 ;0:02,00 ;5963 ;22 ;81;34;85;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,93 ;5,65 ;12,3 ;4,76 ;33,4 ;0,0;
3 ;0:02,10 ;7735 ;9 ;80;34;62;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,95 ;6,46 ;12,3 ;3,12 ;44,2 ;0,0;
3 ;0:02,20 ;9075 ;7 ;80;34;39;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,97 ;6,57 ;12,4 ;2,73 ;32,0 ;0,0;
3 ;0:02,30 ;8234 ;7 ;79;34;31;0,500 ;0,0 ;0,0 ;0,0 ;0,0 ;4,96 ;6,45 ;12,4 ;2,30 ;29,0 ;0,0;
