"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"Brake_F"|"Bar"|0|2000|10,"Brake_R"|"Bar"|0|2000|10,"Height_RF"|"mm"|0|255|10,"Height_LF"|"mm"|0|255|10,"Height_LR"|"mm"|0|80|10,"Height_RR"|"mm"|0|255|10,"Steering"|"deg"|-100|100|10,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"Unknown"|""|0|1024|25,"Log_Button"|""|0.0|10.0|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"kph"|0.0|150.0|10,"Altitude"|"m"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"km"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
5083,0,,,,,,,,0.03,-0.02,1.0,0,0,0,0.04,0,,,,,,,,,,,,,,,,,
5123,0,,,,,,,,0.03,-0.02,1.0,0,0,0,0.04,0,,,,,,,,,,,,,,,,,
5163,0,,,,,,,,0.03,-0.02,1.0,0,0,0,0.04,0,,,,,,,,,,,,,,,,,
5203,0,,,,,,,,0.03,-0.02,1.0,0,0,0,0.04,0,,,,,,,,,,,,,,,,,
5243,0,-1,1,47,50,32,36,-3,0.03,-0.02,1.0,0,0,0,0.04,0,1,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0874
5283,0,,,,,,,,0.03,-0.02,1.0,0,0,0,0.04,0,,,,,,,,,,,,,,,,,
5323,0,,,,,,,,0.03,-0.02,1.0,0,0,0,0.04,0,,,,,,,,,,,,,,,,,
5363,0,,,,,,,,0.03,-0.02,1.0,0,0,0,0.04,0,,,,,,,,,,,,,,,,,
5403,0,,,,,,,,0.04,-0.02,1.0,0,0,0,0.04,0,,,,,,,,,,,,,,,,,
5443,0,0,2,47,50,33,36,-4,0.04,-0.02,1.0,0,0,0,0.04,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0907
