"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"EngineTemp"|"F"|0|300|1,"OilTemp"|"F"|0|300|1,"OilPress"|"PSI"|0|150|25,"Battery"|"Volts"|0.0|20.0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"Gsum"|"G"|0.0|3.0|25,"RPM"|""|0|10000|25,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"mph"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10,"Distance"|"mi"|0.0|0.0|10,"SessionTime"|"Min"|0.0|0.0|10
4163,0,,,5,,,0.07,-0.02,1.0,-0,-0,-0,0.08,0,,,,,,,,,,,,,,,,
4203,0,,,5,,,0.07,-0.02,1.0,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
4243,0,,,4,,,0.07,-0.02,1.0,-0,-0,0,0.08,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0707
4283,0,,,4,,,0.07,-0.02,1.01,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
4323,0,,,6,,,0.07,-0.02,1.01,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
4363,0,,,5,,,0.07,-0.02,1.01,-0,-0,-0,0.08,0,,,,,,,,,,,,,,,,
4403,0,,,4,,,0.07,-0.02,1.01,-0,-0,-0,0.08,0,,,,,,,,,,,,,,,,
4443,0,,,6,,,0.07,-0.02,1.01,-0,-0,-0,0.08,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.074
4483,0,,,5,,,0.07,-0.02,1.01,-0,-0,-0,0.08,0,,,,,,,,,,,,,,,,
4523,0,,,6,,,0.07,-0.02,1.01,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
4563,0,,,6,,,0.07,-0.02,1.01,-0,-0,-0,0.08,0,,,,,,,,,,,,,,,,
4603,0,,,6,,,0.07,-0.02,1.01,-0,-0,-0,0.08,0,,,,,,,,,,,,,,,,
4643,0,,,6,,,0.07,-0.02,1.0,-0,-0,-0,0.07,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0774
4683,0,,,6,,,0.07,-0.02,1.0,-0,-0,-0,0.07,0,,,,,,,,,,,,,,,,
4723,0,,,5,,,0.07,-0.02,1.0,-0,-0,-0,0.07,0,,,,,,,,,,,,,,,,
4763,0,,,5,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
4803,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
4843,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0807
4883,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
4923,0,,,5,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
4963,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5003,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5043,0,302,262,5,0.21,13.21,0.07,-0.02,1.0,-0,-0,0,0.08,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.084
5083,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.08,0,,,,,,,,,,,,,,,,
5123,0,,,5,,,0.07,-0.02,1.0,-0,-0,-0,0.08,0,,,,,,,,,,,,,,,,
5163,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5203,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5243,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0874
5283,0,,,6,,,0.07,-0.02,1.01,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5323,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5363,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5403,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
5443,0,,,6,,,0.07,-0.02,1.01,-0,-0,0,0.07,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,-1,0.0,0.0,0.0,0,0.0,0.0907
5483,0,,,6,,,0.07,-0.02,1.0,-0,-0,-0,0.07,0,,,,,,,,,,,,,,,,
5523,0,,,6,,,0.07,-0.02,1.0,-0,-0,-0,0.07,0,,,,,,,,,,,,,,,,
5563,0,,,6,,,0.07,-0.02,1.0,-0,-0,0,0.07,0,,,,,,,,,,,,,,,,
