SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;FUEL P;OIL P;VOLTS;INJ;ADV;L/100K;

281 ;0:00,10 ;554 ;35 ;82;28;99;0,503 ;0,0 ;0,0 ;0,0 ;0,0 ;1,07 ;1,18 ;13,8 ;4,99 ;30,0 ;0,0;
281 ;0:00,20 ;554 ;35 ;82;28;99;0,502 ;0,0 ;0,0 ;0,0 ;0,0 ;1,06 ;1,17 ;13,8 ;4,99 ;30,0 ;0,0;
297 ;0:00,30 ;5170 ;20 ;85;25;79;0,503 ;32,3 ;36,4 ;30,7 ;36,1 ;1,05 ;3,80 ;13,9 ;3,75 ;39,1 ;27,3;
297 ;0:00,40 ;5014 ;20 ;85;25;82;0,502 ;31,8 ;35,7 ;30,9 ;35,4 ;1,05 ;3,83 ;13,9 ;3,71 ;40,2 ;29,2;
297 ;0:00,50 ;5211 ;19 ;85;25;82;0,502 ;31,0 ;33,4 ;30,7 ;33,4 ;1,03 ;3,79 ;13,9 ;3,85 ;39,9 ;28,7;
297 ;0:00,60 ;4973 ;17 ;85;26;81;0,502 ;31,8 ;31,6 ;31,8 ;31,4 ;1,03 ;3,64 ;13,9 ;3,67 ;39,6 ;28,0;
297 ;0:00,70 ;4834 ;17 ;85;26;81;0,502 ;32,6 ;29,2 ;32,5 ;27,5 ;1,05 ;3,54 ;13,9 ;3,58 ;37,5 ;24,7;
297 ;0:00,80 ;4498 ;17 ;84;26;82;0,502 ;32,5 ;28,1 ;32,6 ;25,1 ;1,05 ;3,33 ;14,0 ;3,42 ;32,8 ;22,7;
297 ;0:00,90 ;4200 ;17 ;84;26;83;0,501 ;31,9 ;25,3 ;31,6 ;21,2 ;1,06 ;3,17 ;14,0 ;3,36 ;28,7 ;21,4;
297 ;0:01,00 ;3835 ;17 ;84;26;85;0,501 ;30,8 ;24,9 ;30,6 ;18,0 ;1,02 ;2,85 ;14,0 ;3,46 ;25,2 ;19,1;
297 ;0:01,10 ;3486 ;48 ;84;26;98;0,501 ;30,3 ;23,8 ;29,6 ;14,7 ;1,02 ;2,28 ;14,0 ;7,75 ;31,0 ;37,1;
297 ;0:01,20 ;3197 ;63 ;84;26;98;0,501 ;29,2 ;23,5 ;28,1 ;15,4 ;1,02 ;1,83 ;14,0 ;7,01 ;31,0 ;37,0;
297 ;0:01,30 ;3556 ;70 ;84;26;98;0,501 ;27,6 ;22,4 ;25,8 ;21,5 ;1,02 ;2,12 ;14,0 ;7,75 ;31,5 ;40,8;
297 ;0:01,40 ;3805 ;70 ;84;26;98;0,501 ;25,1 ;22,8 ;24,0 ;22,9 ;1,02 ;2,56 ;13,9 ;7,55 ;33,9 ;51,1;
297 ;0:01,50 ;3601 ;63 ;84;26;98;0,501 ;22,9 ;23,5 ;22,6 ;23,3 ;1,02 ;2,68 ;14,0 ;7,35 ;31,9 ;54,2;
297 ;0:01,60 ;3617 ;4 ;84;26;88;0,501 ;22,6 ;22,5 ;22,4 ;22,5 ;1,01 ;2,67 ;14,0 ;3,67 ;24,8 ;30,1;
297 ;0:01,70 ;3414 ;40 ;84;26;88;0,501 ;22,1 ;22,8 ;22,0 ;22,2 ;1,02 ;2,65 ;14,0 ;6,23 ;24,2 ;24,0;
297 ;0:01,80 ;3473 ;67 ;84;26;98;0,501 ;21,2 ;22,1 ;21,1 ;21,8 ;1,01 ;2,61 ;14,0 ;7,65 ;31,0 ;55,7;
297 ;0:01,90 ;3292 ;22 ;84;26;95;0,501 ;20,4 ;22,1 ;20,2 ;21,8 ;1,02 ;2,60 ;14,0 ;3,92 ;28,7 ;31,5;
297 ;0:02,00 ;3260 ;33 ;84;26;96;0,501 ;19,7 ;21,6 ;19,6 ;21,4 ;1,02 ;2,53 ;14,0 ;6,91 ;29,5 ;30,1;
297 ;0:02,10 ;3099 ;18 ;84;26;96;0,501 ;19,4 ;21,1 ;19,0 ;20,9 ;1,00 ;2,42 ;14,0 ;6,42 ;29,5 ;51,2;
297 ;0:02,20 ;3123 ;4 ;84;26;86;0,501 ;18,5 ;20,9 ;18,4 ;20,3 ;1,01 ;2,37 ;14,0 ;3,28 ;0,0 ;25,9;
297 ;0:02,30 ;2955 ;53 ;84;26;98;0,501 ;18,6 ;19,8 ;18,4 ;19,6 ;1,01 ;2,32 ;14,0 ;6,45 ;31,3 ;47,0;
297 ;0:02,40 ;2949 ;47 ;84;26;98;0,501 ;18,3 ;18,5 ;17,9 ;18,7 ;1,01 ;2,30 ;14,0 ;6,35 ;31,4 ;47,8;
297 ;0:02,50 ;2822 ;40 ;84;26;98;0,501 ;17,6 ;18,6 ;17,6 ;18,2 ;1,01 ;2,25 ;14,1 ;6,27 ;32,1 ;27,3;
297 ;0:02,60 ;2747 ;26 ;84;26;98;0,501 ;17,4 ;17,7 ;17,3 ;17,4 ;1,01 ;2,22 ;14,1 ;6,09 ;32,6 ;44,3;
297 ;0:02,70 ;2706 ;42 ;84;26;97;0,501 ;17,2 ;16,8 ;17,2 ;16,7 ;1,01 ;2,23 ;14,0 ;6,05 ;31,6 ;42,5;
297 ;0:02,80 ;2622 ;54 ;84;26;98;0,501 ;17,0 ;16,3 ;16,8 ;16,2 ;1,01 ;2,16 ;14,1 ;5,98 ;33,3 ;43,8;
297 ;0:02,90 ;2531 ;10 ;84;26;94;0,501 ;16,7 ;15,6 ;16,3 ;15,5 ;1,01 ;2,12 ;14,0 ;5,61 ;28,5 ;41,4;
297 ;0:03,00 ;2432 ;62 ;84;26;99;0,501 ;16,1 ;15,2 ;15,8 ;15,0 ;1,01 ;2,07 ;14,0 ;6,29 ;34,0 ;40,1;
297 ;0:03,10 ;2318 ;44 ;84;26;98;0,501 ;15,5 ;14,6 ;15,3 ;14,4 ;1,00 ;2,00 ;14,1 ;5,70 ;34,0 ;39,4;
297 ;0:03,20 ;2305 ;57 ;84;26;98;0,501 ;15,0 ;14,2 ;14,7 ;14,0 ;1,01 ;2,02 ;14,1 ;5,77 ;34,0 ;39,8;
